time,qd,q,tau,position_error,jerk,jerk_d
0.0,0.00185782,-0.0611597983385777,9.999,0.0630176183385777,390.79743347338433,9932.060000000021
0.005,0.00896378,-0.0611597983385777,10.09899,0.0701235783385777,781.5948669467866,7672.810000000007
0.01,0.02222582,-0.0613551970553144,10.0999899,0.0835810170553144,586.1961502101123,-1570.9700000000212
0.015,0.04045389,-0.0613551970553144,10.099999898999998,0.1018090870553144,3517.1769012599416,-8083.94999999999
0.02,0.06257879,-0.0611597983385777,9.108713355052858,0.1237385883385777,9379.138403359999,-7169.36000000001
0.025,0.08765122,-0.0611597983385777,4.408354051726074,0.1488110183385777,3712.575617996949,-6316.389999999997
0.03,0.11483278,-0.0570564252871077,1.9703150305276544,0.1718892052871077,-8402.144819676587,-5521.579999999914
0.035,0.14338641,-0.0511944637850076,0.8151697038919391,0.1945808737850076,-8988.340969887058,-4775.800000000081
0.04,0.1726714,-0.0453325022829074,0.2860848334002079,0.2180039022829074,-1563.1897338935214,-4084.3000000000666
0.045,0.20213788,-0.0398613382142807,0.0737048009143872,0.2419992182142807,1563.1897338934887,-3452.9799999998204
0.05,0.23131885,-0.0349763702958639,0.0202267450540053,0.2662952202958639,-1953.9871673665975,-2871.250000000122
0.055,0.25982133,-0.0287236113602905,0.0483213791844827,0.2885449413602905,-1367.791017156828,-2329.5700000001734
0.06,0.28732215,-0.0244248395920837,0.0929966915327734,0.3117469895920837,3321.7781845232103,-1844.3999999998027
0.065,0.31356551,-0.0197352703904036,0.1552112320099024,0.3333007803904036,4103.373051470342,-1442.5099999999002
0.07,0.33835173,-0.0150457011887236,0.2154075697281358,0.35339743118872363,781.59486694677,-1122.8400000000993
0.075,0.36152602,-0.0095745371200968,0.3007018615533763,0.3711005571200968,-4298.771768207112,-828.7500000000709
0.08,0.38296508,-0.0027355820343133,0.4764711219283,0.3857006620343133,-3126.3794677866645,-498.629999999951
0.085,0.40258002,0.0025401833175767,0.4665362003921027,0.40003983668242327,1172.3923004203798,-163.15999999997075
0.09,0.42033345,0.0082067461029401,0.4598844035384123,0.4121267038970599,1172.3923004199773,102.4500000000553
0.095,0.43622888,0.0134825114548302,0.4572756137863824,0.4227463685451698,195.39871673643728,290.57999999998265
0.1,0.45029368,0.018953675523457,0.4564750656596835,0.43134000447654297,390.79743347339627,435.26999999982127
0.105,0.46257505,0.0244248395920837,0.456313339138637,0.4381502104079163,1953.9871673668747,549.6100000000006
0.11,0.47313635,0.0297006049439738,0.4566085571369696,0.4434357450560262,2540.183317576625,621.5800000001809
0.115,0.4820538,0.0357579651628106,0.4542159909149479,0.4462958348371894,-1172.3923004202156,640.9200000000137
0.12,0.48941107,0.0424015215318574,0.4853184726447385,0.4470095484681426,-6057.360218836727,650.8899999997984
0.125,0.49528671,0.0500220714845875,0.6384276307158189,0.44526463851541254,-2540.183317576487,715.1799999999839
0.13,0.49975876,0.0558840329866876,0.566664093996139,0.44387472701331243,3907.9743347334324,809.8400000002921
0.135,0.50292467,0.0611597983385777,0.5146059193617296,0.44176487166142225,1367.7910171564124,861.4300000000576
0.14,0.5048946,0.0676079559908879,0.4741046627652159,0.4372866440091121,-1563.189733893451,859.9899999997851
0.145,0.50577752,0.0730791200595146,0.4436340180951976,0.43269839994048537,2540.1833175769502,828.1600000000235
0.15,0.50568002,0.0789410815616147,0.418076019038595,0.4267389384383853,3126.379467786825,765.8600000000001
0.155,0.50470525,0.0842168469135048,0.3968301039476606,0.4204884030864952,-4298.771768206854,695.8899999998625
0.16,0.50294318,0.092423593016445,0.5010478841366626,0.41051958698355506,-3712.5756179968585,659.2200000000034
0.165,0.50047372,0.0976993583683351,0.410001388031107,0.4027743616316649,1953.9871673666862,648.1899999999923
0.17,0.49737997,0.1037567185871719,0.4454088948651361,0.3936232514128281,-195.39871673659968,636.6900000000398
0.175,0.49374215,0.1098140788060086,0.3921981788356203,0.3839280711939914,781.5948669466512,620.3400000001909
