time,qd,q,position_error,jerk,jerk_d
0.0,7.17233877e-05,-0.00410337305147,0.0041750964391699995,0.0,397.96000000000066
0.005,0.00034725,-0.00410337305147,0.00445062305147,-5.551115123125785e-13,317.07661230000053
0.01,0.00086453,-0.00410337305147,0.004967903051469999,-1.9259299443872367e-28,-34.93677540000181
0.015,0.00158079,-0.00410337305147,0.00568416305147,-195.3987167366998,-289.9633877000013
0.02,0.00245792,-0.00410337305147,0.006561293051469999,-195.3987167366998,-259.759999999999
0.025,0.00346188,-0.00410337305147,0.007565253051469999,586.1961502101013,-232.46999999999963
0.03,0.00456193,-0.0042987717682067,0.0088607017682067,390.7974334734,-206.66999999999618
0.035,0.00573076,-0.0042987717682067,0.010029531768206701,-586.1961502101008,-181.27000000000027
0.04,0.00694409,-0.00410337305147,0.011047463051469999,-195.39871673669978,-155.46000000000762
0.045,0.00818076,-0.0042987717682067,0.012479531768206702,-1.1368683772161603e-13,-130.8799999999966
0.05,0.00942313,-0.00410337305147,0.01352650305147,2.20767492269597e-12,-109.66999999999379
0.055,0.01065642,-0.0042987717682067,0.0149551917682067,390.7974334734017,-91.4900000000078
0.06,0.01186817,-0.0042987717682067,0.0161669417682067,-1.1229941511795004e-12,-75.22999999999838
0.065,0.01304807,-0.0042987717682067,0.0173468417682067,-195.39871673670058,-60.52999999999105
0.07,0.01418772,-0.0042987717682067,0.0184864917682067,5.551115123125766e-13,-49.19000000001009
0.075,0.01528048,-0.0042987717682067,0.019579251768206702,0.0,-44.78000000000367
0.08,0.01632125,-0.0042987717682067,0.0206200217682067,0.0,-43.06999999998945
0.085,0.01730446,-0.0042987717682067,0.0216032317682067,-195.39871673669958,-32.370000000006286
0.09,0.01822398,-0.0042987717682067,0.0225227517682067,2.5542253108691353e-14,-13.250000000010687
0.095,0.01907694,-0.0042987717682067,0.0233757117682067,390.79743347339866,3.230000000013831
0.1,0.01986354,-0.0044941704849434,0.0243577104849434,-195.39871673670288,16.310000000012053
0.105,0.02058467,-0.0042987717682067,0.0248834417682067,-195.39871673670288,27.619999999986447
0.11,0.02124316,-0.0044941704849434,0.0257373304849434,390.79743347339866,29.32999999999629
0.115,0.02184396,-0.0044941704849434,0.0263381304849434,2.5542253108691353e-14,21.23000000000522
0.12,0.02239046,-0.0044941704849434,0.0268846304849434,-195.39871673669958,15.22999999999314
0.125,0.02288414,-0.0044941704849434,0.0273783104849434,0.0,16.66000000000173
0.13,0.02332667,-0.0044941704849434,0.0278208404849434,-5.551115123125774e-13,21.290000000013777
0.135,0.02372044,-0.0044941704849434,0.0282146104849434,5.551115123125882e-13,25.39999999999293
0.14,0.02406845,-0.0044941704849434,0.028562620484943402,1.1102230246251624e-12,27.58999999998352
0.145,0.02437415,-0.0044941704849434,0.0288683204849434,-1.1102230246251624e-12,27.050000000015444
0.15,0.0246412,-0.0044941704849434,0.0291353704849434,-5.551115123125882e-13,25.2000000000057
0.155,0.02487286,-0.0044941704849434,0.0293670304849434,5.551115123125774e-13,25.299999999983655
0.16,0.02507197,-0.0044941704849434,0.0295661404849434,-5.551115123125774e-13,27.81000000001025
0.165,0.02524177,-0.0044941704849434,0.0297359404849434,-195.39871673660022,29.860000000012448
