timestamp_emg,emg_data
1776861352.8513556,"[[-0.03033708]
 [-0.00961165]
 [-0.02716158]]"
1776861352.852,"[[-0.02293741]
 [ 0.0084505 ]
 [-0.02194429]]"
1776861352.8521805,"[[-0.02330634]
 [-0.0008606 ]
 [-0.02422349]]"
1776861352.8522122,"[[-0.02554305]
 [-0.00402165]
 [-0.02261122]]"
1776861352.8522198,"[[-0.02835931]
 [-0.00728775]
 [-0.02340856]]"
1776861352.852244,"[[-0.02975953]
 [-0.00876168]
 [-0.02507185]]"
1776861352.8522508,"[[-0.02888995]
 [-0.00687761]
 [-0.02484441]]"
1776861352.8522582,"[[-0.02728658]
 [-0.00313108]
 [-0.02405392]]"
1776861352.8522687,"[[-0.02625853]
 [-0.00078694]
 [-0.02400922]]"
1776861352.8522792,"[[-0.0256175 ]
 [-0.00224494]
 [-0.02383108]]"
1776861352.8522892,"[[-0.02505349]
 [-0.00758312]
 [-0.02359888]]"
1776861352.85231,"[[-0.02521558]
 [-0.01385652]
 [-0.02314191]]"
1776861352.8523207,"[[-0.02448422]
 [-0.01080788]
 [-0.02265941]]"
1776861352.8523312,"[[-0.02218168]
 [-0.00858139]
 [-0.02303732]]"
1776861352.8523517,"[[-0.0204409 ]
 [-0.01055106]
 [-0.02494551]]"
1776861352.852421,"[[-0.01725326]
 [-0.00024995]
 [-0.02443399]]"
1776861352.85247,"[[-0.01728794]
 [-0.00179015]
 [-0.02447915]]"
1776861352.8524806,"[[-0.01925829]
 [-0.00208286]
 [-0.0247937 ]]"
1776861352.852524,"[[-0.02523165]
 [-0.01181987]
 [-0.02344857]]"
1776861352.852534,"[[-0.02297314]
 [-0.00951157]
 [-0.02227049]]"
1776861352.8525443,"[[-0.0201401 ]
 [-0.00600274]
 [-0.02338926]]"
1776861352.8525543,"[[-0.01872035]
 [-0.00477538]
 [-0.0257905 ]]"
1776861352.8525748,"[[-0.01901848]
 [-0.00223216]
 [-0.02523617]]"
1776861352.8525846,"[[-0.02082318]
 [-0.00249031]
 [-0.02303393]]"
1776861352.8525949,"[[-0.02281966]
 [-0.00390632]
 [-0.02216742]]"
1776861352.8526049,"[[-0.0240503 ]
 [-0.00698441]
 [-0.02293603]]"
1776861352.8526149,"[[-0.02352761]
 [-0.01035202]
 [-0.0240252 ]]"
1776861352.852625,"[[-0.02148717]
 [-0.0111515 ]
 [-0.02388746]]"
1776861352.8526351,"[[-0.02067535]
 [-0.01032431]
 [-0.02190318]]"
1776861352.8526452,"[[-0.02216213]
 [-0.0107226 ]
 [-0.01975868]]"
1776861352.8526554,"[[-0.02334301]
 [-0.01141553]
 [-0.01977347]]"
1776861352.8529024,"[[-0.02061193]
 [-0.00739557]
 [-0.02011685]]"
1776861352.8529224,"[[-0.0227741 ]
 [-0.00094419]
 [-0.02392374]]"
1776861352.8532245,"[[-0.02152047]
 [ 0.00498119]
 [-0.02522593]]"
1776861352.8532543,"[[-0.02668869]
 [ 0.00587721]
 [-0.02328768]]"
1776861352.8535318,"[[-0.02490818]
 [-0.00603536]
 [-0.02069122]]"
1776861352.8535542,"[[-0.02461015]
 [-0.00549286]
 [-0.0235225 ]]"
1776861352.8535862,"[[-2.15404107e-02]
 [ 6.38609521e-05]
 [-2.83920417e-02]]"
1776861352.853626,"[[-0.02283385]
 [ 0.00275068]
 [-0.02974123]]"
1776861352.8536623,"[[-0.02488727]
 [ 0.00232664]
 [-0.0294928 ]]"
1776861352.8547904,"[[-0.02937277]
 [-0.00622236]
 [-0.02470928]]"
1776861352.8548005,"[[-0.029742  ]
 [-0.00852397]
 [-0.02788281]]"
1776861352.854813,"[[-0.02861341]
 [-0.01157115]
 [-0.0292262 ]]"
1776861352.8548772,"[[-0.02542838]
 [-0.01000959]
 [-0.02441659]]"
1776861352.8548987,"[[-0.02473357]
 [-0.00985537]
 [-0.02827407]]"
1776861352.8549092,"[[-0.02453783]
 [-0.01079837]
 [-0.02559285]]"
1776861352.8549197,"[[-0.02509816]
 [-0.01237211]
 [-0.02227769]]"
1776861352.8551266,"[[-0.02456284]
 [-0.00354999]
 [-0.0218941 ]]"
1776861352.8551369,"[[-0.02675783]
 [-0.00369118]
 [-0.02293021]]"
1776861352.8551471,"[[-0.02909614]
 [-0.002448  ]
 [-0.02368938]]"
1776861352.8551576,"[[-0.03038477]
 [-0.00091542]
 [-0.02405043]]"
1776861352.8551676,"[[-0.02990597]
 [ 0.00029082]
 [-0.02355009]]"
1776861352.8551779,"[[-0.02720523]
 [ 0.00078128]
 [-0.02290838]]"
1776861352.855188,"[[-0.02343079]
 [ 0.00112082]
 [-0.02253067]]"
1776861352.855198,"[[-0.02067986]
 [ 0.00232663]
 [-0.0221754 ]]"
1776861352.8552077,"[[-0.01921608]
 [ 0.00387961]
 [-0.02311563]]"
1776861352.855218,"[[-0.0187159 ]
 [ 0.00481073]
 [-0.0254451 ]]"
1776861352.8552282,"[[-0.01990281]
 [ 0.00547393]
 [-0.02607654]]"
1776861352.8552384,"[[-0.02183236]
 [ 0.0061321 ]
 [-0.02406334]]"
1776861352.8552485,"[[-0.02255648]
 [ 0.00611449]
 [-0.02207343]]"
1776861352.855259,"[[-0.02254234]
 [ 0.00472292]
 [-0.0217493 ]]"
1776861352.855269,"[[-0.02249605]
 [ 0.00171338]
 [-0.02212107]]"
1776861352.8552792,"[[-0.02182996]
 [-0.00287497]
 [-0.02168222]]"
1776861352.855289,"[[-0.02128631]
 [-0.00865144]
 [-0.02054815]]"
1776861352.855299,"[[-0.02185816]
 [-0.01315577]
 [-0.01946766]]"
1776861352.8553092,"[[-0.02271854]
 [-0.01340558]
 [-0.01832109]]"
1776861352.8553193,"[[-0.02278088]
 [-0.01055731]
 [-0.01878189]]"
1776861352.8553293,"[[-0.0216542 ]
 [-0.00751807]
 [-0.02322446]]"
1776861352.8553395,"[[-0.01989854]
 [-0.00561118]
 [-0.0277737 ]]"
1776861352.85535,"[[-0.01902869]
 [-0.00529156]
 [-0.0266828 ]]"
1776861352.8553824,"[[-0.01943467]
 [-0.00508637]
 [-0.02251098]]"
1776861352.855391,"[[-0.01990621]
 [-0.00407246]
 [-0.02071858]]"
1776861352.8554034,"[[-0.02000929]
 [-0.00333746]
 [-0.02064768]]"
1776861352.8554442,"[[-0.02036248]
 [-0.0027518 ]
 [-0.01907996]]"
1776861352.8554504,"[[-0.02082204]
 [-0.00219778]
 [-0.01640258]]"
1776861352.8554573,"[[-0.02105633]
 [-0.002208  ]
 [-0.01584182]]"
1776861352.8554645,"[[-0.02178602]
 [-0.00186689]
 [-0.01930224]]"
1776861352.8554716,"[[-0.02353068]
 [-0.00068221]
 [-0.0239352 ]]"
1776861352.8554785,"[[-0.02502992]
 [ 0.00041702]
 [-0.02544705]]"
1776861352.8554854,"[[-0.02410414]
 [ 0.00128262]
 [-0.02496886]]"
1776861352.855492,"[[-0.02123683]
 [ 0.00238375]
 [-0.0252257 ]]"
1776861352.8554993,"[[-0.01942513]
 [ 0.00307398]
 [-0.02510547]]"
1776861352.8555095,"[[-0.01923547]
 [ 0.00187423]
 [-0.02346695]]"
1776861352.8555195,"[[-0.01925687]
 [-0.00050307]
 [-0.02133613]]"
1776861352.85553,"[[-0.0193282 ]
 [-0.00151383]
 [-0.02019778]]"
1776861352.85554,"[[-0.01930434]
 [-0.00266079]
 [-0.02115133]]"
1776861352.8555503,"[[-0.01923534]
 [-0.006389  ]
 [-0.02308102]]"
1776861352.8555603,"[[-0.02061564]
 [-0.00867907]
 [-0.02265729]]"
1776861352.8556163,"[[-0.02314208]
 [-0.00560371]
 [-0.02011312]]"
1776861352.855666,"[[-2.46721502e-02]
 [-7.20270421e-05]
 [-1.96262008e-02]]"
1776861352.8556914,"[[-0.02575038]
 [ 0.00293827]
 [-0.02194073]]"
1776861352.855699,"[[-0.0275356 ]
 [ 0.00210004]
 [-0.0247061 ]]"
1776861352.855746,"[[-0.02867294]
 [ 0.00014662]
 [-0.02698103]]"
1776861352.8557944,"[[-0.02818799]
 [-0.00049765]
 [-0.02758189]]"
1776861352.8558264,"[[-0.02590682]
 [ 0.00055239]
 [-0.02541389]]"
1776861352.8558347,"[[-0.02215694]
 [ 0.00265908]
 [-0.02316095]]"
1776861352.855848,"[[-0.01982786]
 [ 0.00260461]
 [-0.02339343]]"
1776861352.8558598,"[[-0.0207655 ]
 [-0.00294117]
 [-0.02421029]]"
1776861352.8558705,"[[-0.0222183 ]
 [-0.01232188]
 [-0.02426912]]"
1776861352.8558793,"[[-0.02145423]
 [-0.0207875 ]
 [-0.02470252]]"
1776861352.8558903,"[[-0.01895505]
 [-0.0244194 ]
 [-0.02574896]]"
1776861352.8559008,"[[-0.0163618 ]
 [-0.02112439]
 [-0.02732196]]"
1776861352.8559115,"[[-0.01509891]
 [-0.01319636]
 [-0.02873504]]"
1776861352.855922,"[[-0.01560689]
 [-0.00653314]
 [-0.02786657]]"
1776861352.8559322,"[[-0.01676607]
 [-0.00353579]
 [-0.02517467]]"
1776861352.8559425,"[[-0.01711979]
 [-0.00149416]
 [-0.02375476]]"
1776861352.855953,"[[-0.01645551]
 [ 0.00203223]
 [-0.02421228]]"
1776861352.8559637,"[[-0.01585424]
 [ 0.00566145]
 [-0.02516041]]"
1776861352.8559744,"[[-0.01639911]
 [ 0.00565562]
 [-0.02572383]]"
1776861352.8559847,"[[-0.01785528]
 [ 0.00101729]
 [-0.02492919]]"
1776861352.855995,"[[-0.01919751]
 [-0.00472206]
 [-0.02301148]]"
1776861352.8560047,"[[-0.02026466]
 [-0.0077837 ]
 [-0.02213278]]"
1776861352.8560152,"[[-0.02187605]
 [-0.00820917]
 [-0.0230426 ]]"
1776861352.8560257,"[[-0.02418278]
 [-0.00828298]
 [-0.02435926]]"
1776861352.8560364,"[[-0.02598049]
 [-0.00836664]
 [-0.0251625 ]]"
1776861352.8560472,"[[-0.02686199]
 [-0.00650029]
 [-0.02510666]]"
1776861352.8560572,"[[-0.02767255]
 [-0.00201847]
 [-0.02441894]]"
1776861352.8560672,"[[-0.02813369]
 [ 0.00185258]
 [-0.02473084]]"
1776861352.8560777,"[[-0.0272946 ]
 [ 0.00238287]
 [-0.02636932]]"
1776861352.8561206,"[[-0.02545837]
 [ 0.0013718 ]
 [-0.02723886]]"
1776861352.856193,"[[-2.38563716e-02]
 [ 5.86712012e-05]
 [-2.62629328e-02]]"
1776861352.8562427,"[[-0.02369914]
 [-0.00262648]
 [-0.02358296]]"
1776861352.856252,"[[-0.02562565]
 [-0.00465249]
 [-0.02027973]]"
1776861352.8562663,"[[-0.02808155]
 [-0.00359257]
 [-0.01944345]]"
1776861352.8562775,"[[-0.0287784 ]
 [-0.00168255]
 [-0.02173956]]"
1776861352.856288,"[[-0.02916497]
 [-0.00069716]
 [-0.02380441]]"
1776861352.8562982,"[[-0.03104594]
 [ 0.00031043]
 [-0.02480311]]"
1776861352.8563292,"[[-0.03237168]
 [ 0.00018873]
 [-0.02699953]]"
1776861352.856336,"[[-0.03190796]
 [-0.00391987]
 [-0.02952103]]"
1776861352.856368,"[[-0.03118988]
 [-0.01127773]
 [-0.02984771]]"
1776861352.85641,"[[-0.03088103]
 [-0.01656446]
 [-0.02849493]]"
1776861352.8564441,"[[-0.02918634]
 [-0.01544374]
 [-0.02716908]]"
1776861352.8564527,"[[-0.02524299]
 [-0.00952238]
 [-0.02615564]]"
1776861352.8564665,"[[-0.02241919]
 [-0.00509273]
 [-0.02471014]]"
1776861352.8564777,"[[-0.02362426]
 [-0.00612357]
 [-0.02338049]]"
1776861352.8564885,"[[-0.02703105]
 [-0.01017383]
 [-0.023525  ]]"
1776861352.8564987,"[[-0.02936348]
 [-0.01256058]
 [-0.02356696]]"
1776861352.8565092,"[[-0.02892786]
 [-0.01047305]
 [-0.02203439]]"
1776861352.8565195,"[[-0.02626133]
 [-0.00407334]
 [-0.02145139]]"
1776861352.85653,"[[-0.02387277]
 [ 0.00284471]
 [-0.02328857]]"
1776861352.8565402,"[[-0.0233826 ]
 [ 0.00699331]
 [-0.02588629]]"
1776861352.8565505,"[[-0.02355425]
 [ 0.00958005]
 [-0.02805015]]"
1776861352.8565607,"[[-0.02332336]
 [ 0.01037884]
 [-0.02864314]]"
1776861352.856571,"[[-0.02330167]
 [ 0.00623221]
 [-0.02705827]]"
1776861352.8565812,"[[-0.0231688 ]
 [-0.0007262 ]
 [-0.02600725]]"
1776861352.856591,"[[-0.02267283]
 [-0.00534524]
 [-0.02775343]]"
1776861352.8566012,"[[-0.02299846]
 [-0.00692792]
 [-0.03036985]]"
1776861352.8668966,"[[-0.02447626]
 [-0.0071636 ]
 [-0.03020809]]"
1776861352.867004,"[[-0.0266832 ]
 [-0.00761899]
 [-0.02561827]]"
1776861352.8670907,"[[-0.02876277]
 [-0.00974271]
 [-0.02096409]]"
1776861352.8671253,"[[-0.02934797]
 [-0.01192096]
 [-0.0210444 ]]"
1776861352.8671477,"[[-0.02898888]
 [-0.01129982]
 [-0.02273879]]"
1776861352.8671541,"[[-0.02903031]
 [-0.00953395]
 [-0.02261407]]"
1776861352.8671598,"[[-0.02941381]
 [-0.008906  ]
 [-0.02238355]]"
1776861352.8671975,"[[-0.02970704]
 [-0.00782224]
 [-0.02292715]]"
1776861352.8672574,"[[-0.02899566]
 [-0.00562732]
 [-0.02318887]]"
1776861352.867286,"[[-0.02667438]
 [-0.00323541]
 [-0.02286008]]"
1776861352.8672943,"[[-0.02403479]
 [-0.00034012]
 [-0.02246477]]"
1776861352.8673005,"[[-0.02239914]
 [ 0.00145345]
 [-0.02278699]]"
1776861352.867336,"[[-0.02161296]
 [-0.00035534]
 [-0.02415505]]"
1776861352.867373,"[[-0.02106804]
 [-0.00368785]
 [-0.02579522]]"
1776861352.8673816,"[[-0.02028776]
 [-0.00430363]
 [-0.02719545]]"
1776861352.8673873,"[[-0.01937655]
 [-0.00172925]
 [-0.02852934]]"
1776861352.8673925,"[[-0.01934515]
 [ 0.00039713]
 [-0.02885409]]"
1776861352.8673983,"[[-0.02050178]
 [ 0.00103182]
 [-0.02779104]]"
1776861352.8674033,"[[-0.02186363]
 [ 0.00405652]
 [-0.02715716]]"
1776861352.8674088,"[[-0.02330272]
 [ 0.00873262]
 [-0.02754604]]"
1776861352.8674138,"[[-0.025308  ]
 [ 0.00950679]
 [-0.02723099]]"
1776861352.8674188,"[[-0.02720059]
 [ 0.00612059]
 [-0.02538233]]"
1776861352.8674245,"[[-0.02848638]
 [ 0.00212208]
 [-0.02418345]]"
1776861352.8674302,"[[-0.02939995]
 [-0.00059422]
 [-0.0259496 ]]"
1776861352.8674355,"[[-0.0293148 ]
 [-0.00143498]
 [-0.0284522 ]]"
1776861352.867441,"[[-0.02761021]
 [-0.00128642]
 [-0.02812988]]"
1776861352.867447,"[[-0.02513898]
 [-0.00189445]
 [-0.0255536 ]]"
1776861352.8805952,"[[-0.02381337]
 [-0.00329304]
 [-0.02289891]]"
1776861352.8806963,"[[-0.02429024]
 [-0.00359742]
 [-0.02103275]]"
1776861352.8807597,"[[-0.02418601]
 [-0.0009073 ]
 [-0.02156652]]"
1776861352.880768,"[[-0.02230319]
 [ 0.00255633]
 [-0.0251965 ]]"
