Time_s,Control_Mode,Actual_Position_deg,Desired_Position_deg,Position_Error_deg,Feedback_Torque_Nm,Feedforward_Torque_Nm,Total_Torque_Nm,Jerk_deg_per_s3
0.0,assist_as_needed,30.590308370044053,0.2858629211803584,30.304445448863696,732245.5162366097,-0.8788685520781877,4.1,0.0
0.0078125,assist_as_needed,30.590308370044053,1.3855487513336677,29.204759618710387,3.6502666438463818,-0.896532384655937,2.753734259190445,-3999788.3733392167
0.015625,assist_as_needed,29.726872246696033,3.455610648735766,26.27126159796027,10.778786930290973,-0.9063466792761479,4.1,1714195.0171454004
0.0234375,assist_as_needed,28.370044052863435,6.328874965792269,22.041169087071168,23.28504889508135,-0.8940385073267364,4.1,571398.3390484335
0.03125,assist_as_needed,26.6431718061674,9.848754853122053,16.794416953045346,20.305136424654183,-0.8705852941842298,4.1,-1714195.0171453515
0.0390625,assist_as_needed,24.176211453744493,13.870309451071705,10.30590200267279,8.873313998290817,-0.8511670226333408,4.1,1714195.0171453515
0.046875,assist_as_needed,21.33920704845815,18.259651427026853,3.079555621431298,0.8773419679931398,-0.8303466773492443,0.046995290643895515,5713983.390484584
0.0546875,assist_as_needed,19.365638766519822,22.898943669317717,-3.533304902797897,-11.930704927270536,-0.8129119089361065,-4.1,-3999788.3733392004
0.0625,assist_as_needed,17.392070484581495,27.684191168179613,-10.29212068359812,-9.830722307482445,-0.7966170071646361,-4.1,8570975.085726885
0.0703125,assist_as_needed,17.26872246696035,32.52395583192938,-15.255233364969026,-43.044076886844536,-0.7799138495437562,-4.1,1142796.6780969002
0.078125,assist_as_needed,19.24229074889868,37.3430988989133,-18.100808150014615,-25.79873660942416,-0.7663707570202996,-4.1,-7999576.746678417
0.0859375,assist_as_needed,21.58590308370044,42.07869771927725,-20.49279463557681,-44.29929055460984,-0.7540263761647912,-4.1,571398.3390484658
0.09375,assist_as_needed,24.422907488986784,46.671045129554706,-22.24813764056792,-39.30175267604169,-0.7412971432929858,-4.1,-4571186.712387666
0.1015625,assist_as_needed,26.766519823788546,51.05586873948213,-24.289348915693587,-46.28641195762619,-0.7292553173198292,-4.1,-571398.3390484671
0.109375,assist_as_needed,28.49339207048458,55.17414056059877,-26.680748490114194,-71.79364830723067,-0.7187411474866547,-4.1,10856568.441920733
0.1171875,assist_as_needed,31.94713656387665,58.97672059552137,-27.029584031644728,-43.033841492456844,-0.7076884761783031,-4.1,-15427755.154308416
0.125,assist_as_needed,33.79735682819383,62.42953715182626,-28.632180323632433,-124.85406954254611,-0.6993195716411642,-4.1,13142161.7981146
0.1328125,assist_as_needed,36.881057268722465,65.53088499899368,-28.649827730271216,-46.88249400273897,-0.6901511122526127,-4.1,-10856568.441920748
0.140625,assist_as_needed,38.85462555066079,68.30251101974338,-29.447885469082582,-65.68054273667786,-0.6803630555066016,-4.1,6285381.729533032
0.1484375,assist_as_needed,41.07488986784141,70.77714791407497,-29.70225804623356,-62.28611339868838,-0.6713753516004727,-4.1,-1714195.0171453343
0.15625,assist_as_needed,43.17180616740088,72.99492800111997,-29.82312183371909,-47.54389870227678,-0.6637854773046775,-4.1,-1714195.017145432
0.1640625,assist_as_needed,44.775330396475766,74.99806027082172,-30.222729874345962,-46.54257189872183,-0.6548197858941341,-4.1,5713983.390484635
0.171875,assist_as_needed,47.11894273127753,76.84617389967666,-29.727231168399125,-27.2936537759776,-0.6456780485729459,-4.1,-7428178.407629969
0.1796875,assist_as_needed,48.59911894273127,78.60089174726134,-30.001772804530066,-42.99105905236336,-0.6376022335397177,-4.1,7428178.407629934
0.1875,assist_as_needed,50.81938325991189,80.29116739035159,-29.471784130439698,-24.70961421005024,-0.6286707670734856,-4.1,-2285593.356193801
0.1953125,assist_as_needed,53.2863436123348,81.93278650240936,-28.646442890074553,-18.445104065661152,-0.6202371858835748,-4.1,-5713983.3904846
0.203125,assist_as_needed,54.76651982378854,83.53599452035922,-28.769474696570676,-33.472988026510116,-0.6121278246018508,-4.1,6285381.729533033
0.2109375,assist_as_needed,56.61674008810572,85.09423419011051,-28.477494102004794,-19.55771245528875,-0.6033626178128676,-4.1,-4571186.712387633
0.21875,assist_as_needed,57.85022026431718,86.59577717137795,-28.745556907060763,-29.046311331680776,-0.5957672893216643,-4.1,6856780.068581435
0.2265625,assist_as_needed,59.94713656387665,88.02844222453037,-28.08130566065373,-14.858838239209517,-0.5846781183073122,-4.1,-3999788.3733391366
0.234375,assist_as_needed,62.04405286343612,89.37935388028998,-27.335301016853858,-14.038837202593635,-0.5753562127296405,-4.1,-3999788.373339264
0.2421875,assist_as_needed,63.27753303964757,90.6405465244803,-27.363013484832734,-25.27070041858183,-0.5663196431221559,-4.1,7428178.407629966
0.25,assist_as_needed,65.25110132158589,91.81412920003591,-26.563027878450004,-12.119829944937669,-0.5573745470356205,-4.1,-6285381.729532935
0.2578125,assist_as_needed,66.6079295154185,92.90828629237119,-26.300356776952693,-17.17350530438819,-0.548271003707631,-4.1,6285381.7295328695
