timestamp_imu,imu_data
1776861906.9414108,"[[ 0.03710938]
 [-1.00195312]
 [-0.24755859]
 [-6.6463418 ]
 [-4.32926846]
 [ 4.63414621]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08886719]
 [-1.00976562]
 [-0.18603516]
 [-1.64634144]
 [13.17073154]
 [-0.36585367]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.23974609]
 [ 0.93896484]
 [-0.28076172]
 [-1.89024389]
 [-0.79268295]
 [ 4.2682929 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9414656,"[[ 0.03222656]
 [-0.99902344]
 [-0.24951172]
 [-6.6463418 ]
 [-4.93902445]
 [ 4.69512224]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09082031]
 [-1.00341797]
 [-0.19238281]
 [-1.52439022]
 [13.17073154]
 [-0.36585367]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24023438]
 [ 0.93945312]
 [-0.27832031]
 [-1.76829267]
 [-1.03658533]
 [ 4.20731735]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9562526,"[[ 0.03320312]
 [-1.00390625]
 [-0.24902344]
 [-7.01219511]
 [-4.8780489 ]
 [ 4.45121956]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08935547]
 [-1.00927734]
 [-0.18310547]
 [-1.70731711]
 [13.59756088]
 [-0.48780489]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24023438]
 [ 0.94042969]
 [-0.27783203]
 [-1.64634144]
 [-1.097561  ]
 [ 4.45121956]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9563234,"[[ 0.03173828]
 [-1.00390625]
 [-0.25292969]
 [-6.82926846]
 [-4.63414621]
 [ 4.45121956]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.09228516]
 [-1.0078125 ]
 [-0.18408203]
 [-1.46341467]
 [13.71951294]
 [-0.48780489]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.234375  ]
 [ 0.9375    ]
 [-0.27929688]
 [-2.01219511]
 [-1.21951222]
 [ 4.39024401]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9675224,"[[ 0.03222656]
 [-1.        ]
 [-0.25537109]
 [-6.70731735]
 [-4.75609779]
 [ 4.57317066]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08642578]
 [-1.00390625]
 [-0.18701172]
 [-1.15853655]
 [13.4146347 ]
 [-0.85365856]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.22949219]
 [ 0.93554688]
 [-0.28125   ]
 [-2.07317066]
 [-1.402439  ]
 [ 4.2682929 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9676454,"[[ 0.03515625]
 [-0.99707031]
 [-0.25732422]
 [-6.70731735]
 [-5.18292713]
 [ 4.69512224]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08251953]
 [-1.00292969]
 [-0.17919922]
 [-1.402439  ]
 [13.4146347 ]
 [-0.85365856]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.23339844]
 [ 0.93261719]
 [-0.28125   ]
 [-2.25609756]
 [-1.34146345]
 [ 4.32926846]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.98114,"[[ 0.03662109]
 [-0.99462891]
 [-0.25683594]
 [-6.70731735]
 [-5.18292713]
 [ 4.81707335]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08496094]
 [-1.00048828]
 [-0.18164062]
 [-1.58536589]
 [13.23170757]
 [-1.097561  ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.23632812]
 [ 0.93115234]
 [-0.28125   ]
 [-2.13414645]
 [-1.34146345]
 [ 4.20731735]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.981215,"[[ 0.03466797]
 [-0.99316406]
 [-0.25585938]
 [-6.70731735]
 [-5.06097555]
 [ 4.8780489 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08105469]
 [-0.99609375]
 [-0.18408203]
 [-1.95121956]
 [13.04878044]
 [-1.097561  ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.23339844]
 [ 0.93066406]
 [-0.28417969]
 [-2.31707311]
 [-1.52439022]
 [ 4.20731735]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9947684,"[[ 0.03564453]
 [-0.99707031]
 [-0.25634766]
 [-6.95121956]
 [-4.69512224]
 [ 4.69512224]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.07910156]
 [-0.99414062]
 [-0.18212891]
 [-1.89024389]
 [12.80487823]
 [-1.34146345]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.2421875 ]
 [ 0.93017578]
 [-0.27978516]
 [-2.62195134]
 [-1.58536589]
 [ 4.2682929 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861906.9948206,"[[ 0.0390625 ]
 [-0.99707031]
 [-0.25537109]
 [-7.01219511]
 [-4.75609779]
 [ 4.63414621]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.07617188]
 [-0.99755859]
 [-0.18115234]
 [-2.5       ]
 [13.4146347 ]
 [-0.97560978]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24658203]
 [ 0.93115234]
 [-0.27441406]
 [-2.68292689]
 [-1.89024389]
 [ 4.32926846]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861907.0083113,"[[ 0.04443359]
 [-0.99365234]
 [-0.25244141]
 [-6.46341467]
 [-5.06097555]
 [ 4.69512224]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.07226562]
 [-0.99609375]
 [-0.18212891]
 [-2.31707311]
 [14.14634132]
 [-0.85365856]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.24609375]
 [ 0.93017578]
 [-0.27685547]
 [-2.62195134]
 [-2.804878  ]
 [ 4.51219511]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861907.0083869,"[[ 0.05029297]
 [-0.99658203]
 [-0.25146484]
 [-5.91463423]
 [-4.39024401]
 [ 5.06097555]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.07910156]
 [-0.99707031]
 [-0.18457031]
 [-2.74390244]
 [14.8780489 ]
 [-0.48780489]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.2421875 ]
 [ 0.93408203]
 [-0.27587891]
 [-2.43902445]
 [-3.53658533]
 [ 4.63414621]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861907.0225005,"[[ 0.04833984]
 [-0.99707031]
 [-0.24707031]
 [-5.48780489]
 [-2.56097555]
 [ 5.1219511 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.08007812]
 [-0.99951172]
 [-0.18261719]
 [-2.86585379]
 [15.        ]
 [-0.79268295]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.23876953]
 [ 0.93115234]
 [-0.27490234]
 [-2.74390244]
 [-4.20731735]
 [ 4.63414621]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
1776861907.0225828,"[[ 0.04150391]
 [-0.99414062]
 [-0.25      ]
 [-5.18292713]
 [-0.67073172]
 [ 5.1219511 ]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.07373047]
 [-0.99609375]
 [-0.18359375]
 [-2.86585379]
 [15.18292713]
 [-0.73170733]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]
 [-0.23876953]
 [ 0.9296875 ]
 [-0.2734375 ]
 [-2.92682934]
 [-4.75609779]
 [ 4.69512224]
 [ 0.        ]
 [ 0.        ]
 [ 0.        ]]"
