timestamp_emg,emg_data
1776861779.1019917,"[[-0.02201205]
 [-0.02420942]
 [-0.02599213]]"
1776861779.1019995,"[[-0.02516814]
 [-0.0161625 ]
 [-0.02470406]]"
1776861779.1020055,"[[-0.02742881]
 [-0.00696284]
 [-0.02361952]]"
1776861779.102011,"[[-0.0279869 ]
 [-0.00216041]
 [-0.02298393]]"
1776861779.102016,"[[-0.02617226]
 [-0.00010983]
 [-0.02284905]]"
1776861779.1020215,"[[-0.02392425]
 [-0.0026095 ]
 [-0.02287169]]"
1776861779.1020267,"[[-0.02304981]
 [-0.01013694]
 [-0.02341205]]"
1776861779.102032,"[[-0.02175075]
 [-0.01301687]
 [-0.02543363]]"
1776861779.1020372,"[[-0.01843348]
 [-0.00336621]
 [-0.02734914]]"
1776861779.1020424,"[[-0.0148951 ]
 [ 0.01537161]
 [-0.02734923]]"
1776861779.1020474,"[[-0.01384262]
 [ 0.03351099]
 [-0.02780588]]"
1776861779.1020532,"[[-0.01551383]
 [ 0.04305059]
 [-0.02947771]]"
1776861779.1020584,"[[-0.01834711]
 [ 0.04181882]
 [-0.02929665]]"
1776861779.102064,"[[-0.02213521]
 [ 0.03261335]
 [-0.02750757]]"
1776861779.1020722,"[[-0.02650039]
 [ 0.02061745]
 [-0.02523746]]"
1776861779.1020985,"[[-0.02935957]
 [ 0.01052611]
 [-0.02088972]]"
1776861779.1021254,"[[-0.03009149]
 [ 0.00091282]
 [-0.01601448]]"
1776861779.1021323,"[[-0.02944437]
 [-0.01419964]
 [-0.01396018]]"
1776861779.1021378,"[[-0.0272766 ]
 [-0.02825422]
 [-0.01528088]]"
1776861779.102143,"[[-0.02418991]
 [-0.02865862]
 [-0.01842453]]"
1776861779.102148,"[[-0.02181553]
 [-0.02200088]
 [-0.02055677]]"
1776861779.102213,"[[-0.01868546]
 [-0.01691628]
 [-0.0233347 ]]"
1776861779.1022646,"[[-0.01695867]
 [-0.01004362]
 [-0.02455357]]"
1776861779.104841,"[[-0.02521527]
 [ 0.00611654]
 [-0.01750797]]"
1776861779.1049721,"[[-0.02221037]
 [ 0.01899765]
 [-0.02574896]]"
1776861779.1049824,"[[-0.02500849]
 [ 0.0056621 ]
 [-0.02790072]]"
1776861779.1050215,"[[-0.02786698]
 [ 0.00222751]
 [-0.02292081]]"
1776861779.105051,"[[-0.03351756]
 [-0.01685547]
 [-0.02607429]]"
1776861779.1050608,"[[-0.03201266]
 [-0.02371281]
 [-0.02922052]]"
1776861779.1050706,"[[-0.02970702]
 [-0.01744617]
 [-0.03039314]]"
1776861779.1050804,"[[-0.02580031]
 [-0.00391116]
 [-0.02740941]]"
1776861779.10509,"[[-0.02089199]
 [ 0.00305645]
 [-0.02177955]]"
1776861779.1050997,"[[-0.01641061]
 [ 0.00101635]
 [-0.01939549]]"
