Desired_Position_deg,Applied_Torque_Nm,Position_Error_rad,K_value_Nm_per_rad,B_value_Nm_per_rad_per_s,Feedforward_Torque_Nm,Feedback_Torque_Nm
0.0,4.1,-0.4865393615251153,-63.35265815071232,100.0,-0.02318126959510405,222054.61143315508
0.0,-0.14246900061191273,-0.4865393615251153,0.24232421220732842,-0.0,-0.02456873312248262,-0.11790026748943011
0.0,-0.14507586637965342,-0.4865393615251153,0.24232421220732842,-0.0,-0.027175598890223304,-0.11790026748943011
0.0,-0.1476146806211387,-0.4865393615251153,0.24232421220732842,-0.0,-0.029714413131708584,-0.11790026748943011
0.0,-0.14989366412046645,-0.4865393615251153,0.24232421220732842,-0.0,-0.031993396631036355,-0.11790026748943011
0.0,-0.1490814164483019,-0.48438653249181834,0.2401354512306996,-0.0,-0.03276303789830517,-0.11631837854999673
0.0,-0.14791091917144422,-0.48223370345852135,0.23795726452574797,-0.0,-0.03315990623433376,-0.11475101293711047
0.0,-0.14646184574907326,-0.47362238732533346,0.22959248895160786,0.04649963514222635,-0.03326130476864081,-0.11320054098043245
0.0,-0.150851116119357,-0.4671639002254426,0.22336319932710194,0.06879513016167656,-0.03660530933611972,-0.11424580678323729
0.0,-0.17062950806211863,-0.4585525840922547,0.21533490699740077,0.12387454645362649,-0.039210379456505004,-0.13141912860561364
0.0,-0.19545583733891228,-0.4499412679590668,0.20740422208295217,0.1658124454696564,-0.04249133279058398,-0.1529645045483283
0.0,-0.234388405659243,-0.439177122792582,0.19771113792700706,0.21591634627856318,-0.04400115931892027,-0.19038724634032272
0.0,-0.2970033468393057,-0.42626014859280015,0.18640095605940912,0.2726533586252628,-0.047548290800438486,-0.2494550560388672
0.0,-0.33189447232462077,-0.41764883245961226,0.17900203533524908,0.2980634992070715,-0.04984804078574506,-0.2820464315388757
0.0,-0.3810785272957068,-0.40473185825983043,0.16817210803234056,0.3288248398528384,-0.0527927281721462,-0.3282857991235606
0.0,-0.40476177726019813,-0.39612054212664255,0.16111506803081035,0.34138225196109834,-0.05440882055913554,-0.3503529567010626
0.0,-0.4104009807008801,-0.3853563969601577,0.1524431117440196,0.34151661213138546,-0.05682146170228047,-0.35357951899859963
0.0,-0.4352990475649568,-0.37674508082696984,0.1457420295118466,0.3525209399563398,-0.05914923645462829,-0.3761498111103285
0.0,-0.42232317846234396,-0.3659809356604849,0.1374714758166392,0.3422960037482793,-0.06008671169762652,-0.36223646676471744
0.0,-0.4215132966772745,-0.3509111324274062,0.12635731760432956,0.3367688850131577,-0.0622092892385256,-0.3593040074387489
0.0,-0.41426063326516344,-0.3444526453275152,0.1217242165066987,0.33050358203576924,-0.0632282248346166,-0.35103240843054684
0.0,-0.4046374463585636,-0.3358413291943274,0.11568590829173002,0.3221625305747679,-0.06448214326456536,-0.3401553030939982
0.0,-0.3746666661749072,-0.33368850016103035,0.11411835837797984,0.3034450798227837,-0.06734275024099153,-0.30732391593391567
0.0,-0.3289866667299127,-0.3272300130611395,0.10960350502430363,0.27309536568195214,-0.0704533464822045,-0.25853332024770825
0.0,-0.27004422526930416,-0.32507718402784247,0.10795848469281341,0.23095766989187666,-0.07433128383249604,-0.19571294143680815
0.0,-0.23065299808531053,-0.3229243549945455,0.10636613769872635,0.1974725334283176,-0.07791593033430969,-0.15273706775100085
0.0,-0.18663089371892555,-0.32507718402784247,0.10755612694622863,0.15075314019943747,-0.08297834513973822,-0.10365254857918735
0.0,-0.1649710621918425,-0.32507718402784247,0.10739520956940143,0.1188375747668301,-0.08731198554921177,-0.07765907664263072
0.0,-0.1423591563010216,-0.32507718402784247,0.10715386099599275,0.07114230710320561,-0.09217142065005457,-0.05018773565096705
0.0,-0.1337993859149556,-0.3229243549945455,0.1055273060979199,0.031346434016503825,-0.09671519539999295,-0.03708419051496265
0.0,-0.13748556511015697,-0.32507718402784247,0.10691254534822592,0.02366069706884175,-0.10102852690023911,-0.03645703820991786
0.0,-0.13891447390505693,-0.32507718402784247,0.10679189984876246,-0.0,-0.10419886382523785,-0.034715610079819076
0.0,-0.14245115684416806,-0.32507718402784247,0.10679189984876246,-0.0,-0.10773554676434899,-0.034715610079819076
0.0,-0.14506700306040488,-0.32507718402784247,0.10679189984876246,-0.0,-0.11035139298058581,-0.034715610079819076
0.0,-0.14762444866132324,-0.32507718402784247,0.10679189984876246,-0.0,-0.11290883858150416,-0.034715610079819076
0.0,-0.14907144809013442,-0.32507718402784247,0.10679189984876246,-0.0,-0.11435583801031535,-0.034715610079819076
