raw_bicep_emg,raw_tricep_emg,bandpassed_bicep,bandpassed_tricep,rms_bicep,rms_tricep,lowpassed_rms_bicep,lowpassed_rms_tricep,bicep_activation,tricep_activation,net_activation,filtered_net_activation
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[0.],[0.],[0.],[0.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[-0.04212474],[-0.00685363],[-0.00974379],[-0.0015853],0.0013779798596669222,0.0002241951519544409,3.039745915842789e-08,4.945618709332899e-09,0.0,0.0,0.0,0.0
[-0.0348678],[-0.00170931],[-0.02891783],[-0.00378807],0.004315512389351239,0.0005807343827231812,2.1638245686245567e-07,3.2527230604790496e-08,0.0,0.0,0.0,0.0
[-0.03594068],[-0.00361652],[-0.03558166],[-0.00331096],0.006629082226358637,0.0007459901750729439,7.669126999983754e-07,1.0676387388880647e-07,0.0,0.0,0.0,0.0
[-0.03796767],[-0.00421422],[-0.02966433],[-0.00232621],0.007845010215887011,0.0008153076902267122,1.8708080453835113e-06,2.437163345381857e-07,0.0,0.0,0.0,0.0
[-0.03413541],[-0.00250655],[-0.02458225],[-0.00228149],0.008580788286001824,0.0008768300741094077,3.6415566833180987e-06,4.5060296663796826e-07,0.0,0.0,0.0,0.0
[-0.03179621],[-0.00208327],[-0.02016812],[-0.00146416],0.00904239956197794,0.0009009475204188867,6.139640355507545e-06,7.312549922947994e-07,0.0,0.0,0.0,0.0
[-0.03111816],[-0.0031156],[-0.01575114],[-0.00075867],0.009312730901202663,0.0009073135918361406,9.397768539747154e-06,1.0872325932992389e-06,0.0,0.0,0.0,0.0
[-0.03089452],[-0.00450671],[-0.01272764],[-0.001328],0.009485083853440365,0.0009265472796043863,1.3431502200476956e-05,1.5187441976079586e-06,0.0,0.0,0.0,0.0
[-0.03021702],[-0.00474867],[-0.01070445],[-0.00234954],0.009605129872470723,0.0009843254221163012,1.8246431748847263e-05,2.027015196950734e-06,0.0,0.0,0.0,0.0
[-0.03129917],[-0.00380331],[-0.00907603],[-0.00242354],0.009690511108412184,0.0010422895023550404,2.3842770890273362e-05,2.615236477477949e-06,0.0,0.0,0.0,0.0
[-0.03144399],[-0.00313698],[-0.0079423],[-0.00143486],0.00975538874274028,0.0010618586604901788,3.021752602031718e-05,3.2865611246551847e-06,0.0,0.0,0.0,0.0
[-0.03409412],[-0.00542036],[-0.00746167],[-0.00099194],0.009812295355786935,0.0010710847498129692,3.7365829367225523e-05,4.042175142285653e-06,0.0,0.0,0.0,0.0
[-0.03333394],[-0.00687001],[-0.00720068],[-0.00213538],0.009864995443844856,0.0011128429759882633,4.528191258949956e-05,4.8826557394450586e-06,0.0,0.0,0.0,0.0
[-0.0295574],[-0.00741998],[-0.00516646],[-0.00352338],0.009892016033304392,0.0012193047803563265,5.395908807391411e-05,5.811199437815065e-06,0.0,0.0,0.0,0.0
[-0.02418808],[-0.00590831],[-0.00028479],[-0.00346277],0.009892098026137613,0.0013139710952553706,6.338886960125338e-05,6.834264753650428e-06,0.0,0.0,0.0,0.0
[-0.02064913],[-0.00797753],[0.00552846],[-0.00268842],0.009922947129033115,0.0013678713588236365,7.356174063273436e-05,7.958223995334997e-06,0.0,0.0,0.0,0.0
[-0.01865988],[-0.00770803],[0.00969758],[-0.00270999],0.010017272097163065,0.0014205467504056202,8.447040846383185e-05,9.1872704237881e-06,0.0,0.0,0.0,0.0
[-0.0179164],[-0.00404418],[0.01151896],[-0.00199069],0.01014886531878434,0.0014481748280690883,9.611191332736183e-05,1.0524026661873018e-05,0.0,0.0,0.0,0.0
[-0.01582295],[-0.00169703],[0.01229623],[0.00079755],0.010296767137225741,0.0014525605058189853,0.00010848667421381952,1.196942631080016e-05,0.0,0.0,0.0,0.0
[-0.01711441],[-0.0030347],[0.01271026],[0.0030099],0.010452484385568958,0.0015136450775332564,0.0001215967539028768,1.3524053811779581e-05,0.0,0.0,0.0,0.0
[-0.01869246],[-0.00359602],[0.01183012],[0.00269131],0.01058553094586826,0.0015607639736636666,0.0001354443274434957,1.5190156931994538e-05,0.0,0.0,0.0,0.0
[-0.01922136],[-0.00129364],[0.010077],[0.00209222],0.01068102913952777,0.0015885628497349326,0.00015002981991469225,1.6970152248376102e-05,0.0,0.0,0.0,0.0
[-0.01857774],[0.00104795],[0.00915772],[0.00344799],0.010759259234984827,0.001661717569826527,0.00016535104803630776,1.8866254364181138e-05,0.0,0.0,0.0,0.0
[-0.01880888],[-0.000408],[0.00920809],[0.00497412],0.010837778243380442,0.0018044783335086274,0.00018140420874404684,2.088374864589895e-05,0.0,0.0,0.0,0.0
[-0.01910449],[-0.00504346],[0.00913543],[0.0035531],0.010914511392893489,0.0018731344002629387,0.00019818507716988184,2.3030276525953057e-05,0.0,0.0,0.0,0.0
[-0.02149967],[-0.00810476],[0.00810933],[-0.00044711],0.010974597252561637,0.0018742013326160112,0.00021568898052600326,2.5310141953092998e-05,0.0,0.0,0.0,0.0
[-0.02349371],[-0.00789139],[0.00604902],[-0.00341064],0.011007887961218711,0.0019352724334440383,0.00023390987915371088,2.7724287119310905e-05,0.0,0.0,0.0,0.0
[-0.0231766],[-0.00491483],[0.00430883],[-0.00289447],0.01102474116025183,0.0019780896917928124,0.00025283983809074793,3.0274383561821832e-05,0.0,0.0,0.0,0.0
[-0.02207193],[-0.00368764],[0.00429936],[-0.00018335],0.011041494794123731,0.001978259630797683,0.00027246964638290544,3.296164623364726e-05,0.0,0.0,0.0,0.0
[-0.02117539],[-0.00423648],[0.00545604],[0.00158356],0.011068422394495929,0.001990895413149701,0.000292790010714931,3.578525266666806e-05,0.0,0.0,0.0,0.0
[-0.01884997],[-0.00423045],[0.00685898],[0.00148701],0.011110845443911038,0.0020019711666568883,0.0003137924883724201,3.8743954041524294e-05,0.0,0.0,0.0,0.0
[-0.01865648],[-0.00476918],[0.00808207],[0.00086532],0.011169479985662704,0.002005707857294379,0.00033546995392628553,4.18365504201944e-05,0.0,0.0,0.0,0.0
[-0.01776978],[-0.00603],[0.00859258],[0.00022346],0.011235387542078923,0.002005956807243982,0.00035781653422249665,4.5061410795368365e-05,0.0,0.0,0.0,0.0
[-0.0185391],[-0.00736774],[0.00834449],[-0.00075309],0.011297191796472794,0.002008782144318449,0.000380826962804737,4.841665514681671e-05,0.0,0.0,0.0,0.0
[-0.02043079],[-0.00527913],[0.00717797],[-0.00112899],0.01134270727108059,0.002015117333246519,0.0004044956044534731,5.190053099645119e-05,0.0,0.0,0.0,0.0
[-0.02238827],[-0.00244129],[0.00509272],[0.00046759],0.011365549903993013,0.002016202046945411,0.0004288155311722101,5.551139358104927e-05,0.0,0.0,0.0,0.0
[-0.02154133],[-0.00258721],[0.00347714],[0.00271587],0.011376182754591006,0.0020524595169670785,0.00045377822026225294,5.924823038087283e-05,0.0,0.0,0.0,0.0
[-0.02247549],[-0.00421967],[0.00312397],[0.0030047],0.011384758145221972,0.0020959854714391996,0.00047937412093302067,6.311162746499538e-05,0.0,0.0,0.0,0.0
[-0.02630873],[-0.00503961],[0.00213992],[0.00150693],0.011388779715531884,0.002106791900925135,0.0005055932924068552,6.710252676965786e-05,0.0,0.0,0.0,0.0
[-0.0279812],[-0.00643073],[-0.0003995],[-1.83899326e-05],0.011388919856069213,0.002106793506159575,0.0005324255386101472,7.122032495092565e-05,0.0,0.0,0.0,0.0
[-0.02318216],[-0.00586797],[-0.00113961],[-0.00072235],0.01139006012924906,0.0021092687531439214,0.0005598604947345148,7.54632715521896e-05,0.0,0.0,0.0,0.0
[-0.02154145],[-0.00453187],[0.00163906],[-0.00022522],0.011392418526572136,0.002109509224551054,0.0005878878653958136,7.982944973851128e-05,0.0,0.0,0.0,0.0
[-0.02304989],[-0.00341744],[0.00395581],[0.00111094],0.011406146052280108,0.0021153516873266406,0.000616497765850875,8.431703672871901e-05,0.0,0.0,0.0,0.0
[-0.02529453],[-0.00257897],[0.00296119],[0.00231532],0.011413831099773328,0.002140543678716841,0.000645680786002144,8.892484785817025e-05,0.0,0.0,0.0,0.0
[-0.02551874],[-0.0001909],[0.00077232],[0.00340843],0.011414353674417354,0.002194145573148998,0.0006754274159821197,9.365330750174853e-05,0.0,0.0,0.0,0.0
[-0.02539664],[0.0030929],[-5.88774863e-05],[0.00525838],0.011414356711433756,0.002316740310354306,0.0007057277613497357,9.85060259655999e-05,0.0,0.0,0.0,0.0
[-0.02288527],[0.00419484],[0.00088319],[0.00739614],0.01141504006119385,0.0025419171798427686,0.000736571843895649,0.00010349248828726298,0.0,0.0,0.0,0.0
[-0.02090722],[0.00286019],[0.00295797],[0.00789098],0.011422702454856638,0.002776093455297323,0.0007679499420537171,0.00010862828839219054,0.0,0.0,0.0,0.0
[-0.02024283],[-0.00016206],[0.00478442],[0.00586898],0.011442724549576164,0.0028975149472478577,0.0007998530114160037,0.00011392897320236426,0.0,0.0,0.0,0.0
[-0.02147876],[-0.00314552],[0.00500892],[0.00238697],0.011464629585486497,0.0029171125537073863,0.0008322728217886858,0.0001194028469764377,0.0,0.0,0.0,0.0
[-0.0224868],[-0.003709],[0.00374948],[-0.00050117],0.011393861287184056,0.002909347958425657,0.0008651995177511758,0.00012505050548428735,0.0,0.0,0.0,0.0
[-0.02159344],[-0.00463625],[0.00264268],[-0.00170613],0.010641190310831211,0.002869762020635851,0.0008986042401491059,0.0001308683659453781,0.0,0.0,0.0,0.0
[-0.01740152],[-0.00725772],[0.00361746],[-0.00253603],0.009390184639761308,0.0028539295215291947,0.0009324153476679027,0.0001368513944686796,0.0,0.0,0.0,0.0
[-0.01416179],[-0.00806932],[0.00668548],[-0.00396171],0.008453994769901123,0.002889739003781322,0.0009665320279862406,0.000142996094445973,0.0,0.0,0.0,0.0
