acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,acc_x_1,acc_y_1,acc_z_1,gyro_x_1,gyro_y_1,gyro_z_1,mag_x_1,mag_y_1,mag_z_1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26171875,-1.021484375,-0.130859375,0.3658536672592163,8.780488014221191,23.719512939453125,0.0,0.0,0.0,0.54443359375,0.42822265625,0.37451171875,-144.4512176513672,24.268293380737305,51.70731735229492,0.0,0.0,0.0
0.25244140625,-1.0087890625,-0.10546875,8.719511985778809,25.914634704589844,26.707317352294922,0.0,0.0,0.0,0.529296875,0.37939453125,0.37646484375,-146.5853729248047,23.109756469726562,53.04878234863281,0.0,0.0,0.0
0.21728515625,-0.986328125,-0.09521484375,16.707317352294922,39.63414764404297,27.19512176513672,0.0,0.0,0.0,0.55322265625,0.35693359375,0.37353515625,-150.73170471191406,19.573171615600586,54.756099700927734,0.0,0.0,0.0
0.16845703125,-0.974609375,-0.10400390625,20.54878044128418,42.74390411376953,25.2439022064209,0.0,0.0,0.0,0.607421875,0.35205078125,0.376953125,-153.10975646972656,18.414634704589844,55.30487823486328,0.0,0.0,0.0
0.1337890625,-0.97119140625,-0.10400390625,21.829269409179688,34.756099700927734,23.35365867614746,0.0,0.0,0.0,0.6416015625,0.33740234375,0.3681640625,-154.57318115234375,25.426830291748047,56.585365295410156,0.0,0.0,0.0
0.1201171875,-0.98486328125,-0.09765625,22.378049850463867,20.670732498168945,21.09756088256836,0.0,0.0,0.0,0.6435546875,0.31689453125,0.345703125,-156.89024353027344,38.23170852661133,59.69512176513672,0.0,0.0,0.0
0.11962890625,-1.00341796875,-0.0927734375,21.64634132385254,7.682927131652832,19.878049850463867,0.0,0.0,0.0,0.609375,0.296875,0.341796875,-158.10975646972656,45.97561264038086,62.5,0.0,0.0,0.0
0.140625,-1.0166015625,-0.076171875,20.2439022064209,-1.2804877758026123,21.280488967895508,0.0,0.0,0.0,0.56005859375,0.2802734375,0.35302734375,-159.2073211669922,41.76829528808594,63.04878234863281,0.0,0.0,0.0
0.17919921875,-1.025390625,-0.06005859375,19.817073822021484,-5.853658676147461,23.170732498168945,0.0,0.0,0.0,0.51708984375,0.25732421875,0.3779296875,-161.9512176513672,30.121952056884766,62.5,0.0,0.0,0.0
0.2021484375,-1.017578125,-0.0537109375,21.58536720275879,-6.463414669036865,22.865854263305664,0.0,0.0,0.0,0.49853515625,0.23291015625,0.41357421875,-163.84146118164062,24.207317352294922,61.82926940917969,0.0,0.0,0.0
0.18408203125,-1.001953125,-0.060546875,24.69512176513672,-4.817073345184326,24.329269409179688,0.0,0.0,0.0,0.494140625,0.21337890625,0.4326171875,-166.64634704589844,14.146341323852539,60.853660583496094,0.0,0.0,0.0
0.18310546875,-0.9921875,-0.0673828125,26.341463088989258,-4.5731706619262695,24.573171615600586,0.0,0.0,0.0,0.49462890625,0.203125,0.42919921875,-167.8048858642578,5.121951103210449,60.3658561706543,0.0,0.0,0.0
0.15234375,-0.966796875,-0.072265625,30.914634704589844,-6.097560882568359,22.68292808532715,0.0,0.0,0.0,0.5205078125,0.18212890625,0.43798828125,-169.51219177246094,-5.365853786468506,59.63414764404297,0.0,0.0,0.0
0.1279296875,-0.9541015625,-0.10498046875,34.69512176513672,-5.54878044128418,23.35365867614746,0.0,0.0,0.0,0.56201171875,0.1357421875,0.47900390625,-170.1829376220703,-15.42682933807373,58.658538818359375,0.0,0.0,0.0
0.1103515625,-0.94482421875,-0.12451171875,34.14634323120117,-0.3048780560493469,24.329269409179688,0.0,0.0,0.0,0.6064453125,0.06689453125,0.513671875,-170.3048858642578,-20.85365867614746,58.29268264770508,0.0,0.0,0.0
0.10400390625,-0.9462890625,-0.1162109375,32.256099700927734,7.012195110321045,25.426830291748047,0.0,0.0,0.0,0.630859375,-0.0126953125,0.521484375,-171.40245056152344,-19.878049850463867,60.79268264770508,0.0,0.0,0.0
0.10400390625,-0.93994140625,-0.11767578125,30.426830291748047,8.780488014221191,25.060976028442383,0.0,0.0,0.0,0.66552734375,-0.07568359375,0.52294921875,-171.28048706054688,-12.37804889678955,64.08536529541016,0.0,0.0,0.0
0.10791015625,-0.9345703125,-0.12548828125,27.2560977935791,0.24390244483947754,23.719512939453125,0.0,0.0,0.0,0.70703125,-0.0859375,0.47802734375,-171.09756469726562,-3.9024391174316406,65.91463470458984,0.0,0.0,0.0
0.1474609375,-0.94970703125,-0.11962890625,23.414634704589844,-13.292683601379395,22.19512176513672,0.0,0.0,0.0,0.736328125,-0.0576171875,0.4169921875,-172.8048858642578,2.682926893234253,67.5,0.0,0.0,0.0
0.19775390625,-0.97021484375,-0.11376953125,20.914634704589844,-26.463415145874023,20.85365867614746,0.0,0.0,0.0,0.72509765625,-0.02490234375,0.3662109375,-176.09756469726562,10.42682933807373,72.3780517578125,0.0,0.0,0.0
