a_bicep,a_tricep,a_difference
0.0,0.15802124008267543,-0.15802124008267543
0.0,0.18643163717692218,-0.18643163717692218
0.0,0.21517584246497715,-0.21517584246497715
0.0,0.24428951156343742,-0.24428951156343742
0.0,0.27380577403001094,-0.27380577403001094
0.0,0.30374936487788534,-0.30374936487788534
0.0,0.3341344338519012,-0.3341344338519012
0.0,0.3649648106885543,-0.3649648106885543
0.0,0.39623585390591737,-0.39623585390591737
0.0,0.42793826960591425,-0.42793826960591425
0.0,0.46006391775569694,-0.46006391775569694
0.0,0.49261098554945426,-0.49261098554945426
0.00167052960822859,0.5255848998582322,-0.5239143702500036
0.004160288108849573,0.5589950764147326,-0.554834788305883
0.006656679289584603,0.5928528951533267,-0.5861962158637422
0.009160393405633372,0.6271751866696741,-0.6180147932640407
0.011672436174185119,0.661990847065257,-0.6503184108910719
0.014194155321402504,0.6973424829162868,-0.6831483275948842
0.016727047732628474,0.7332784060902126,-0.7165513583575841
0.01927243471736829,0.7698409717031932,-0.7505685369858249
0.02183119639608807,0.8070586310591477,-0.7852274346630596
0.024403668345378982,0.8449437655779994,-0.8205400972326204
0.026989747682354348,0.8834954894277743,-0.85650574174542
0.029589118583861217,0.9227036046295333,-0.893114486045672
0.03220141845152866,0.9625520070284697,-0.930350588576941
0.03482630156858967,1.0,-0.9651736984314103
0.037463424170426085,1.0,-0.9625365758295739
0.040112387324839634,1.0,-0.9598876126751603
0.042772697239139,1.0,-0.957227302760861
0.045443712753580334,1.0,-0.9545562872464197
0.04812463294359321,1.0,-0.9518753670564067
0.05081467025434043,1.0,-0.9491853297456596
0.05351333225210598,1.0,-0.946486667747894
0.056220618599322786,1.0,-0.9437793814006772
0.058937016691720565,1.0,-0.9410629833082794
0.06166322030769483,1.0,-0.9383367796923052
0.06439962565091704,1.0,-0.9356003743490829
0.06714587927649922,1.0,-0.9328541207235008
0.06990083253292186,1.0,-0.9300991674670781
0.072662967186094,1.0,-0.927337032813906
0.07543088299896882,1.0,-0.9245691170010312
0.0782034534133644,1.0,-0.9217965465866356
0.08097982198624323,1.0,-0.9190201780137568
0.08375956625483766,1.0,-0.9162404337451624
0.0865427877611486,1.0,-0.9134572122388513
