Timestamp,Elbow_Angle_Rad,Elbow_Flexion_Rad
1776433665.331,2.4925754190873546,37.18594836824215
1776433665.3360002,2.492229720270009,37.20575545145874
1776433665.341,2.4922276629001945,37.205873330066
1776433665.3460002,2.492341193222006,37.199368521779434
1776433665.351,2.492713503566532,37.178036710369014
1776433665.3560002,2.4930372557114104,37.1594870788592
1776433665.361,2.4934784905016047,37.13420618760671
1776433665.3660002,2.4939421771070416,37.107638902098444
1776433665.371,2.4941902624840884,37.093424657034745
1776433665.3760002,2.4944462871707556,37.07875552303756
1776433665.381,2.4944118707532152,37.080727438508575
1776433665.3860002,2.4944870426341312,37.07642040699403
1776433665.391,2.494120985889288,37.09739391353585
1776433665.3960001,2.493814949480067,37.11492850816154
1776433665.401,2.4932062044104666,37.14980703144906
1776433665.4060001,2.493123831155249,37.15452667131777
1776433665.411,2.4927194077298656,37.177698426728455
1776433665.4160001,2.4926594015987833,37.18113652478439
1776433665.421,2.492648082622054,37.18178505437939
1776433665.426,2.492821780047299,37.17183292500056
1776433665.431,2.492929898270435,37.16563820712639
1776433665.436,2.4930491401453696,37.15880615095142
1776433665.441,2.493134704764236,37.15390365941474
1776433665.446,2.4930839077212243,37.15681411559106
1776433665.451,2.493045449055752,37.15901763480832
1776433665.456,2.493150446689375,37.153001713542864
1776433665.4610002,2.492699546101132,37.17883641422915
1776433665.466,2.4925471243955806,37.187569534663425
1776433665.4710002,2.4922838812664088,37.202652254950806
1776433665.476,2.492194543358378,37.20777094003151
1776433665.4810002,2.492273050787616,37.20327279567573
1776433665.486,2.492090422216785,37.21373664200286
1776433665.4910002,2.492167275491239,37.20933327373487
1776433665.496,2.4918500009549414,37.227511765611695
1776433665.5010002,2.492160814875104,37.20970343977248
1776433665.506,2.4920348184566405,37.2169225027842
1776433665.5110002,2.4917789933403425,37.2315802022415
1776433665.516,2.491626517897557,37.24031640159251
1776433665.5210001,2.491179804819599,37.265911175612786
1776433665.526,2.4907439245257983,37.29088527682049
1776433665.5310001,2.490651296826906,37.29619245303306
1776433665.536,2.4899802197745307,37.33464233586221
1776433665.5410001,2.4893751442237053,37.36931061121106
1776433665.546,2.4892953577167383,37.37388204132239
1776433665.551,2.4890983546291423,37.38516948679268
1776433665.556,2.4891510736933213,37.38214890691532
1776433665.561,2.489191909499552,37.379809187565286
1776433665.566,2.489232880990083,37.37746169407751
1776433665.571,2.4893242143035597,37.37222868068636
1776433665.576,2.489411230255536,37.3672430338878
1776433665.581,2.4896267046647,37.35489725964965
1776433665.5860002,2.4895652938013257,37.358415842937234
1776433665.591,2.489314173688945,37.37280396552751
1776433665.5960002,2.4892009292074007,37.37929239637313
1776433665.601,2.4891557389069927,37.38188160986144
1776433665.6060002,2.4890498078889705,37.387951010113625
1776433665.611,2.4888036814917105,37.402053013903384
1776433665.6160002,2.4887992073653633,37.4023093624601
1776433665.621,2.4887823126031385,37.403277361031456
1776433665.6260002,2.488774516161622,37.40372406422557
1776433665.631,2.488772780010847,37.403823538337576
1776433665.6360002,2.48863553442645,37.41168713108033
1776433665.641,2.488673935044176,37.40948693775391
1776433665.6460001,2.488594998229301,37.41400968409448
1776433665.651,2.488391265173557,37.425682728335914
1776433665.6560001,2.488536004913222,37.417389752125274
1776433665.661,2.488347699480963,37.4281788586531
1776433665.6660001,2.488486357105629,37.42023436196243
1776433665.671,2.4884291599673514,37.42351151658596
1776433665.676,2.4884838251124934,37.42037943448287
1776433665.681,2.488492337422794,37.41989171502874
1776433665.686,2.488672824243655,37.40955058193566
1776433665.691,2.4884054659427215,37.424869084196956
1776433665.696,2.4884841763497976,37.42035931006774
1776433665.701,2.4883661357428197,37.42712253865872
1776433665.706,2.4883292639902352,37.429235134465074
1776433665.7110002,2.4884514789743175,37.42223273168389
1776433665.716,2.488412329094993,37.42447585453763
1776433665.7210002,2.4884649728120287,37.421459591733594
1776433665.726,2.48836858456703,37.42698223136671
1776433665.7310002,2.488570575941993,37.41540897808329
1776433665.736,2.4886863702956457,37.40877445032754
1776433665.7410002,2.4886161555830153,37.412797457020986
1776433665.746,2.4885887519695626,37.41436756841523
1776433665.7510002,2.4888185143500494,37.40120315372246
1776433665.756,2.488820983011636,37.401061709832504
1776433665.7610002,2.489138188653878,37.382887165294306
1776433665.766,2.48917563070906,37.38074189355606
1776433665.7710001,2.489421550300964,37.3666517388404
1776433665.776,2.4898014063289575,37.34488759161377
1776433665.7810001,2.489924529411626,37.337833158616235
1776433665.786,2.4900657468980065,37.32974199265317
1776433665.7910001,2.490282234220463,37.317338182758306
1776433665.796,2.4905563756022153,37.301631038594024
1776433665.801,2.4903273665968655,37.31475228807108
1776433665.806,2.490650283617262,37.296250505669406
1776433665.811,2.490914776326397,37.281096189723996
1776433665.816,2.4910066532352606,37.27583203061138
1776433665.821,2.4911133761431525,37.269717258411816
1776433665.826,2.491238445120066,37.26255133388665
1776433665.831,2.4914398432131266,37.25101207315231
1776433665.8360002,2.4914948339731295,37.24786133469192
1776433665.841,2.4915641158585413,37.243891775061115
1776433665.8460002,2.4916421456951943,37.23942099474482
