Time_s,Control_Mode,Desired_Position_deg,Actual_Position_deg,Position_Error_deg,Total_Torque_Nm,Feedback_Torque_Nm,Feedforward_Torque_Nm,Jerk_deg_per_s3
0.0,AAN,0.25614959802684184,76.22907488986783,75.972925291841,4.1,780798.9192808933,0.0,0.0
0.008038585209003215,AAN,1.2412179147737619,76.22907488986783,74.98785697509408,4.1,13.618585450294542,0.0,-7999576.746678401
0.01607717041800643,AAN,3.0948584339838474,74.5022026431718,71.40734420918795,4.1,12.263012666866077,0.0,6856780.0685814675
0.024115755627009645,AAN,5.668377254355726,72.52863436123347,66.86025710687774,4.1,60.34865505660679,0.0,-3428390.0342907333
0.03215434083601286,AAN,8.821682971823355,69.56828193832598,60.746598966502624,4.1,37.721775946252976,0.0,1142796.678096933
0.04019292604501608,AAN,12.42388847978655,65.86784140969162,53.44395292990507,4.1,15.05774507983897,0.0,10285170.102872232
0.04823151125401929,AAN,16.360157211637443,63.64757709251101,47.28741988087357,4.1,65.1294876087158,0.0,-9713771.7638238
0.0562700964630225,AAN,20.53545683098463,60.81057268722466,40.275115856240035,4.1,19.108553560316853,0.0,7999576.746678433
0.06430868167202572,AAN,24.869618290158872,59.08370044052863,34.21408215036976,4.1,49.38657435639468,0.0,-8570975.085726898
0.07234726688102894,AAN,29.29436498650382,56.61674008810572,27.322375101601903,4.1,10.708755280038464,0.0,7428178.40763
0.08038585209003216,AAN,33.75224792255268,55.013215859030836,21.260967936478163,4.1,26.9073127112807,0.0,-7428178.407630002
0.08842443729903536,AAN,38.19195936443171,52.669603524229075,14.477644159797364,4.1,5.449609630678809,0.0,2856991.695242302
0.09646302250803858,AAN,42.56656177039339,50.202643171806166,7.6360814014127705,1.3343395722612876,1.3343395722612876,0.0,5713983.390484599
0.1045016077170418,AAN,46.83324582245101,48.84581497797357,2.0125691555225607,-0.8195086228225634,-0.8195086228225634,0.0,-6285381.729533067
0.112540192926045,AAN,50.95389535794335,47.242290748898675,-3.711604609044675,-3.2970015205169814,-3.2970015205169814,0.0,6285381.729533067
0.12057877813504822,AAN,54.89695020502618,46.74889867841409,-8.148051526612084,-4.1,-14.708496737024088,0.0,5713983.390484565
0.12861736334405144,AAN,58.63842059290871,48.59911894273127,-10.039301650177437,-4.1,-5.3309900317385,0.0,-3999788.373339196
0.13665594855305466,AAN,62.16617179344431,51.9295154185022,-10.236656374942115,-4.1,-5.946641999979715,0.0,-12570763.45906607
0.14469453376205788,AAN,65.47927301935106,54.02643171806167,-11.452841301289377,-4.1,-28.851104077789127,0.0,13713560.13716297
0.1527331189710611,AAN,68.59600333205346,57.85022026431718,-10.745783067736284,-4.1,-8.891852578588425,0.0,-15427755.154308368
0.1607717041800643,AAN,71.54958557542433,60.070484581497794,-11.479100993926533,-4.1,-29.66908946837725,0.0,14856356.815259933
0.1688102893890675,AAN,74.38044969652259,63.8942731277533,-10.486176568769297,-4.1,-13.768793534595586,0.0,-11999365.120017635
0.17684887459807072,AAN,77.1746856063223,66.73127753303964,-10.443408073282653,-4.1,-18.831313149445663,0.0,-571398.3390484671
0.18488745980707394,AAN,80.01930321801441,68.45814977973568,-11.56115343827874,-4.1,-40.232825182128586,0.0,14284958.476211466
0.19292604501607716,AAN,82.96509878519292,72.15859030837004,-10.806508476822879,-4.1,-21.877402763140264,0.0,-10856568.441920698
0.20096463022508038,AAN,86.0559612874606,75.48898678414096,-10.566974503319647,-4.1,-24.74878138771902,0.0,-1714195.0171453704
0.2090032154340836,AAN,89.27830153273868,78.07929515418502,-11.199006378553655,-4.1,-55.853541659752615,0.0,2856991.695242234
0.2170418006430868,AAN,92.57255135791048,80.54625550660792,-12.026295851302555,-4.1,-48.35604144435317,0.0,1714195.0171454337
0.22508038585209,AAN,95.88624699616174,83.25991189427312,-12.626335101888627,-4.1,-42.25428095961843,0.0,2285593.3561938684
0.23311897106109322,AAN,99.17173384142372,86.7136563876652,-12.45807745375852,-4.1,-23.925057336357394,0.0,-10856568.441920834
0.24115755627009644,AAN,102.3880972418923,88.56387665198237,-13.824220589909931,-4.1,-58.38042017275845,0.0,10285170.102872398
0.24919614147909966,AAN,105.50401343878207,91.03083700440529,-14.473176434376779,-4.1,-32.45472691452957,0.0,-2856991.695242431
0.2572347266881029,AAN,108.49469214679645,93.49779735682819,-14.996894789968263,-4.1,-27.394830469075586,0.0,-3428390.034290667
0.26527331189710607,AAN,111.3404958577776,95.22466960352422,-16.115826254253374,-4.1,-49.03885563188473,0.0,5142585.051436165
0.2733118971061093,AAN,114.02649933296995,97.3215859030837,-16.704913429886243,-4.1,-26.51291079020079,0.0,-5142585.0514362315
0.2813504823151125,AAN,116.5411269553126,98.6784140969163,-17.862712858396296,-4.1,-42.256547271175236,0.0,7428178.407629966
0.28938906752411575,AAN,118.87658088873145,100.8986784140969,-17.977902474634543,-4.1,-18.89807964626084,0.0,-6285381.729532967
0.29742765273311894,AAN,121.02562203016072,102.62555066079294,-18.400071369367765,-4.1,-17.965519723771134,0.0,-6.064510671421885e-10
0.3054662379421222,AAN,122.98302047871468,103.8590308370044,-19.123989641710292,-4.1,-30.24575723849481,0.0,5142585.0514361
0.3135048231511254,AAN,124.74749460383661,105.70925110132158,-19.03824350251503,-4.1,-12.29608543840153,0.0,-5142585.051436165
0.3215434083601286,AAN,126.31966977143969,107.06607929515418,-19.253590476285503,-4.1,-19.702198745487927,0.0,2856991.6952423
0.3295819935691318,AAN,127.70323212704618,108.54625550660792,-19.156976620438265,-4.1,-11.455519551034739,0.0,1714195.017145432
