Time_sec,MoCap_Elbow_Angle,Optimized_Angle,Optimized_Angle_Before,Filtered_Net_A
0.0,0.6570044259790216,0.23511488735675812,0.0,0.0
0.0004999637603759766,0.6570044259790216,0.2648368775844574,0.0,0.0
0.0009999275207519531,0.6570044259790216,0.10715366899967194,0.0,0.0
0.0014998912811279297,0.6570044259790216,0.04546850174665451,0.0,0.0
0.002000093460083008,0.6570044259790216,0.09074114263057709,0.0,0.0
0.0025000572204589844,0.6570044259790216,0.14295931160449982,0.0,0.0
0.003000020980834961,0.6570044259790216,0.14955998957157135,0.0,0.0
0.0034999847412109375,0.6570044259790216,0.1200224906206131,0.0,0.0
0.003999948501586914,0.6570044259790216,0.08611632883548737,0.0,0.0
0.004499912261962891,0.6570044259790216,0.06250673532485962,0.0,0.0
0.005000114440917969,0.6570044259790216,0.043523333966732025,0.0,0.0
0.005500078201293945,0.6570044259790216,0.020451534539461136,0.0,0.0
0.006000041961669922,0.6570044259790216,-0.007883645594120026,0.0,0.0
0.0065000057220458984,0.6570044259790216,-0.036320555955171585,0.0,0.0
0.006999969482421875,0.6570044259790216,-0.05906278267502785,0.0,0.0
0.0074999332427978516,0.6570044259790216,-0.07320144772529602,0.0,0.0
0.007999897003173828,0.6570044259790216,-0.07877066731452942,0.0,0.0
0.008500099182128906,0.6570044259790216,-0.07748039066791534,0.0,0.0
0.009000062942504883,0.6570044259790216,-0.07160717248916626,0.0,0.0
0.00950002670288086,0.6570044259790216,-0.06319877505302429,0.0,0.0
0.009999990463256836,0.6570044259790216,-0.0536072738468647,0.0,0.0
0.010499954223632812,0.6570044259790216,-0.04344301298260689,0.0,0.0
0.010999917984008789,0.6570044259790216,-0.03290172293782234,0.0,0.0
0.011499881744384766,0.6570044259790216,-0.02218780294060707,0.0,0.0
0.012000083923339844,0.6570044259790216,-0.01175575703382492,0.0,0.0
0.01250004768371582,0.6570044259790216,-0.0022724121809005737,0.0,0.0
0.013000011444091797,0.6570044259790216,0.0055783651769161224,0.0,0.0
0.013499975204467773,0.6570044259790216,0.011328652501106262,0.0,0.0
0.01399993896484375,0.6570044259790216,0.014801111072301865,0.0,0.0
0.014499902725219727,0.6570044259790216,0.016052961349487305,0.0,0.0
0.015000104904174805,0.6570044259790216,0.015288326889276505,0.0,0.0
0.015500068664550781,0.6570044259790216,0.012797167524695396,0.0,0.0
0.016000032424926758,0.6570044259790216,0.008940387517213821,0.0,0.0
0.016499996185302734,0.6570044259790216,0.004129759967327118,0.0,0.0
0.01699995994567871,0.6570044259790216,-0.001198049634695053,0.0,0.0
0.017499923706054688,0.6570044259790216,-0.00660303607583046,0.0,0.0
0.017999887466430664,0.6570044259790216,-0.011669449508190155,0.0,0.0
0.018500089645385742,0.6570044259790216,-0.016055934131145477,0.0,0.0
0.01900005340576172,0.6570044259790216,-0.019531775265932083,0.0,0.0
0.019500017166137695,0.6570044259790216,-0.02197745069861412,0.0,0.0
0.019999980926513672,0.6570044259790216,-0.023379523307085037,0.0,0.0
0.02049994468688965,0.6570044259790216,-0.02380244806408882,0.0,0.0
0.020999908447265625,0.6570044259790216,-0.023357879370450974,0.0,0.0
0.021500110626220703,0.6570044259790216,-0.02218400314450264,0.0,0.0
0.02200007438659668,0.6570044259790216,-0.020427066832780838,0.0,0.0
0.022500038146972656,0.6570044259790216,-0.01823703944683075,0.0,0.0
0.023000001907348633,0.6570044259790216,-0.015766102820634842,0.0,0.0
0.02349996566772461,0.6570044259790216,-0.01316177099943161,0.0,0.0
0.023999929428100586,0.6570044259790216,-0.010570183396339417,0.0,0.0
0.024499893188476562,0.6570044259790216,-0.008119262754917145,0.0,0.0
0.02500009536743164,0.6570044259790216,-0.005920805037021637,0.0,0.0
0.025500059127807617,0.6570044259790216,-0.004060130566358566,0.0,0.0
0.026000022888183594,0.6570044259790216,-0.0025919973850250244,0.0,0.0
0.02649998664855957,0.6570044259790216,-0.00152573361992836,0.0,0.0
0.026999950408935547,0.6570044259790216,-0.0008518137037754059,0.0,0.0
0.027499914169311523,0.6570044259790216,-0.0005409196019172668,0.0,0.0
0.0280001163482666,0.6570044259790216,-0.0005458928644657135,0.0,0.0
0.028500080108642578,0.6570044259790216,-0.0008102878928184509,0.0,0.0
0.029000043869018555,0.6570044259790216,-0.0012716874480247498,0.0,0.0
