timestamp_emg,emg_data
1776861843.402133,"[[-0.0144686 ]
 [-0.00484773]
 [-0.02402289]]"
1776861843.4021428,"[[-0.01692013]
 [-0.00964706]
 [-0.0244274 ]]"
1776861843.4021497,"[[-0.01760595]
 [-0.01558573]
 [-0.02383678]]"
1776861843.4021773,"[[-0.01664536]
 [-0.01699025]
 [-0.022372  ]]"
1776861843.4021842,"[[-0.0164209 ]
 [-0.01611424]
 [-0.02070679]]"
1776861843.4021952,"[[-0.0200845 ]
 [-0.02724199]
 [-0.02194687]]"
1776861843.4022064,"[[-0.01430211]
 [-0.01941335]
 [-0.02513731]]"
1776861843.4022582,"[[-0.02516061]
 [ 0.00223098]
 [-0.02510977]]"
1776861843.4022639,"[[-0.02639096]
 [-0.00117517]
 [-0.02899022]]"
1776861843.4022694,"[[-0.02678478]
 [-0.00175016]
 [-0.0314574 ]]"
1776861843.4022746,"[[-0.02899229]
 [-0.00301428]
 [-0.03072213]]"
1776861843.4022796,"[[-0.03148454]
 [-0.00564373]
 [-0.02772496]]"
1776861843.4022899,"[[-0.0329471 ]
 [-0.00706915]
 [-0.02500112]]"
1776861843.4022954,"[[-0.03373054]
 [-0.00624838]
 [-0.0266738 ]]"
1776861843.402348,"[[-0.03170991]
 [-0.00678308]
 [-0.02543552]]"
1776861843.402408,"[[-0.03184045]
 [ 0.00904248]
 [-0.02388924]]"
1776861843.4024184,"[[-0.02973992]
 [ 0.00135247]
 [-0.02339471]]"
1776861843.4024239,"[[-0.0283475 ]
 [-0.00513574]
 [-0.02303048]]"
1776861843.4024289,"[[-0.02601393]
 [-0.00960972]
 [-0.02295701]]"
1776861843.402528,"[[-0.01475985]
 [-0.00344475]
 [-0.02136841]]"
1776861843.402533,"[[-0.01315811]
 [-0.00547679]
 [-0.01902825]]"
1776861843.4025383,"[[-0.01341174]
 [-0.01527222]
 [-0.01846213]]"
1776861843.4025433,"[[-0.01699897]
 [-0.0289983 ]
 [-0.02036821]]"
1776861843.4025483,"[[-0.02086717]
 [-0.0377262 ]
 [-0.02389244]]"
1776861843.4025536,"[[-0.02076098]
 [-0.03467716]
 [-0.02723417]]"
1776861843.402559,"[[-0.01770181]
 [-0.02359237]
 [-0.02934079]]"
1776861843.4025693,"[[-0.01354825]
 [-0.00376021]
 [-0.02683766]]"
1776861843.4026942,"[[-3.15547732e-02]
 [ 7.85552601e-05]
 [-2.38651810e-02]]"
1776861843.4027045,"[[-0.0276771 ]
 [ 0.00342314]
 [-0.02215961]]"
1776861843.402753,"[[-0.02235929]
 [ 0.00774672]
 [-0.01859037]]"
1776861843.4027672,"[[-0.01894427]
 [ 0.00766948]
 [-0.01520611]]"
1776861843.4028986,"[[-0.02925494]
 [-0.00290071]
 [-0.0254612 ]]"
1776861843.4029148,"[[-0.02940427]
 [-0.00364687]
 [-0.02540965]]"
1776861843.4029202,"[[-0.03033538]
 [-0.00312622]
 [-0.02266033]]"
1776861843.4029255,"[[-0.03163757]
 [-0.00363251]
 [-0.01832524]]"
1776861843.4029362,"[[-0.03129837]
 [-0.00147799]
 [-0.01539685]]"
1776861843.4029415,"[[-0.02859662]
 [ 0.00467104]
 [-0.01662618]]"
1776861843.4030318,"[[-0.02603556]
 [-0.01763646]
 [-0.0212423 ]]"
1776861843.4030392,"[[-0.0253127 ]
 [-0.01760971]
 [-0.02374776]]"
1776861843.4030898,"[[-0.02377152]
 [-0.05451894]
 [-0.02448866]]"
1776861843.4030964,"[[-0.01696031]
 [-0.04649966]
 [-0.02583368]]"
1776861843.4031897,"[[-0.01181503]
 [-0.02629693]
 [-0.02809986]]"
1776861843.4031978,"[[-0.01107043]
 [-0.00981908]
 [-0.03008095]]"
1776861843.4032032,"[[-0.01266519]
 [-0.00287806]
 [-0.02934578]]"
1776861843.403231,"[[-0.0144272 ]
 [ 0.00568304]
 [-0.02605884]]"
1776861843.4032366,"[[-0.01658805]
 [ 0.00887576]
 [-0.02898908]]"
1776861843.4032776,"[[-0.01693096]
 [ 0.008971  ]
 [-0.02841267]]"
1776861843.40331,"[[-0.01557049]
 [ 0.00705987]
 [-0.02483773]]"
1776861843.403317,"[[-0.01477957]
 [ 0.0059427 ]
 [-0.02399769]]"
1776861843.4034173,"[[-0.02170764]
 [ 0.00548831]
 [-0.02435728]]"
1776861843.403424,"[[-0.01882231]
 [ 0.01933113]
 [-0.02502069]]"
1776861843.4034536,"[[-0.01810037]
 [ 0.02569423]
 [-0.02566677]]"
1776861843.4039452,"[[-0.02036055]
 [-0.00583955]
 [-0.02234447]]"
1776861843.403966,"[[-0.02287766]
 [-0.00546521]
 [-0.02439978]]"
1776861843.4039767,"[[-0.02289767]
 [-0.00533997]
 [-0.02494238]]"
1776861843.403987,"[[-0.02288568]
 [-0.00479952]
 [-0.02506123]]"
1776861843.404289,"[[-0.02917137]
 [-0.01697914]
 [-0.03126016]]"
1776861843.404299,"[[-0.02798199]
 [-0.0166904 ]
 [-0.03034804]]"
1776861843.4043088,"[[-0.0256053 ]
 [-0.00800052]
 [-0.02752437]]"
1776861843.4043188,"[[-0.02396479]
 [-0.00056829]
 [-0.0234401 ]]"
1776861843.4043386,"[[-0.02330918]
 [-0.00243299]
 [-0.01787402]]"
1776861843.4043581,"[[-0.01798661]
 [-0.00694406]
 [-0.02004945]]"
1776861843.4047143,"[[-0.01965369]
 [ 0.00348702]
 [-0.01943845]]"
1776861843.4047637,"[[-0.02096798]
 [ 0.00082104]
 [-0.02358618]]"
1776861843.40479,"[[-0.02009349]
 [-0.00081682]
 [-0.02387387]]"
1776861843.404816,"[[-0.01966867]
 [-0.00236271]
 [-0.02344862]]"
1776861843.404823,"[[-0.02032854]
 [-0.00076972]
 [-0.02405831]]"
1776861843.4054966,"[[-0.02992327]
 [-0.04929042]
 [-0.01924365]]"
1776861843.4055762,"[[-0.02847863]
 [ 0.00530121]
 [-0.02541064]]"
1776861843.4056053,"[[-0.02253629]
 [-0.00056639]
 [-0.02118459]]"
1776861843.405615,"[[-0.01991061]
 [-0.00149628]
 [-0.01988664]]"
1776861843.405625,"[[-0.01845948]
 [-0.00186735]
 [-0.01890171]]"
1776861843.4056642,"[[-0.02018754]
 [-0.01041137]
 [-0.02615516]]"
1776861843.405674,"[[-0.02123738]
 [-0.01207505]
 [-0.02812703]]"
1776861843.4056838,"[[-0.02139072]
 [-0.00542477]
 [-0.02730244]]"
1776861843.4057367,"[[-0.01894943]
 [ 0.00945262]
 [-0.0237043 ]]"
1776861843.4057922,"[[-0.02684722]
 [-0.00142359]
 [-0.02400369]]"
