Time_s,Average_Actual_Position_deg,Standard_Deviation_Actual_Position_deg,Average_Desired_Position_deg,Standard_Deviation_Desired_Position_deg,Average_Position_Error_deg,Standard_Deviation_Position_Error_deg,Average_Actual_Position_rad,Standard_Deviation_Actual_Position_rad,Average_Desired_Position_rad,Standard_Deviation_Desired_Position_rad,Average_Position_Error_rad,Standard_Deviation_Position_Error_rad,Average_Feedback_Torque_Nm,Standard_Deviation_Feedback_Torque_Nm,Average_Feedforward_Torque_Nm,Standard_Deviation_Feedforward_Torque_Nm,Average_Total_Torque_Nm,Standard_Deviation_Total_Torque_Nm,Average_Jerk_deg_per_s3,Standard_Deviation_Jerk_deg_per_s3,Average_Jerk_rad_per_s3,Standard_Deviation_Jerk_rad_per_s3
0.0,28.57562408223201,34.2606134991005,0.19733612323252772,0.052413247176391696,28.37828795899948,34.22550062506193,0.49873872604713143,0.5979605093125191,0.0034441650835288842,0.000914783734889656,0.4952945609636026,0.5973476740507081,640179.3685735074,118303.40888238214,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0
0.0076923076923076,28.616740088105725,34.222943981367564,0.9561968958084733,0.253474087500484,27.66054319229725,34.0527887096778,0.49945633572489706,0.5973030522004409,0.01668878412920703,0.0044239573953716495,0.48276755159569,0.594333282469829,4.520795621347365,6.435323246892634,0.0,0.0,1.3479338045825175,1.9533124630046304,-3809322.26032305,3106408.2949912003,-66485.21571214979,54217.05265885973
0.0153846153846153,27.835535976505138,33.5201626376946,2.38415168630603,0.6307215277980708,25.451384290199105,33.095676235864154,0.48582175184734955,0.5850372038317577,0.04161129679301523,0.011008167323285275,0.44421045505433443,0.5776285184898728,3.6016060920694404,6.288264867464874,0.0,0.0,0.8806018697807483,2.6859924193596374,2095127.24317767,3438955.205820366,36566.86864168225,60021.09117016464
0.023076923076923,26.684287812041116,32.84522991208247,4.366533996168939,1.1535108518449817,22.31775381587217,32.059450405901856,0.4657286808699111,0.5732574055403667,0.07621039513341345,0.02013256232217944,0.38951828573649777,0.5595429659628198,18.80780089760584,29.461021006184186,0.0,0.0,0.27049632451855105,3.3694217886490194,1333262.791113077,3438955.2058203747,23269.825499252587,60021.0911701648
0.0307692307692307,25.450807635829662,31.516055485419297,6.796357997158393,1.7935931376261567,18.654449638671267,30.278795005350084,0.44420039053694144,0.5500589354617865,0.11861882419466137,0.03130410569275223,0.32558156634228014,0.5284646663797731,8.24887252122353,21.64490327500982,0.0,0.0,0.22409672752813703,3.362603954265846,-571398.3390484574,2424237.84179938,-9972.782356822465,42310.93219084059
0.0384615384615384,24.011747430249628,29.75054859458191,9.574529052140837,2.5251632841720193,14.437218378108794,27.953653461970838,0.4190840518151435,0.519245027250026,0.16710705628770947,0.04407241345927494,0.2519769955274341,0.48788329087290266,0.7214579166446597,11.404927647418997,0.0,0.0,-0.0155172339641195,3.3477079077730867,3237923.9212745945,5032055.59039467,56512.43335532734,87825.93819577414
0.0461538461538461,23.066079295154182,28.71493104026356,12.611459174703418,3.3281219422771446,10.45462012045077,26.225030113175272,0.4025790292265334,0.5011700911357195,0.22011148607942135,0.05808668580060484,0.1824675431471121,0.45771312190956964,15.033846299118993,36.29621787469851,0.0,0.0,-0.10718162313263503,3.351065870337579,-952330.5650807688,7484130.763178315,-16621.303928037552,130622.72346725759
0.0538461538461538,22.40822320117474,27.159230510366278,15.829990698444226,4.1870822563028725,6.5782325027305175,23.91431653307566,0.3910972743822829,0.47401799471399153,0.27628545824792855,0.07307837142431822,0.11481181613435443,0.4173835618662856,-3.280262410422974,18.553062737651572,0.0,0.0,-0.8754894039426463,3.569261836780592,190466.1130161596,5758253.984467732,3324.2607856076115,100500.49119504433
0.0615384615384615,22.07929515418502,26.243480477093833,19.16289226208768,5.090354568178923,2.9164028920973415,22.157563419718088,0.38535639696015767,0.45803514150813973,0.3344555641783742,0.08884344730865638,0.05090083278178353,0.38672243589353483,1.9512450796412455,37.62288213734474,0.0,0.0,-0.2981505627603281,3.3740856810127484,1714195.0171453643,7792834.36929881,29918.34707046725,136010.61780683996
0.0692307692307692,22.449339207048457,24.32990792516874,22.54763738989071,6.03408497413611,-0.09829818284225193,19.406862145954737,0.39181488406004855,0.42463700000125676,0.3935305109993732,0.105314650143792,-0.00171562693932469,0.3387136419275625,-7.039233146481457,17.533805163850914,0.0,0.0,-0.3054296085544718,3.3753875567451717,-2476059.4692099704,7003353.765198198,-43215.390212897146,122231.5818846504
