Format Version,1.0,
Take Name,ExoTest2,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,21 Apr 2026 14:55:38 +0200,
Total Frames In Take,2265,
Total Exported Frames,22650,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
13,0.065000,134,0.000000,0.000000
13,0.065000,135,0.000000,0.000000
13,0.065000,136,0.000000,0.000000
13,0.065000,137,0.000000,0.000000
13,0.065000,138,0.000000,0.000000
13,0.065000,139,0.000000,0.000000
14,0.070000,140,-0.020085,0.003025
14,0.070000,141,-0.020174,0.001421
14,0.070000,142,-0.019293,-0.001199
14,0.070000,143,-0.018310,-0.003108
14,0.070000,144,-0.015570,-0.003022
14,0.070000,145,-0.012988,-0.000841
14,0.070000,146,-0.012230,0.000723
14,0.070000,147,-0.012301,0.000187
14,0.070000,148,-0.011809,-0.002099
14,0.070000,149,-0.011028,-0.003329
15,0.075000,150,-0.010769,-0.006474
15,0.075000,151,-0.012741,-0.013267
15,0.075000,152,-0.013657,-0.021512
15,0.075000,153,-0.013417,-0.026652
15,0.075000,154,-0.013048,-0.025108
15,0.075000,155,-0.013037,-0.017693
15,0.075000,156,-0.013772,-0.010040
15,0.075000,157,-0.015303,-0.005892
15,0.075000,158,-0.014887,-0.004397
15,0.075000,159,-0.013771,-0.004926
16,0.080000,160,-0.014518,-0.006339
16,0.080000,161,-0.015975,-0.005947
16,0.080000,162,-0.015737,-0.003469
16,0.080000,163,-0.017620,-0.001654
16,0.080000,164,-0.019771,-0.002662
16,0.080000,165,-0.020628,-0.003068
16,0.080000,166,-0.022402,-0.000969
16,0.080000,167,-0.025342,0.001494
16,0.080000,168,-0.026593,0.002357
16,0.080000,169,-0.026157,0.002739
17,0.085000,170,-0.026348,0.001432
17,0.085000,171,-0.028549,-0.002534
