Time_sec,MoCap_Angle_rad,Optimized_Angle_rad,Filtered_Net_A
0.0,0.38716974030910933,0.0,-0.0010064495969924904
0.005000114440917969,0.38724086448658585,0.0,-0.0029920809185471947
0.009000062942504883,0.38715033370178,0.0,-0.004580529167723395
0.01399993896484375,0.3871801198382084,0.0,-0.006731457291177941
0.019999980926513672,0.38722995776259894,0.0,-0.009225526228985866
0.02500009536743164,0.3872575914080738,0.0,-0.012388075499121461
0.029000043869018555,0.38733220190507756,0.0,-0.014008309589961264
0.03500008583068848,0.38716269714289886,0.0,-0.016438709013581368
0.039999961853027344,0.38721450696382415,0.0,-0.01933425217959472
0.04399991035461426,0.3870615689680501,0.0,-0.02183880746037567
0.04900002479553223,0.3871685940733144,0.0,-0.024969613525139222
0.05500006675720215,0.38721384013924515,0.0,-0.029266949651951854
0.059999942779541016,0.38725141551920816,0.0,-0.03267330087341119
0.06399989128112793,0.3872510940965557,0.0,-0.0353984143368809
0.0690000057220459,0.38737231778528775,0.0,-0.03980468540254046
0.07500004768371582,0.3875083664207823,0.0,-0.044750193749836124
0.07899999618530273,0.38745599581903445,0.0,-0.04884056817901817
0.0840001106262207,0.3874131383872006,0.0,-0.05280166405374485
0.08999991416931152,0.38752493943863786,0.0,-0.057554714677791045
0.09500002861022949,0.3874670915961467,0.0,-0.06207094333505819
0.0989999771118164,0.3873400337758144,0.0,-0.06594918249124522
0.10400009155273438,0.3872747423182965,0.0,-0.07079715480951156
0.1099998950958252,0.38711963973685926,0.0,-0.07671495743590435
0.11500000953674316,0.38718623989632234,0.0,-0.08168079181707114
0.11899995803833008,0.3870892744314227,0.0,-0.08610598138302139
0.125,0.38721047277737336,0.0,-0.09218618526698362
0.13000011444091797,0.3870443132284256,0.0,-0.09725310237158728
0.13400006294250488,0.38710721451537977,0.0,-0.10260894433735385
0.13899993896484375,0.3871064799435339,0.0,-0.10721695398462969
0.14499998092651367,0.38714715316972065,0.0,-0.1127467413473374
0.15000009536743164,0.3872659382457412,0.0,-0.1183902956408941
0.15400004386901855,0.38728405906009544,0.0,-0.12330936961928658
0.16000008583068848,0.38717938955629116,0.0,-0.13114825035237385
0.16499996185302734,0.3871018526369795,0.0,-0.13705823798851954
0.16899991035461426,0.38710664229080227,0.0,-0.14178628446086788
0.17400002479553223,0.3870883795852659,0.0,-0.15164280421192017
0.18000006675720215,0.38717440255663554,0.0,-0.156878141613739
0.18499994277954102,0.38721275215140777,0.0,-0.161240784093813
0.18899989128112793,0.3872070808018211,0.0,-0.16527023815636935
0.1940000057220459,0.3871834411987429,0.0,-0.17475796943898045
0.20000004768371582,0.3870749494041708,0.0,-0.1859162799895772
0.20399999618530273,0.3871015142500619,0.0,-0.19239382591412663
0.2090001106262207,0.38693019393868683,0.0,-0.20049104789240946
0.21499991416931152,0.3868793838200951,0.0,-0.21064893688092015
0.2200000286102295,0.3868434048019112,0.0,-0.21986606882284498
0.2239999771118164,0.3869633363983898,0.0,-0.2272395106781603
0.22900009155273438,0.3869996882237777,0.0,-0.2408107947717285
0.2349998950958252,0.3869505492693736,0.0,-0.24976390288959413
0.24000000953674316,0.38699109529073,0.0,-0.2572176236209658
0.24399995803833008,0.38708120774918386,0.0,-0.263867678151369
0.25,0.38698889411679277,0.0,-0.2738429581365945
0.25500011444091797,0.3869436630411784,0.0,-0.28313266380499835
0.2590000629425049,0.3869578505756075,0.0,-0.29037498397873257
0.26399993896484375,0.3869204251686107,0.0,-0.2994277762755305
0.26999998092651367,0.3871015467365703,0.0,-0.3095687318169355
0.27500009536743164,0.38706652014045845,0.0,-0.31649098336405096
0.27900004386901855,0.3871031120103819,0.0,-0.3220285865590708
0.2850000858306885,0.3870239228455883,0.0,-0.3295543076689842
0.28999996185302734,0.3871661512269043,0.0,-0.3357159165089533
0.29399991035461426,0.3870203642893041,0.0,-0.3411027153178654
0.2990000247955322,0.3869280199581958,0.0,-0.34588691639699026
0.30500006675720215,0.3869257427590928,0.0,-0.3516278664426348
0.309999942779541,0.3869254524054344,0.0,-0.3568522802808378
0.31399989128112793,0.3869499538548133,0.0,-0.36069063301707205
0.3190000057220459,0.3869354806373048,0.0,-0.3654887455273126
0.3250000476837158,0.3868040026796477,0.0,-0.3706177114050032
0.32899999618530273,0.3868374845758269,0.0,-0.37379405313924213
0.3340001106262207,0.3868902382456243,0.0,-0.3777646223024095
0.3399999141693115,0.3868069034058238,0.0,-0.3815696301350391
0.3450000286102295,0.3868268526702282,0.0,-0.3847535648977689
0.3489999771118164,0.3868589102213773,0.0,-0.3873006216169334
0.3540000915527344,0.3869093612498066,0.0,-0.3915484093611168
0.3599998950958252,0.386974383159941,0.0,-0.39551790592192426
0.36500000953674316,0.3869012000422673,0.0,-0.39803199267965517
0.3689999580383301,0.3867954346626537,0.0,-0.39956263696351396
0.375,0.386756286454119,0.0,-0.4018586490066438
0.38000011444091797,0.3867433673200249,0.0,-0.4050601060873827
0.3840000629425049,0.3868277344463471,0.0,-0.40611273948537885
0.38899993896484375,0.3868979532650275,0.0,-0.40744663154814986
0.39499998092651367,0.3868551583373091,0.0,-0.40829633087757244
0.40000009536743164,0.3868441870493868,0.0,-0.40900442490668515
0.40400004386901855,0.38678010027320103,0.0,-0.40962620406954475
0.4100000858306885,0.386656905349137,0.0,-0.4104207053003945
0.41499996185302734,0.38677905948704505,0.0,-0.4110827686124882
0.41899991035461426,0.38678829239138207,0.0,-0.41129830348158253
0.4240000247955322,0.3868989531360973,0.0,-0.4113977425167915
0.43000006675720215,0.38691609226351914,0.0,-0.41151706746243666
