Metric,N_cycles,N_methods,Friedman_chi_square,p_value
Median_Abs_Jerk,5,9,34.72,3.0067800253367677e-05
Pearson_r,5,9,38.50666666666669,6.0672279327312895e-06
R_squared,5,9,38.400000000000006,6.349430183893594e-06
MAE,5,9,39.46666666666667,4.026201216187309e-06
RMSE,5,9,38.400000000000006,6.349430183893594e-06
Abs_ROM_Error,5,9,36.05333333333334,1.7169759919654432e-05
Abs_Onset_Lag_sec,5,9,33.44,5.130035876529229e-05
