Method_A,Method_B,Metric,Wilcoxon_stat,p_value,Median_Difference_A_minus_B,Significant_p_less_0_1
EMG to q_d,Integrator 1,Median_Abs_Jerk,0.0,0.0625,327.226529400824,True
EMG to q_d,Integrator 2,Median_Abs_Jerk,0.0,0.0625,296.57437478248653,True
EMG to q_d,Integrator 3,Median_Abs_Jerk,0.0,0.0625,329.47017791817706,True
EMG to q_d,Integrator 4,Median_Abs_Jerk,0.0,0.0625,327.58420035867,True
EMG to q_d,Integrator 5,Median_Abs_Jerk,0.0,0.0625,336.74931143185586,True
EMG to q_d,Integrator 6,Median_Abs_Jerk,0.0,0.0625,342.0777607970674,True
EMG to q_d,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,364.9827936645966,True
EMG to q_d,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,364.92708552436665,True
Integrator 1,Integrator 2,Median_Abs_Jerk,0.0,0.0625,-44.45164513128648,True
Integrator 1,Integrator 3,Median_Abs_Jerk,4.0,0.4375,-1.1597293798675992,False
Integrator 1,Integrator 4,Median_Abs_Jerk,3.0,0.3125,-0.23128144071392853,False
Integrator 1,Integrator 5,Median_Abs_Jerk,3.0,0.3125,-4.962561564611406,False
Integrator 1,Integrator 6,Median_Abs_Jerk,0.0,0.0625,33.750898792889416,True
Integrator 1,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,74.63362291621891,True
Integrator 1,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,69.9871937573413,True
Integrator 2,Integrator 3,Median_Abs_Jerk,0.0,0.0625,43.291915751418884,True
Integrator 2,Integrator 4,Median_Abs_Jerk,0.0,0.0625,44.05211728437226,True
Integrator 2,Integrator 5,Median_Abs_Jerk,1.0,0.125,34.793757346283655,False
Integrator 2,Integrator 6,Median_Abs_Jerk,0.0,0.0625,90.37015110211757,True
Integrator 2,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,131.4253108824977,True
Integrator 2,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,126.60644606656946,True
Integrator 3,Integrator 4,Median_Abs_Jerk,4.0,0.4375,0.7602015329533742,False
Integrator 3,Integrator 5,Median_Abs_Jerk,4.0,0.4375,-3.717029755434851,False
Integrator 3,Integrator 6,Median_Abs_Jerk,1.0,0.125,34.28438883714318,False
Integrator 3,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,75.33954861752332,True
Integrator 3,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,70.52068380159507,True
Integrator 4,Integrator 5,Median_Abs_Jerk,3.0,0.3125,-4.731280123897477,False
Integrator 4,Integrator 6,Median_Abs_Jerk,0.0,0.0625,33.75212111192229,True
Integrator 4,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,74.80728089230243,True
Integrator 4,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,69.98841607637418,True
Integrator 5,Integrator 6,Median_Abs_Jerk,1.0,0.125,56.691151613301116,False
Integrator 5,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,96.63155353621406,True
Integrator 5,pDMP coupled,Median_Abs_Jerk,1.0,0.125,91.8126887202858,False
Integrator 6,pDMP weight update,Median_Abs_Jerk,0.0,0.0625,33.492512470347144,True
Integrator 6,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,31.780839174912828,True
pDMP weight update,pDMP coupled,Median_Abs_Jerk,0.0,0.0625,-1.3778793079175755,True
EMG to q_d,Integrator 1,Pearson_r,0.0,0.0625,-0.40415421195214485,True
EMG to q_d,Integrator 2,Pearson_r,0.0,0.0625,-0.4055050713550902,True
EMG to q_d,Integrator 3,Pearson_r,0.0,0.0625,-0.4042067974814103,True
EMG to q_d,Integrator 4,Pearson_r,0.0,0.0625,-0.40419723014205233,True
EMG to q_d,Integrator 5,Pearson_r,0.0,0.0625,-0.33916441806712416,True
EMG to q_d,Integrator 6,Pearson_r,0.0,0.0625,-0.19898173142455855,True
EMG to q_d,pDMP weight update,Pearson_r,0.0,0.0625,0.4277524985146013,True
EMG to q_d,pDMP coupled,Pearson_r,1.0,0.125,0.4010254365568312,False
Integrator 1,Integrator 2,Pearson_r,0.0,0.0625,-0.011813272786863505,True
Integrator 1,Integrator 3,Pearson_r,2.0,0.1875,-0.0004739060481144808,False
Integrator 1,Integrator 4,Pearson_r,2.0,0.1875,-0.00012356629155663157,False
Integrator 1,Integrator 5,Pearson_r,0.0,0.0625,0.031227434498090068,True
Integrator 1,Integrator 6,Pearson_r,0.0,0.0625,0.19711476138142758,True
Integrator 1,pDMP weight update,Pearson_r,0.0,0.0625,0.804400993237242,True
Integrator 1,pDMP coupled,Pearson_r,0.0,0.0625,0.805179648508976,True
Integrator 2,Integrator 3,Pearson_r,0.0,0.0625,0.011214506097514843,True
Integrator 2,Integrator 4,Pearson_r,0.0,0.0625,0.011630094757999254,True
Integrator 2,Integrator 5,Pearson_r,0.0,0.0625,0.05170601677568565,True
Integrator 2,Integrator 6,Pearson_r,0.0,0.0625,0.2089280341682911,True
Integrator 2,pDMP weight update,Pearson_r,0.0,0.0625,0.8175271514441045,True
Integrator 2,pDMP coupled,Pearson_r,0.0,0.0625,0.8065305079119214,True
Integrator 3,Integrator 4,Pearson_r,2.0,0.1875,0.0003503397565578492,False
Integrator 3,Integrator 5,Pearson_r,0.0,0.0625,0.03323856811411474,True
Integrator 3,Integrator 6,Pearson_r,0.0,0.0625,0.19771352807077625,True
Integrator 3,pDMP weight update,Pearson_r,0.0,0.0625,0.8042389949591847,True
Integrator 3,pDMP coupled,Pearson_r,0.0,0.0625,0.8052322340382415,True
Integrator 4,Integrator 5,Pearson_r,0.0,0.0625,0.03206034306788441,True
