Cycle,Cycle_Start_sec,Cycle_End_sec,Optimizer,Median_Abs_Jerk,Pearson_r,R_squared,ROM_Error,Abs_ROM_Error,MAE,RMSE,Onset_Lag_sec,Abs_Onset_Lag_sec,Peak_Lag_sec,Abs_Peak_Lag_sec,Cycle_Duration_sec,Median_Abs_Jerk_norm,Pearson_r_norm,R_squared_norm,MAE_norm,RMSE_norm,Abs_ROM_Error_norm,Abs_Onset_Lag_sec_norm,Weighted_Score
1,1.8570353930513597,8.360441725490672,None,363.0897483459066,0.5710310264088223,-0.3569903411395017,0.7022760607319132,0.7022760607319132,0.5837625023208138,0.7078740501857457,-0.9512625438384633,0.9512625438384633,0.36500000953674316,0.36500000953674316,6.503406332439312,0.0,0.6291858565666691,0.7347221832499448,0.6600360601055272,0.64467913755751,0.35085655998828125,0.3877847839818823,0.4798903343782313
1,1.8570353930513597,8.360441725490672,optimizer_1,35.86321894508262,0.9152343928428854,0.22678668756471454,-0.19882426360465533,0.19882426360465533,0.4749420180626751,0.5343394942117696,-0.4343869259732904,0.4343869259732904,1.6660001277923584,1.6660001277923584,6.503406332439312,0.9020371691047957,0.9899807822062118,0.9496261873791995,0.8643665318579927,0.9210384997339052,0.8165324693573965,0.8747789444903067,0.9111922090057194
1,1.8570353930513597,8.360441725490672,optimizer_2,66.5153735634201,0.9247928656721386,0.36362487620352135,0.020579881008074175,0.020579881008074175,0.4238011669025643,0.484757136010459,-0.684715322878793,0.684715322878793,1.6660001277923584,1.6660001277923584,6.503406332439312,0.8175410164563057,1.0,1.0,0.9603928849348632,1.0,0.9814025034485023,0.6389224573804528,0.9546469478050708
1,1.8570353930513597,8.360441725490672,optimizer_4,33.619570427729556,0.9172455264589101,0.23630736036309663,-0.1499227074963252,0.1499227074963252,0.472481928063922,0.5310396100662416,-0.4489961730446197,0.4489961730446197,1.6660001277923584,1.6660001277923584,6.503406332439312,0.9082220415867585,0.9920888580538192,0.9531310027552314,0.8689858032518447,0.926293671377361,0.8617647572154441,0.8610142828052627,0.9221109102776869
1,1.8570353930513597,8.360441725490672,optimizer_5_pd,35.505547987236625,0.9160673014126798,0.23012806637808647,-0.18301736489138776,0.18301736489138776,0.4742140833922099,0.5331836917223352,-0.4393262151637214,0.4393262151637214,1.6660001277923584,1.6660001277923584,6.503406332439312,0.9030231298057119,0.9908538392846964,0.9508562386676173,0.865733363072126,0.9228791523750419,0.8311533168240425,0.8701252039971157,0.9145728967125367
1,1.8570353930513597,8.360441725490672,optimizer_6,19.945601177493636,0.8840069583447954,0.3142967031787721,-0.00047374523307963656,0.00047374523307963656,0.4027075659115315,0.5031943226193536,-0.3014824361766777,0.3014824361766777,1.8865001201629639,1.8865001201629639,6.503406332439312,0.9459158940243775,0.9572480985477839,0.9818409745876273,1.0,0.9706381872880385,1.0,1.0,0.9734585602231667
1,1.8570353930513597,8.360441725490672,EMG_Optimizer,33.81835195696386,0.7700127578333809,-0.34476036685384326,-0.0170169502636206,0.0170169502636206,0.5879902002285605,0.7046769471329868,-0.7098165870160871,0.7098165870160871,1.886000156402588,1.886000156402588,6.503406332439312,0.9076740776786085,0.8377590606486336,0.7392243652734815,0.6520977797917986,0.6497706270047481,0.9846980940569975,0.6152723399562054,0.8092871710113493
1,1.8570353930513597,8.360441725490672,pDMP,0.32583948661671247,0.14327852789422102,-2.352829994284148,-1.081594299245247,1.081594299245247,0.9352785687816684,1.112687938163679,-0.42716546186450155,0.42716546186450155,2.0,2.0,6.503406332439312,1.0,0.18081449839964112,0.0,0.0,0.0,0.0,0.8815829234936627,0.23935429021614346
1,1.8570353930513597,8.360441725490672,pDMP coupled,24.136725500788856,-0.029221013053928897,-1.7034248041740514,-0.908106576696807,0.908106576696807,0.7598566943210582,0.9991363529163116,-1.3628414005748384,1.3628414005748384,1.8415000438690186,1.8415000438690186,6.503406332439312,0.9343625828461122,0.0,0.23906349307158295,0.32938683014138015,0.18083455192513365,0.16047028419227283,0.0,0.3231359174395012
2,8.360441725490672,14.020954570784937,None,490.26189185121075,0.4071836786360372,-0.27982022937644224,0.5986887461083072,0.5986887461083072,0.7064633275483706,0.7601403400095982,-1.2247579559058748,1.2247579559058748,-1.2239999771118164,1.2239999771118164,5.6605128452942655,0.0,0.1334291070508275,0.6795401696501231,0.44073316631406945,0.5323610592548553,0.6993660752538766,0.0,0.38215207838242776
