Time_sec,Jerk,abs_Jerk
0.0,1.0652475887096162,1.0652475887096162
0.0004999637603759766,1.0584274097775421,1.0584274097775421
0.0009999275207519531,0.5128840679786049,0.5128840679786049
0.0014998912811279297,-0.02441338576881103,0.02441338576881103
0.002000093460083008,-0.021592836054951364,0.021592836054951364
0.0025000572204589844,-0.018832152001883613,0.018832152001883613
0.003000020980834961,-0.0161276655770517,0.0161276655770517
0.0034999847412109375,-0.013475854094095567,0.013475854094095567
0.003999948501586914,-0.010873332201611925,0.010873332201611925
0.004499912261962891,-0.008316844305597624,0.008316844305597624
0.005000114440917969,-0.005803257304873126,0.005803257304873126
0.005500078201293945,-0.0033295537631475823,0.0033295537631475823
0.006000041961669922,-0.0008928254647947755,0.0008928254647947755
0.0065000057220458984,0.0015097327460420265,0.0015097327460420265
0.006999969482421875,0.003880828771439006,0.003880828771439006
0.0074999332427978516,0.006223078803096506,0.006223078803096506
0.007999897003173828,0.008539012562510176,0.008539012562510176
0.008500099182128906,0.010831078263735111,0.010831078263735111
0.009000062942504883,0.013101647397006401,0.013101647397006401
0.00950002670288086,0.015353019188790815,0.015353019188790815
0.009999990463256836,0.01758742486786648,0.01758742486786648
0.010499954223632812,0.01980703180096263,0.01980703180096263
0.010999917984008789,0.022013947335325617,0.022013947335325617
0.011499881744384766,0.02421022246425165,0.02421022246425165
0.012000083923339844,0.026397855377426928,0.026397855377426928
0.01250004768371582,0.028578794832541388,0.028578794832541388
0.013000011444091797,0.030754943334203744,0.030754943334203744
0.013499975204467773,0.032928160187493685,0.032928160187493685
0.01399993896484375,0.035100264427859094,0.035100264427859094
0.014499902725219727,0.037273037582858694,0.037273037582858694
0.015000104904174805,0.039448226373322515,0.039448226373322515
0.015500068664550781,0.041627545281603534,0.041627545281603534
0.016000032424926758,0.0438126789457172,0.0438126789457172
0.016499996185302734,0.04600528451234945,0.04600528451234945
0.01699995994567871,0.04820699391667364,0.04820699391667364
0.017499923706054688,0.05041941600121167,0.05041941600121167
0.017999887466430664,0.0526441385838676,0.0526441385838676
0.018500089645385742,0.054882730484428176,0.054882730484428176
0.01900005340576172,0.05713674340413269,0.05713674340413269
0.019500017166137695,0.05940771377394363,0.05940771377394363
0.019999980926513672,0.061697164529453306,0.061697164529453306
0.02049994468688965,0.06400660680242398,0.06400660680242398
0.020999908447265625,0.06633754160554911,0.06633754160554911
0.021500110626220703,0.068691461414683,0.068691461414683
0.02200007438659668,0.07106985167319203,0.07106985167319203
0.022500038146972656,0.07347419231536201,0.07347419231536201
0.023000001907348633,0.07590595924316691,0.07590595924316691
0.02349996566772461,0.07836662566203462,0.07836662566203462
0.023999929428100586,0.08085766345096662,0.08085766345096662
0.024499893188476562,0.08338054453553177,0.08338054453553177
0.02500009536743164,0.08593674210591838,0.08593674210591838
0.025500059127807617,0.08852773186929577,0.08852773186929577
0.026000022888183594,0.091154993337666,0.091154993337666
0.02649998664855957,0.09382001098158943,0.09382001098158943
0.026999950408935547,0.09652427532965248,0.09652427532965248
0.027499914169311523,0.09926928414230726,0.09926928414230726
0.0280001163482666,0.10205654355590915,0.10205654355590915
0.028500080108642578,0.10488756912592749,0.10488756912592749
0.029000043869018555,0.10776388690840336,0.10776388690840336
0.02950000762939453,0.11068703452264032,0.11068703452264032
0.029999971389770508,0.113658562124949,0.113658562124949
0.030499935150146484,0.11668003344951104,0.11668003344951104
0.03099989891052246,0.11975302682614655,0.11975302682614655
0.03150010108947754,0.12287913612992525,0.12287913612992525
0.032000064849853516,0.12605997176827954,0.12605997176827954
0.03250002861022949,0.12929716161737356,0.12929716161737356
0.03299999237060547,0.1325923519623802,0.1325923519623802
0.033499956130981445,0.13594720845042574,0.13594720845042574
0.03399991989135742,0.139363417034943,0.139363417034943
0.0344998836517334,0.14284268487905646,0.14284268487905646
0.03500008583068848,0.14638674119928172,0.14638674119928172
0.03550004959106445,0.1499973382513885,0.1499973382513885
0.03600001335144043,0.15367625223678197,0.15367625223678197
