time,qd,q,position_error,jerk,jerk_d
0.0,0.00720969,-0.0703435380252012,0.0775532280252012,0.0,39457.40000000009
0.005,0.0348423,-0.0703435380252012,0.1051858380252012,-8.881784197001256e-12,31092.700000000055
0.01,0.08659733,-0.0703435380252012,0.15694086802520119,-3.0814879110195788e-27,-4533.660000000076
0.015,0.15808106,-0.0703435380252012,0.2284245980252012,8.881784197001259e-12,-30162.939999999922
0.02,0.24532251,-0.0703435380252012,0.3156660480252012,1.8488927466117464e-26,-26965.919999999955
0.025,0.3447597,-0.0703435380252012,0.4151032380252012,8.881784197001272e-12,-23913.450000000194
0.03,0.45322229,-0.0703435380252012,0.5235658280252012,1.2325951644078312e-26,-21021.669999999856
0.035,0.5679123,-0.0703435380252012,0.6382558380252012,-8.881784197001249e-12,-18303.72999999999
0.04,0.68638322,-0.0703435380252012,0.7567267580252012,0.0,-15768.74000000017
0.045,0.80651719,-0.0703435380252012,0.8768607280252012,2735.582034313299,-13420.519999999624
0.05,0.92650157,-0.0703435380252012,0.9968451080252012,5666.5627853634105,-11260.6400000001
0.055,1.04480563,-0.0703435380252012,1.115149168025201,1367.7910171568878,-9289.140000000776
0.06,1.16015682,-0.0676079559908879,1.227764775990888,-4494.170484943416,-7501.90999999968
0.065,1.27151698,-0.0646769752398378,1.3361939552398376,-5080.366635153579,-5892.349999999162
0.07,1.37805983,-0.0607690009051044,1.4388288309051043,-1563.1897338932051,-4454.750000000469
0.075,1.47914933,-0.0578380201540544,1.5369873501540545,2930.980751050098,-3182.300000000261
0.08,1.57431825,-0.0549070394030043,1.6292252894030042,1563.1897338931367,-2064.8699999992677
0.085,1.66324793,-0.0513898625017442,1.7146377925017442,-3126.3794677867313,-1092.0500000003376
0.09,1.74574978,-0.0470910907335375,1.7928408707335375,-1953.9871673665261,-255.32000000078187
0.095,1.82174791,-0.0437693125490141,1.8655172225490142,1172.3923004200321,454.52000000038606
0.1,1.89126237,-0.0404475343644907,1.9317099043644907,976.993583683178,1048.770000000106
0.105,1.95439395,-0.0369303574632306,1.9913243074632307,2344.784600839978,1538.7400000000634
0.11,2.01131054,-0.0338039779954439,2.045114517995444,1563.1897338935376,1933.9700000006233
0.115,2.06223482,-0.0298960036607105,2.0921308236607103,-4298.771768206618,2242.5099999994745
0.12,2.10743303,-0.0248156370255571,2.132248667025557,-3907.9743347336453,2472.9999999994143
0.125,2.14720449,-0.0211030614075603,2.1683075514075605,4298.771768206503,2635.630000000092
0.13,2.18187235,-0.0177812832230369,2.1996536332230368,5666.56278536372,2739.9900000006055
0.135,2.21177596,-0.0144595050385136,2.226235465038514,-2540.183317576582,2793.3400000005786
0.14,2.23726413,-0.0084021448196768,2.2456662748196767,-5080.366635153727,2801.5799999993797
0.145,2.25868922,-0.0042987717682067,2.2629879917682065,-1172.3923004199414,2771.3099999997285
0.15,2.27640171,0.0007815948669466,2.2756201151330533,586.1961502102214,2710.129999999872
0.155,2.29074585,0.0042987717682067,2.2864470782317934,195.39871673661764,2624.359999999795
0.16,2.3020564,0.0085975435364134,2.2934588564635865,586.1961502100253,2518.050000000465
0.165,2.31065598,0.0119193217209368,2.298736658279063,1563.1897338934225,2394.7699999999113
0.17,2.31685256,0.0152410999054602,2.3016114600945397,586.1961502099376,2258.460000000163
0.175,2.32093766,0.0191490742401936,2.301788585759806,976.9935836831407,2113.44000000056
0.18,2.32318496,0.0222754537079804,2.3009095062920193,-195.39871673667176,1964.5299999993622
0.185,2.32384935,0.0265742254761871,2.297275124523813,-3517.1769012599652,1814.4299999997284
0.19,2.32316704,0.0306775985276572,2.292489441472343,-781.5948669466671,1663.6200000004892
0.195,2.32135558,0.0339993767121806,2.2873562032878194,4298.771768206835,1514.779999999395
0.2,2.31861323,0.0369303574632306,2.2816828725367695,2735.5820343133482,1371.0399999996457
0.205,2.31511997,0.0406429330812274,2.2744770369187726,-2149.3858841033593,1232.1500000010226
0.21,2.31103831,0.0453325022829074,2.2657058077170924,-1563.1897338933927,1097.540000000385
0.215,2.30651356,0.0492404766176409,2.257273083382359,781.5948669465237,968.739999999284
0.22,2.30167443,0.0537346471025843,2.2479397828974155,390.7974334734274,847.6900000002253
0.225,2.29663389,0.0582288175875277,2.238405072412472,-1758.5884506299833,734.8300000001026
0.23,2.29149033,0.0629183867892078,2.2285719432107918,-1563.1897338934473,629.2899999991187
0.235,2.28632865,0.0679987534243612,2.218329896575639,2149.3858841034425,531.2900000006946
0.24,2.28122084,0.0711251328921479,2.210095707107852,-1172.392300419867,441.440000000453
0.245,2.27622713,0.076987094394248,2.199240035605752,-3321.7781845234413,358.5899999990243
0.25,2.27139725,0.0805042712955081,2.190892978704492,2540.1833175764955,282.86000000036734
0.255,2.26677077,0.0840214481967682,2.182749321803232,2735.582034313358,216.49000000053445
0.26,2.26237815,0.0877340238147649,2.174644126185235,-390.79743347321426,158.9099999992526
0.265,2.25824243,0.0916419981494983,2.166600431850502,-781.5948669466615,107.16999999999507
0.27,2.25438003,0.0955499724842317,2.158830057515768,1172.3923004201145,61.41000000070699
0.275,2.25080102,0.0994579468189651,2.151343073181035,2149.38588410353,23.889999999089696
0.28,2.24751006,0.1031705224369618,2.1443395375630385,-2344.7846008402157,-6.690000000725377
0.285,2.24450795,0.1086416865055886,2.135866263494411,-4298.771768207047,-34.09999999860702
0.29,2.24179213,0.1127450595570587,2.129047070442941,-4.831690603168681e-11,-58.899999998806834
0.295,2.23935653,0.1168484326085288,2.122508097391471,2735.5820343134715,-79.1700000004887
0.3,2.23719214,0.1199748120763155,2.1172173279236843,1172.3923004201145,-94.87000000149271
0.305,2.23528786,0.1240781851277856,2.1112096748722147,-390.79743347322415,-107.4799999997814
0.31,2.23363092,0.1275953620290456,2.106035557970954,586.1961502099258,-116.92999999922858
0.315,2.23220707,0.1315033363637791,2.100703733636221,2540.1833175765237,-121.42000000068253
0.32,2.23100099,0.1352159119817758,2.095785078018224,390.79743347343594,-120.89999999943723
0.325,2.22999723,0.1397100824667192,2.0902871475332807,-4884.9679184165225,-119.40999999978862
0.33,2.22918093,0.1453766452520826,2.0838042847479175,-2540.1833175767715,-120.72000000102878
0.335,2.22853744,0.1490892208700794,2.0794482191299206,2930.9807510498235,-122.51999999960799
0.34,2.22805133,0.1531925939215495,2.0748587360784505,1758.5884506301381,-120.15999999902925
0.345,2.22770698,0.1571005682562828,2.070606411743717,-390.7974334732136,-114.26000000028898
0.35,2.22748967,0.1615947387412263,2.0658949312587738,-195.3987167368835,-108.76000000166948
0.355,2.22738569,0.1655027130759597,2.0618829769240405,-1172.3923004200817,-104.28999999987798
0.36,2.22738169,0.1701922822776398,2.0571894077223605,-1172.3923004199041,-98.75999999820789
0.365,2.22746481,0.1741002566123732,2.0533645533876266,781.594866946734,-92.49000000067991
0.37,2.2276231,0.1778128322303699,2.0498102677696304,1172.3923004200278,-87.54000000095618
0.375,2.22784558,0.1817208065651033,2.0461247734348964,976.9935836833063,-81.94999999886909
