t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm
0.005345582962036133,-0.0029309807510500534,[1.90246838e-05],0.005,0.1,0.0,0.000579592463206682,0
0.016851425170898438,-0.0027355820343133836,[9.23982029e-05],0.005,0.1,0.0,0.0002704454280123301,0
0.0259397029876709,-0.0029309807510500534,[0.00023095],0.005,0.1,0.0,0.00013773652042726008,0
0.034835100173950195,-0.0029309807510500534,[0.0004242],0.005,0.1,0.0,7.589234657638093e-05,0
0.046112060546875,-0.0027355820343133836,[0.00066306],0.005,0.1,0.0,4.704450631813932e-05,0
0.05700254440307617,-0.0027355820343133836,[0.00093979],0.005,0.1,0.0,3.014023262020519e-05,0
0.06792688369750977,-0.0029309807510500534,[0.00124717],0.005,0.1,0.0,2.1763023726424967e-05,0
0.07985806465148926,-0.0029309807510500534,[0.00157852],0.005,0.1,0.0,1.644231592273935e-05,0
0.09087395668029785,-0.0029309807510500534,[0.00192798],0.005,0.1,0.0,1.3441397542749868e-05,0
0.10387015342712402,-0.0029309807510500534,[0.00229075],0.005,0.1,0.0,1.5126540396491909e-05,0
0.11485600471496582,-0.0027355820343133836,[0.00266306],0.005,0.1,0.0,1.3330597172936785e-05,0
0.12381458282470703,-0.0029309807510500534,[0.00304143],0.005,0.1,0.0,1.3509063892621344e-05,0
0.13413500785827637,-0.0029309807510500534,[0.00342271],0.005,0.1,0.0,1.3770131630012407e-05,0
0.1428217887878418,-0.0029309807510500534,[0.00380431],0.005,0.1,0.0,1.4657663780512982e-05,0
0.15595006942749023,-0.0027355820343133836,[0.00418419],0.005,0.1,0.0,1.556048910980943e-05,0
0.16885852813720703,-0.0029309807510500534,[0.00456123],0.005,0.1,0.0,2.4102235618889448e-05,0
0.18111062049865723,-0.0029309807510500534,[0.00493555],0.005,0.1,0.0,3.301363334219464e-05,0
0.1896064281463623,-0.0027355820343133836,[0.00530706],0.005,0.1,0.0,2.3603957296289894e-05,0
0.20248746871948242,-0.0029309807510500534,[0.005675],0.005,0.1,0.0,3.57378605220793e-05,0
0.21474123001098633,-0.0029309807510500534,[0.00603941],0.005,0.1,0.0,3.666490921244834e-05,0
0.22382616996765137,-0.0029309807510500534,[0.00640049],0.005,0.1,0.0,3.8235387701662586e-05,0
0.23570561408996582,-0.0027355820343133836,[0.00675869],0.005,0.1,0.0,5.346914914710165e-05,0
0.24685978889465332,-0.0029309807510500534,[0.00711455],0.005,0.1,0.0,4.027398059103237e-05,0
0.2548205852508545,-0.0029309807510500534,[0.00746766],0.005,0.1,0.0,4.4782942244730996e-05,0
0.267256498336792,-0.0027355820343133836,[0.00781783],0.005,0.1,0.0,4.8900915529366555e-05,0
0.2763237953186035,-0.0027355820343133836,[0.00816563],0.005,0.1,0.0,5.4355529857507476e-05,0
0.28383755683898926,-0.0027355820343133836,[0.00851111],0.005,0.1,0.0,4.232836915706958e-05,0
0.29482078552246094,-0.0029309807510500534,[0.00885385],0.005,0.1,0.0,5.2849052503380056e-05,0
0.30582666397094727,-0.0029309807510500534,[0.00919427],0.005,0.1,0.0,6.208970780864436e-05,0
0.3179001808166504,-0.0029309807510500534,[0.0095342],0.005,0.1,0.0,9.739697819595733e-05,0
0.3284268379211426,-0.0029309807510500534,[0.00987604],0.005,0.1,0.0,0.00010016378627668455,0
0.336500883102417,-0.0027355820343133836,[0.01022132],0.005,0.1,0.0,0.00010359582090152459,0
0.3448505401611328,-0.0029309807510500534,[0.01057005],0.005,0.1,0.0,7.988865438899848e-05,0
0.35283422470092773,-0.0029309807510500534,[0.01092162],0.005,0.1,0.0,9.459496153172955e-05,0
0.3637886047363281,-0.0029309807510500534,[0.01127718],0.005,0.1,0.0,0.00015033603040444566,0
0.37660837173461914,-0.0027355820343133836,[0.01164029],0.005,0.1,0.0,0.00020526257854072097,0
0.38584399223327637,-0.0027355820343133836,[0.01201332],0.005,0.1,0.0,0.00014915501744550727,0
0.39486241340637207,-0.0027355820343133836,[0.0123959],0.005,0.1,0.0,0.00016363042578406984,0
0.4038810729980469,-0.0029309807510500534,[0.01278768],0.005,0.1,0.0,0.0001700277740823953,0
0.41283488273620605,-0.0029309807510500534,[0.01318918],0.005,0.1,0.0,0.00019683323023431777,0
0.4238393306732178,-0.0029309807510500534,[0.01360135],0.005,0.1,0.0,0.0002234424281108602,0
0.43341994285583496,-0.0029309807510500534,[0.01402526],0.005,0.1,0.0,0.00024044710065654551,0
0.44083595275878906,-0.0029309807510500534,[0.01446062],0.005,0.1,0.0,0.00018429976900620802,0
0.4508242607116699,-0.0029309807510500534,[0.01490605],0.005,0.1,0.0,0.00021804683466497898,0
0.4598209857940674,-0.0029309807510500534,[0.01536143],0.005,0.1,0.0,0.0002536646962512124,0
0.46881699562072754,-0.0029309807510500534,[0.01582778],0.005,0.1,0.0,0.0002888167371311744,0
0.47984814643859863,-0.0027355820343133836,[0.01630724],0.005,0.1,0.0,0.00043210946066934584,0
0.4904139041900635,-0.0027355820343133836,[0.01680276],0.005,0.1,0.0,0.0004354407890394128,0
0.5028822422027588,-0.0027355820343133836,[0.01731577],0.005,0.1,0.0,0.0004465808059391191,0
0.5127885341644287,-0.0029309807510500534,[0.01784628],0.005,0.1,0.0,0.00046600034159443074,0
0.5230860710144043,-0.0029309807510500534,[0.0183943],0.005,0.1,0.0,0.0004908909562868909,0
0.5338718891143799,-0.0027355820343133836,[0.01895985],0.005,0.1,0.0,0.000515897161172592,0
0.5448479652404785,-0.0027355820343133836,[0.01954297],0.005,0.1,0.0,0.0005471336740928948,0
0.5567247867584229,-0.0027355820343133836,[0.02014494],0.005,0.1,0.0,0.0007728562826498949,0
0.5648407936096191,-0.0027355820343133836,[0.02076675],0.005,0.1,0.0,0.0005614718726756064,0
0.5728390216827393,-0.0029309807510500534,[0.02140654],0.005,0.1,0.0,0.0006155644721441677,0
0.5836694240570068,-0.0029309807510500534,[0.02206267],0.005,0.1,0.0,0.0006660203790817338,0
0.5934319496154785,-0.0029309807510500534,[0.022735],0.005,0.1,0.0,0.0007128259959854868,0
0.6008825302124023,-0.0027355820343133836,[0.02342334],0.005,0.1,0.0,0.0007552213417855129,0
0.6126444339752197,-0.0029309807510500534,[0.02412748],0.005,0.1,0.0,0.000809354657522585,0
0.623821496963501,-0.0029309807510500534,[0.02484718],0.005,0.1,0.0,0.0008559805385340331,0
0.6337566375732422,-0.0029309807510500534,[0.02558216],0.005,0.1,0.0,0.0009033351027590095,0
0.6439387798309326,-0.0029309807510500534,[0.0263321],0.005,0.1,0.0,0.0009489275814270389,0
0.6539909839630127,-0.0027355820343133836,[0.02709805],0.005,0.1,0.0,0.00130537310966808,0
0.6625010967254639,-0.0029309807510500534,[0.02788078],0.005,0.1,0.0,0.000945740999963397,0
0.6700472831726074,-0.0029309807510500534,[0.02867633],0.005,0.1,0.0,0.000725124421100704,0
0.6828315258026123,-0.0029309807510500534,[0.02948122],0.005,0.1,0.0,0.0011534939720547989,0
0.6953673362731934,-0.0029309807510500534,[0.03029822],0.005,0.1,0.0,0.0015446514958481774,0
0.706815242767334,-0.0029309807510500534,[0.03112952],0.005,0.1,0.0,0.001102648410270728,0
0.71750807762146,-0.0027355820343133836,[0.03197383],0.005,0.1,0.0,0.0015095813875949768,0
0.725827693939209,-0.0029309807510500534,[0.03282971],0.005,0.1,0.0,0.0010591909773501379,0
0.7386794090270996,-0.0027355820343133836,[0.03369567],0.005,0.1,0.0,0.0015154405638373837,0
0.7494411468505859,-0.0029309807510500534,[0.03457196],0.005,0.1,0.0,0.0014683925877611314,0
0.760568380355835,-0.0027355820343133836,[0.03545996],0.005,0.1,0.0,0.0018155198884217598,0
0.7701003551483154,-0.0027355820343133836,[0.03635901],0.005,0.1,0.0,0.001282792669116745,0
0.7826857566833496,-0.0029309807510500534,[0.03726695],0.005,0.1,0.0,0.001701240588170003,0
0.7908012866973877,-0.0029309807510500534,[0.03818179],0.005,0.1,0.0,0.0012218622963531154,0
0.8005735874176025,-0.0027355820343133836,[0.03910166],0.005,0.1,0.0,0.0016448791375186515,0
0.810927152633667,-0.0029309807510500534,[0.04002485],0.005,0.1,0.0,0.0012000703540746968,0
0.8193824291229248,-0.0027355820343133836,[0.04094842],0.005,0.1,0.0,0.0012477075034981135,0
0.8286745548248291,-0.0027355820343133836,[0.04186977],0.005,0.1,0.0,0.001290561108916468,0
0.838803768157959,-0.0027355820343133836,[0.042788],0.005,0.1,0.0,0.0013251615300608594,0
