t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm,reward
0.0053920745849609375,0.0,6.241210453951649e-05,6.894786179863791e-07,0.024269904840642863,0.0,-0.06372252954011108,0.0,1.4999992209461448
0.015366077423095703,0.0,0.00030907903030991644,2.395512142535974e-06,0.011534826487296387,0.0,-0.025305399747876284,0.0,1.4999808942131225
0.024326562881469727,0.0,0.0007856981097958732,6.464026671677867e-06,0.012244178771309911,0.0,-0.02643822845390814,0.0,1.4998765433174561
0.033243417739868164,0.0,0.0014657744063007697,9.898327807557927e-06,0.007140808479101075,0.0,-0.014425188389890629,0.0,1.4995703933853266
0.04258394241333008,0.0,0.002332896495512385,1.4977068312171735e-05,0.005247692357091197,0.0,-0.010746572608883176,0.0,1.4989121109690406
0.050225019454956055,0.0,0.0033714273723716415,2.514576201996044e-05,0.006096604460198823,0.0,-0.012424932009700976,0.0,1.497729277494324
0.059072017669677734,0.0,0.004558461597082952,3.63157810045339e-05,0.0054303446216329,0.0,-0.011675805628907411,0.0,1.4958527094351308
0.07429289817810059,0.0,0.0058917044058103074,6.293136106436924e-05,0.010231718076800417,0.0,-0.020394423692966974,0.0,1.4930816068775752
0.08227658271789551,0.0,0.007382457392753611,7.768076407601927e-05,0.006607551127308727,0.0,-0.014729150225893687,0.0,1.4891590557857406
0.09416961669921875,0.0,0.009031512390366689,0.00011820935857075644,0.010619544710476644,0.0,-0.021635693544198576,0.0,1.483818703602386
0.10461044311523438,0.0,0.010845973377500462,0.00016913937774433352,0.014809689359314197,0.0,-0.029579725188775666,0.0,1.476747575070586
0.11524677276611328,0.0,0.0128374363625088,0.00021959765016297622,0.014602052008228289,0.0,-0.02957252835153829,0.0,1.467577305957032
0.12383246421813965,0.0,0.01500525652151274,0.00028629881508200974,0.015546114305313285,0.0,-0.03172785704259682,0.0,1.455967325697722
0.13285350799560547,0.0,0.017343173268186955,0.0003703095072271932,0.01711457331638925,0.0,-0.035041057574637935,0.0,1.4416165640516243
0.14218640327453613,0.0,0.019839013045921818,0.00045189924162204704,0.013385073717254281,0.0,-0.03069420716482703,0.0,1.424301198803231
0.15296173095703125,0.0,0.022482700636139077,0.0006120536581440846,0.025800069958753096,0.0,-0.05147437367875675,0.0,1.4038477367465476
0.16217255592346191,0.0,0.02527914974994219,0.0007576671095712522,0.028114805071478066,0.0,-0.0563096211285493,0.0,1.3800231347067122
0.17227578163146973,0.0,0.028232584480726974,0.0009311875731332162,0.03131085546478435,0.0,-0.06266141367425569,0.0,1.3526417864032243
0.18020200729370117,0.0,0.03133241866017513,0.0010912704446544887,0.024325510351925386,0.0,-0.05195240439370305,0.0,1.3217294356500773
