t_s,q_rad,q_des_rad,K,B,Kff,jerk,tau_Nm,reward
0.005690336227416992,1.2214373783209256,[0.00286942],9.825212432529046,0.9781515540661307,1.9737818648793566,0.0,9.9,0.5
0.061248064041137695,1.2216327770376625,[0.01404231],9.650424865058092,0.9563031081322615,1.9475637297587132,0.0,9.999,0.5
0.12681174278259277,1.2216327770376625,[0.03554319],9.475637297587138,0.9344546621983922,1.92134559463807,0.0,9.99999,0.5
0.19024157524108887,1.2214373783209256,[0.06641217],9.300849730116184,0.9126062162645229,1.8951274595174268,0.0,9.9999999,0.5
0.2532658576965332,1.2216327770376625,[0.10588435],9.12606216264523,0.8907577703306536,1.8689093243967834,0.0,9.999999999,0.5
0.31718873977661133,1.2216327770376625,[0.15335688],8.951274595174274,0.8689093243967844,1.84269118927614,0.0,9.99999999999,0.5
0.38204407691955566,1.2216327770376625,[0.20835907],8.77648702770332,0.847060878462915,1.8164730541554968,0.0,9.9999999999999,0.5
0.4458787441253662,1.2216327770376625,[0.27044447],8.601699460232366,0.8252124325290457,1.7902549190348536,0.0,10.0,0.5
0.5112683773040771,1.2216327770376625,[0.33909941],8.426911892761412,0.8033639865951765,1.7640367839142101,0.0,10.0,0.5
0.5737576484680176,1.2216327770376625,[0.41366043],8.252124325290458,0.7815155406613071,1.7378186487935667,0.0,10.0,0.5
0.6370587348937988,1.2216327770376625,[0.49329023],8.077336757819502,0.7596670947274378,1.7116005136729235,0.0,5.05,0.5
0.7009432315826416,1.2243683590719758,[0.57705883],7.902549190348549,0.7378186487935685,1.6853823785522803,5.0,5.000500000000001,0.4817320621239355
0.7649831771850586,1.2493793948142695,[0.6640158],7.727761622877595,0.7159702028596993,1.659164243431637,5.0,-4.8999950000000005,0.4817320621239355
0.8288919925689697,1.2695054626381466,[0.75322723],7.55297405540664,0.6941217569258299,1.6329461083109935,5.0,-4.99899995,0.4817320621239355
0.8934917449951172,1.2446898256125896,[0.84378927],7.378186487935686,0.6722733109919605,1.6067279731903503,-5.0,-4.9999899995,0.4817320621239464
0.9569723606109619,1.2192879924368225,[0.93485336],7.203398920464732,0.6504248650580913,1.5805098380697071,-5.0,-4.999999899995,0.48173215606371267
1.0208244323730469,1.1934953618275819,[1.02566326],7.028611352993777,0.6285764191242219,1.5542917029490637,-5.0,-4.99999999899995,0.4853080165090253
1.0856714248657227,1.1677027312183414,[1.11556213],6.853823785522822,0.6067279731903527,1.5280735678284203,-5.0,-4.99999999999,1.0623116620013628
1.1488947868347168,1.1423008980425742,[1.20398062],6.679036218051868,0.5848795272564833,1.501855432707777,-5.0,-4.9999999999999005,0.9489882048463725
1.2136399745941162,1.116312868716597,[1.29042905],6.504248650580913,0.563031081322614,1.475637297587134,-4.5350956789905394,-4.999999999999999,0.48724860691463057
1.2769217491149902,1.09091103554083,[1.37449213],6.329461083109958,0.5411826353887447,1.4494191624664907,-1.5382589796391555,-5.0,0.49824177167386474
1.3414099216461182,1.064727607498116,[1.45582013],6.154673515639004,0.5193341894548753,1.4232010273458477,1.722920080417265,-5.0,0.4977951572261518
1.4057197570800781,1.0389349768888756,[1.53412468],5.97988594816805,0.5,1.3969828922252046,4.428918318244984,-5.0,0.48560949508922024
1.4688937664031982,1.0133377449963719,[1.60917716],5.805098380697095,0.5,1.3707647571045614,5.0,-5.0,0.4817320621239355
1.5329790115356445,0.9873497156703948,[1.68080601],5.63031081322614,0.5,1.3445466219839184,5.0,-5.0,0.4817320621239355
1.597710132598877,0.9613616863444175,[1.74889094],5.455523245755186,0.5,1.3183284868632752,5.0,-5.0,0.4817320621239355
1.6614255905151367,0.9355690557351771,[1.81335353],5.280735678284231,0.5,1.292110351742632,5.0,-5.0,0.4817320621239355
1.7252297401428223,0.9099718238426734,[1.87415048],5.105948110813277,0.5,1.2658922166219888,5.0,-5.0,0.4817320621239355
1.789076566696167,0.8841791932334329,[1.93127083],5.0,0.5,1.2396740815013456,5.0,-5.0,0.4817320621239355
1.852966547012329,0.858581961340929,[1.98473097],5.0,0.5,1.2134559463807026,5.0,-5.0,0.4817320621239355
1.9176685810089111,0.8322031345814787,[2.03456969],5.0,0.5,1.1872378112600595,5.0,-5.0,0.4817320621239355
1.980828046798706,0.8066059026889748,[2.08084696],5.0,0.5,1.1610196761394163,5.0,-5.0,0.4817320621239355
2.0449180603027344,0.7812040695132076,[2.12364068],5.0,0.5,1.1348015410187733,5.0,-5.0,0.4817320621239355
2.108985662460327,0.7552160401872305,[2.16304406],5.0,0.5,1.10858340589813,5.0,-5.0,0.4817320621239355
2.1734135150909424,0.7292280108612532,[2.19916409],5.0,0.5,1.082365270777487,5.0,-5.0,0.4817320621239355
2.2371134757995605,0.7032399815352761,[2.23211907],5.0,0.5,1.0561471356568437,5.0,-5.0,0.4817320621239355
2.3009355068206787,0.6776427496427724,[2.262037],5.0,0.5,1.0299290005362005,5.0,-5.0,0.4817320621239355
2.3661723136901855,0.650677726733112,[2.28905436],5.0,0.5,1.0037108654155575,4.623942196971676,-5.0,0.48433473983734254
2.4294471740722656,0.6256666909908181,[2.31331359],5.0,0.5,0.9774927302949143,4.545276635653317,-6.979387504805127,0.484855134082537
2.493199110031128,0.5994832629481043,[2.33496098],5.0,0.5,0.9512745951742712,3.9706977938308907,-4.744893916364743,0.4884001279931902
2.5567922592163086,0.5738860310556004,[2.35414549],5.0,0.5,0.9250564600536281,3.5739948417851384,-2.498683470713556,0.49058128730733186
2.6211471557617188,0.5477026030128868,[2.37101748],5.0,0.5,0.898838324932985,2.7149768296772736,-0.5553201213529078,0.49454294772417606
2.6854307651519775,0.5219099724036462,[2.38572733],5.0,0.5,0.8726201898123418,2.6658421476099536,1.1979983139337465,0.49473764626269545
