t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm,reward
0.005637407302856445,0.00019539871673667023,0.0037642386609641793,0.002482604973323483,92.17326507758916,0.0,-9.998999999999999,0.0,1.4974559179664209
0.015625476837158203,0.00019539871673667023,0.018193930350013154,0.007089615032087243,29.153100142269285,0.0,-10.098989999999999,0.0,1.4372648041449712
0.025092363357543945,0.00019539871673667023,0.04522598931859433,0.010789317573647402,9.25893923062345,0.0,-10.099989899999999,0.0,1.1666095291938194
0.03394007682800293,0.00019539871673667023,0.08256993988616602,0.014174598672451343,3.0696601045479146,0.0,-10.099999898999998,0.0,0.7574028255584508
0.04239010810852051,0.00019539871673667023,0.12815427357845252,0.020308044129745077,0.9634168630391526,0.0,-6.049740959521842,0.0,0.5378284153027889
0.05188131332397461,0.00019539871673667023,0.18012191254797186,0.03226393284557173,-0.04233080595997163,0.0,-0.25253258585837435,0.0,0.5015419459198452
0.06093263626098633,0.00019539871673667023,0.23681960498009438,0.052310691217608916,-0.7347657603314496,0.0,-2.6492323642525144,0.0,0.5000136987907157
0.0722818374633789,0.00019539871673667023,0.296787776657252,0.08192612666876074,-1.2390609567815531,0.0,-5.822420607232505,0.0,0.5000000228707341
0.07992911338806152,0.00019539871673667023,0.35875031908672567,0.12150407488341149,-1.5890719961874238,0.0,-7.8065533143631,0.0,0.5000000000068121
0.0879526138305664,0.00019539871673667023,0.42160078859375477,0.17107627884252685,-1.7715944154654732,0.0,-8.192556837168372,0.0,0.5000000000000003
0.09603071212768555,0.00019539871673667023,0.4843905704066697,0.23009780537277608,-1.8098625689317183,0.0,-7.466899090952617,0.0,0.5
0.10595321655273438,0.00019539871673667023,0.5463188222372329,0.29774178706351195,-1.72753161445082,0.0,-6.165503432531214,0.0,0.5
0.11438965797424316,0.00019539871673667023,0.6067200335681172,0.37271683527999244,-1.5888993193950753,0.0,-4.920332462185727,0.0,0.5
