t_s,q_rad,q_des_rad,dq_des,ddq_des,K,B,Kff,jerk,tau_Nm,reward,err_deg
0.005345582962036133,-0.034878670937495686,0.009163742462158203,0.0038412264711018213,0.0013839974797461875,9.825212432529046,0.9781515540661307,1.9737818648793566,0.0,0.4348229180277904,1.1784484115990965,2.5234444073705915
0.013335704803466797,-0.034878670937495686,0.02765490372848511,0.01762497771312304,0.007346472003833215,9.650424865058092,0.9563031081322615,1.9475637297587132,0.0,0.6268909559892301,0.957449129819051,3.582909906226906
0.021279096603393555,-0.034683272220759086,0.0542033366279602,0.04617114793679784,0.022987833233924764,9.475637297587138,0.9344546621983922,1.92134559463807,0.0,0.902911791567258,0.7059409407831236,5.092827542261813
0.02927231788635254,-0.034487873504022236,0.08672028500366212,0.09362607759923428,0.05565789155947555,9.300849730116184,0.9126062162645229,1.8951274595174268,0.0,1.2505368221818913,0.5529565486874751,6.944715925043016
0.037355661392211914,-0.033510879920339,0.1230815782775879,0.16283575156702002,0.1155047848623539,9.12606216264523,0.8907577703306536,1.8689093243967834,0.552076719357362,1.6447846168463514,0.5052932156979734,8.972086958319979
0.045293331146240234,-0.032143088903182314,0.16010914710998536,0.24889264165684755,0.20447350894048957,8.951274595174274,0.8689093243967844,1.84269118927614,1.4464410047162883,2.0785636491668655,0.4862307283445727,11.01524172550752
0.05336403846740723,-0.029993703019078742,0.1975865953731537,0.35505105629915684,0.3362477093913909,8.77648702770332,0.847060878462915,1.8164730541554968,3.0918504590889704,2.5503153960715004,0.4375955389699139,13.039390598202834
0.061289072036743164,-0.027062722268028777,0.23303345511817933,0.472697648936108,0.5059273983225351,8.601699460232366,0.8252124325290457,1.7902549190348536,5.0,3.036989315156372,0.35275844170259535,14.902413231715729
0.06937932968139648,-0.024131741516978812,0.2669642516937256,0.6035220398734111,0.7230797592384526,8.426911892761412,0.8033639865951765,1.7640367839142101,5.0,3.557089514580346,0.35275715490353593,16.67857184414223
0.07729220390319824,-0.021200760765928597,0.29710948076820376,0.7383091212523947,0.9802924237957734,8.252124325290458,0.7815155406613071,1.7378186487935667,5.0,4.0854493690073195,0.35275711284965694,18.237833415695626
