t_s,q_rad,q_des_rad,K,B,Kff,jerk,tau_Nm,reward
0.005425453186035156,-0.04445320805759247,0.0013089281345400154,9.825212432529046,0.9781515540661307,1.9737818648793566,0.0,0.5150529768381121,1.1578129742158074
0.013684749603271484,-0.04445320805759247,0.0033015350776776945,9.650424865058092,0.9563031081322615,1.9475637297587132,0.0,0.5296385900771261,1.1337484952851165
0.0222012996673584,-0.04425780934085587,0.005356191082022506,9.475637297587138,0.9344546621983922,1.92134559463807,0.0,0.5372808627400157,1.1112129780759359
0.02960801124572754,-0.04386701190738243,0.007143073941939951,9.300849730116184,0.9126062162645229,1.8951274595174268,0.0,0.5399565743265246,1.09427935731145
0.03763604164123535,-0.04328081575717263,0.009079822965549492,9.12606216264523,0.8907577703306536,1.8689093243967834,0.552076719357362,0.5415394455395531,0.6049761494203688
0.04563021659851074,-0.042499220890225745,0.011008367701659262,8.951274595174274,0.8689093243967844,1.84269118927614,1.1704026450376073,0.5406639196554703,0.5659829440211172
0.05360555648803711,-0.04132682858980566,0.0129323243209137,8.77648702770332,0.847060878462915,1.8164730541554968,2.230610776891485,0.5357702647956427,0.556919657055627
0.061614036560058594,-0.03995903757264897,0.014864223324724165,8.601699460232366,0.8252124325290457,1.7902549190348536,3.2048981047583376,0.5289219676540694,0.5501313746936161
0.06955814361572266,-0.038395847838755694,0.016780534045865218,8.426911892761412,0.8033639865951765,1.7640367839142101,4.480022283546929,0.5199473806382671,0.5458891200878994
0.07757973670959473,-0.036637259388125565,0.01871546837385956,8.252124325290458,0.7815155406613071,1.7378186487935667,5.0,0.5092723203108974,0.5437727595548383
0.08557844161987305,-0.034878670937495686,0.020644805977031725,8.077336757819502,0.7596670947274378,1.7116005136729235,5.0,0.4983844389664689,0.5417250146298952
0.09358668327331543,-0.032533886336655514,0.022576360318431455,7.902549190348549,0.7378186487935685,1.6853823785522803,5.0,0.4828563480015468,0.546683204052695
0.10157108306884766,-0.03018910173581559,0.024502073064232313,7.727761622877595,0.7159702028596993,1.659164243431637,5.0,0.46740914804817196,0.5517196457513556
0.10956382751464844,-0.02764891841823882,0.02642969958626954,7.55297405540664,0.6941217569258299,1.6329461083109935,5.0,0.4506492047039324,0.5590948778772613
0.1175699234008789,-0.02491333638392545,0.02836043918008882,7.378186487935686,0.6722733109919605,1.6067279731903503,5.0,0.43277314863823424,0.5688065006767244
0.12556719779968262,-0.022177754349612087,0.030288936763756116,7.203398920464732,0.6504248650580913,1.5805098380697071,5.0,0.4152256798752638,0.5785651113175945
0.13365793228149414,-0.01944217231529872,0.03223984717243396,7.028611352993777,0.6285764191242219,1.5542917029490637,5.0,0.39818769615338345,0.5880673228503526
0.1417531967163086,-0.015729596697301864,0.03419171646488019,6.853823785522822,0.6067279731903527,1.5280735678284203,5.0,0.3749234490050406,0.6094181385871057
0.14974212646484375,-0.0124078185127787,0.03611780841386544,6.679036218051868,0.5848795272564833,1.501855432707777,5.0,0.35465789714245355,0.6263434479649033
0.15774869918823242,-0.009476837761728488,0.0380480079038706,6.504248650580913,0.563031081322614,1.475637297587134,5.0,0.3375969988175651,0.6384639392002355
0.16574621200561523,-0.0063504582939419236,0.039975869459151776,6.329461083109958,0.5411826353887447,1.4494191624664907,4.5835657505586465,0.3197734922686215,0.6529459204084017
0.1737222671508789,-0.003028680109418513,0.041898397629481346,6.154673515639004,0.5193341894548753,1.4232010273458477,3.7022251173906215,0.30125258533734633,0.6697851097004186
0.18174362182617188,9.769935836854715e-05,0.04383167486665319,5.97988594816805,0.5,1.3969828922252046,2.794212647555926,0.2846407812241775,0.6840649387379703
0.1897420883178711,0.003028680109418265,0.04575925830697503,5.805098380697095,0.5,1.3707647571045614,1.464526944455113,0.27068978710691904,0.6960043457048346
0.19763541221618652,0.006155059577205077,0.0476613217486094,5.63031081322614,0.5,1.3445466219839184,0.23412842049829163,0.25593863470712735,1.0044508501951626
0.2056572437286377,0.00928143904499189,0.04959415960147722,5.455523245755186,0.5,1.3183284868632752,-0.7333334532683423,0.2418011490750091,0.7254219475144412
0.21358299255371094,0.0124078185127787,0.05150364865330629,5.280735678284231,0.5,1.292110351742632,-1.975588687576227,0.22806591501935053,0.7385428954680889
0.2215871810913086,0.015338799263828667,0.053431828145067466,5.105948110813277,0.5,1.2658922166219888,-3.046591825209018,0.21589399001015042,0.7500350923331293
0.22958064079284668,0.018660577448352075,0.05535720730869335,5.0,0.5,1.2396740815013456,-3.82240208965968,0.20469535864838173,0.7658252140205003
0.2375779151916504,0.022177754349612087,0.05728328173398348,5.0,0.5,1.2134559463807026,-4.5859258333028,0.19659973733984185,0.7834802567349207
0.24566221237182617,0.025304133817398898,0.05923007960951213,5.0,0.5,1.1872378112600595,-5.0,0.19060635086227393,0.7963124701152536
0.2535843849182129,0.02862591200192231,0.061137598728350964,5.0,0.5,1.1610196761394163,-5.0,0.18344952555346927,0.8113815998185943
0.2615690231323242,0.03175229146970887,0.06305991321291382,5.0,0.5,1.1348015410187733,-5.0,0.1773567458373051,0.8239177105352832
0.2695779800415039,0.034878670937495686,0.06498782734596753,5.0,0.5,1.10858340589813,-5.0,0.17136632318556713,0.8361077987192997
0.2775876522064209,0.03800505040528225,0.06691565031203278,5.0,0.5,1.082365270777487,-5.0,0.16536865190736896,0.847993334460932
