t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm
0.005212068557739258,0.0,[-9.50394487e-06],0.005,0.1,0.0,-2.731248405837019e-05,0
0.014985322952270508,0.0,[-4.5929629e-05],0.005,0.1,0.0,-1.0232002897148982e-05,0
0.026181936264038086,0.0,[-0.00011415],0.005,0.1,0.0,-4.122520449588512e-06,0
0.03412461280822754,0.0,[-0.00020838],0.005,0.1,0.0,-1.884092223086009e-06,0
0.04416346549987793,0.0,[-0.00032339],0.005,0.1,0.0,-9.650823381324285e-07,0
0.05406975746154785,0.0,[-0.00045446],0.005,0.1,0.0,-5.320685490059603e-07,0
0.06504464149475098,-0.00019539871673667023,[-0.00059744],0.005,0.1,0.0,-2.201968790186467e-07,0
0.07314109802246094,0.0,[-0.00074862],0.005,0.1,0.0,-1.735840791113126e-07,0
0.08139753341674805,0.0,[-0.00090478],0.005,0.1,0.0,-9.99743040792604e-08,0
0.09122538566589355,0.0,[-0.00106313],0.005,0.1,0.0,-5.714001391688563e-08,0
0.09898948669433594,0.0,[-0.00122129],0.005,0.1,0.0,-3.293008500094008e-08,0
0.1091458797454834,0.0,[-0.00137723],0.005,0.1,0.0,-3.729963557515709e-08,0
0.1191091537475586,0.0,[-0.00152927],0.005,0.1,0.0,-2.251436610013079e-08,0
0.1291208267211914,0.0,[-0.00167605],0.005,0.1,0.0,-1.4847152330233318e-08,0
0.13909411430358887,0.0,[-0.00181647],0.005,0.1,0.0,-1.1368280967295778e-08,0
0.1486525535583496,0.0,[-0.00194971],0.005,0.1,0.0,-1.0234654779900065e-08,0
0.15609288215637207,0.0,[-0.00207514],0.005,0.1,0.0,-1.1912533638299026e-08,0
0.1661226749420166,0.0,[-0.00219234],0.005,0.1,0.0,-1.2090332791351985e-08,0
0.17676115036010742,0.0,[-0.00230107],0.005,0.1,0.0,-1.2979333900118488e-08,0
0.18625617027282715,0.0,[-0.00240122],0.005,0.1,0.0,-1.4247259821910177e-08,0
0.19406700134277344,0.0,[-0.00249282],0.005,0.1,0.0,-1.5690129326084687e-08,0
0.20427680015563965,0.0,[-0.002576],0.005,0.1,0.0,-1.7189168603936238e-08,0
0.21205711364746094,0.0,[-0.00265099],0.005,0.1,0.0,-1.8728914332379405e-08,0
0.2225029468536377,0.0,[-0.00271808],0.005,0.1,0.0,-2.012588429182222e-08,0
0.23209452629089355,0.0,[-0.00277762],0.005,0.1,0.0,-2.1447172063456213e-08,0
0.24037718772888184,0.0,[-0.00283],0.005,0.1,0.0,-2.268408085868526e-08,0
0.2503395080566406,0.0,[-0.00287565],0.005,0.1,0.0,-2.3785245936961753e-08,0
0.2590067386627197,0.0,[-0.00291502],0.005,0.1,0.0,-2.4768850660843178e-08,0
0.27012157440185547,-0.00019539871673667023,[-0.00294857],0.005,0.1,0.0,-2.0912192608923394e-08,0
0.27807044982910156,0.0,[-0.00297675],0.005,0.1,0.0,-2.6325194087196263e-08,0
0.28603553771972656,0.0,[-0.00300004],0.005,0.1,0.0,-2.6997062403418493e-08,0
0.29759907722473145,0.0,[-0.00301889],0.005,0.1,0.0,-2.7509578813447572e-08,0
0.30503273010253906,0.0,[-0.00303373],0.005,0.1,0.0,-2.7917871189326367e-08,0
0.3150672912597656,0.0,[-0.003045],0.005,0.1,0.0,-2.8230779384332047e-08,0
0.32573986053466797,0.0,[-0.0030531],0.005,0.1,0.0,-2.8457332025787254e-08,0
0.3350682258605957,0.0,[-0.00305841],0.005,0.1,0.0,-2.8606839348970825e-08,0
