t_s,q_rad,q_des_rad,K,B,jerk,tau_Nm,ilc_ff_Nm
0.005631923675537109,0.0,[2.87961762e-05],0.005,0.1,0.0,0.0007597211642167864,0
0.015113353729248047,0.0,[0.00013777],0.005,0.1,0.0,0.0002321186892329303,0
0.026383638381958008,0.0,[0.00033955],0.005,0.1,0.0,0.00010134305853384572,0
0.03662395477294922,0.0,[0.00061996],0.005,0.1,0.0,0.00010287217012297461,0
0.04663705825805664,0.0,[0.00097043],0.005,0.1,0.0,5.073598953765986e-05,0
0.055704593658447266,0.0,[0.00137899],0.005,0.1,0.0,2.7007411058694764e-05,0
0.06531715393066406,0.0,[0.00183138],0.005,0.1,0.0,1.5094511743674046e-05,0
0.07529854774475098,0.0,[0.00231498],0.005,0.1,0.0,8.604820410877526e-06,0
0.08606433868408203,0.0,[0.00281871],0.005,0.1,0.0,4.888435166248177e-06,0
0.09431004524230957,0.0,[0.00333293],0.005,0.1,0.0,2.7946719416095074e-06,0
0.10535001754760742,0.0,[0.00384935],0.005,0.1,0.0,1.5907058789663776e-06,0
0.11636662483215332,0.0,[0.00436096],0.005,0.1,0.0,9.350865433073345e-07,0
0.1258716583251953,0.0,[0.00486188],0.005,0.1,0.0,5.733316240429808e-07,0
0.1348409652709961,0.0,[0.00534725],0.005,0.1,0.0,3.9475201201377567e-07,0
0.14432835578918457,0.0,[0.00581319],0.005,0.1,0.0,3.2738780296009474e-07,0
0.15231013298034668,0.0,[0.00625666],0.005,0.1,0.0,3.169772783492707e-07,0
0.1613149642944336,0.0,[0.0066754],0.005,0.1,0.0,3.326187318991566e-07,0
0.17088770866394043,0.0,[0.00706779],0.005,0.1,0.0,3.7127173894438294e-07,0
0.1792614459991455,0.0,[0.00743281],0.005,0.1,0.0,4.193509291292635e-07,0
0.18828368186950684,0.0,[0.00776995],0.005,0.1,0.0,4.7374043264473653e-07,0
0.19930553436279297,0.0,[0.00807916],0.005,0.1,0.0,5.297607604986459e-07,0
0.20782017707824707,0.0,[0.00836075],0.005,0.1,0.0,5.858012404616125e-07,0
0.21686744689941406,0.0,[0.00861534],0.005,0.1,0.0,6.40076374181995e-07,0
0.22630620002746582,0.0,[0.0088438],0.005,0.1,0.0,6.91451790818374e-07,0
0.2366187572479248,0.00019539871673667023,[0.00904719],0.005,0.1,0.0,6.935869074437761e-07,0
0.2444911003112793,0.0,[0.00922675],0.005,0.1,0.0,7.846793910939267e-07,0
0.2543168067932129,0.0,[0.00938381],0.005,0.1,0.0,8.260116479798134e-07,0
0.2653355598449707,0.0,[0.00951984],0.005,0.1,0.0,8.624023888632524e-07,0
0.2733795642852783,0.0,[0.00963631],0.005,0.1,0.0,8.9460199765554e-07,0
0.2813720703125,0.0,[0.00973473],0.005,0.1,0.0,9.223153913098334e-07,0
0.2913639545440674,0.0,[0.00981663],0.005,0.1,0.0,9.458191882484136e-07,0
0.3004322052001953,0.0,[0.00988349],0.005,0.1,0.0,9.653182048816477e-07,0
0.3093726634979248,0.0,[0.00993677],0.005,0.1,0.0,9.809967275936982e-07,0
0.3193778991699219,0.0,[0.00997951],0.005,0.1,0.0,1.0254954267613976e-05,0
0.32833123207092285,0.0,[0.01001745],0.005,0.1,0.0,2.3687693390817744e-05,0
0.3373706340789795,0.0,[0.01005689],0.005,0.1,0.0,4.16075535530135e-05,0
0.3487093448638916,0.00019539871673667023,[0.01010236],0.005,0.1,0.0,3.3600564790280005e-05,0
0.35825586318969727,0.0,[0.01015584],0.005,0.1,0.0,2.6597746773045538e-05,0
0.3694777488708496,0.0,[0.01021944],0.005,0.1,0.0,6.356611322795996e-05,0
0.3788168430328369,0.0,[0.01029676],0.005,0.1,0.0,5.371627812581505e-05,0
0.38930726051330566,0.0,[0.0103917],0.005,0.1,0.0,0.00011879273975401428,0
0.40032482147216797,0.0,[0.01051051],0.005,0.1,0.0,0.00020606282715597205,0
0.410632848739624,0.0,[0.01065892],0.005,0.1,0.0,0.00015717503910031664,0
0.41956138610839844,0.0,[0.01083755],0.005,0.1,0.0,0.00012925319225908207,0
0.4293227195739746,0.0,[0.01104731],0.005,0.1,0.0,0.0002667929431121065,0
0.4403355121612549,0.0,[0.01129466],0.005,0.1,0.0,0.00043296205056065853,0
0.4499504566192627,0.0,[0.01158521],0.005,0.1,0.0,0.0003232521284582342,0
0.4582955837249756,0.0,[0.0119178],0.005,0.1,0.0,0.0002601322393702444,0
0.4684586524963379,0.0,[0.01228966],0.005,0.1,0.0,0.00033381348254085056,0
0.4768495559692383,0.0,[0.01269978],0.005,0.1,0.0,0.00028481543092743073,0
0.4853029251098633,0.0,[0.01314915],0.005,0.1,0.0,0.0005756150429368781,0
0.4952991008758545,0.0,[0.01364221],0.005,0.1,0.0,0.0006478160613440811,0
0.5050351619720459,0.0,[0.01418251],0.005,0.1,0.0,0.0007310363911802235,0
0.514270544052124,0.0,[0.01476914],0.005,0.1,0.0,0.0005688690563467863,0
0.5242786407470703,0.0,[0.01540125],0.005,0.1,0.0,0.0009980939165096245,0
0.5363132953643799,0.00019539871673667023,[0.01608404],0.005,0.1,0.0,0.0014411430384600316,0
0.5449161529541016,0.0,[0.01681953],0.005,0.1,0.0,0.0015230020210153243,0
0.5542733669281006,0.0,[0.01760068],0.005,0.1,0.0,0.001517458401956563,0
0.5643477439880371,0.0,[0.01842562],0.005,0.1,0.0,0.002057707912417571,0
0.5754523277282715,0.0,[0.01929904],0.005,0.1,0.0,0.001987712732510511,0
0.5838439464569092,0.0,[0.02022013],0.005,0.1,0.0,0.001449455069493106,0
0.5932638645172119,0.0,[0.02118337],0.005,0.1,0.0,0.0016120787142131293,0
0.6035339832305908,0.0,[0.02218847],0.005,0.1,0.0,0.0024169957580539555,0
0.6119022369384766,0.0,[0.02323723],0.005,0.1,0.0,0.0017761478871765213,0
0.6202611923217773,0.0,[0.02432603],0.005,0.1,0.0,0.001980557501624911,0
0.6310701370239258,0.0,[0.02545155],0.005,0.1,0.0,0.002189046924060968,0
0.642460823059082,0.0,[0.02661561],0.005,0.1,0.0,0.0032247263322273396,0
0.6505308151245117,0.0,[0.02781698],0.005,0.1,0.0,0.0033729771971067954,0
0.6622953414916992,0.0,[0.02904918],0.005,0.1,0.0,0.004313344591673287,0
0.6712830066680908,0.0,[0.0303139],0.005,0.1,0.0,0.005260535213910117,0
0.6812760829925537,0.0,[0.03161494],0.005,0.1,0.0,0.0036437311261574993,0
0.6898152828216553,0.0,[0.03294767],0.005,0.1,0.0,0.003681761983079761,0
0.7002832889556885,0.0,[0.03430779],0.005,0.1,0.0,0.0037730093558711346,0
0.7112941741943359,0.0,[0.03569654],0.005,0.1,0.0,0.0051410952478281495,0
0.7211902141571045,0.0,[0.03711472],0.005,0.1,0.0,0.0036940645060161877,0
0.7308337688446045,0.0,[0.03855754],0.005,0.1,0.0,0.003942395415885052,0
0.739274263381958,0.0,[0.04002084],0.005,0.1,0.0,0.004205338251646823,0
0.7486059665679932,0.0,[0.04150357],0.005,0.1,0.0,0.0044630431995038335,0
0.7570068836212158,0.0,[0.04300209],0.005,0.1,0.0,0.0034020866837452353,0
0.7672643661499023,0.0,[0.04451062],0.005,0.1,0.0,0.003981603749733225,0
0.777599573135376,0.0,[0.04602979],0.005,0.1,0.0,0.0061657175928293015,0
0.7866849899291992,0.0,[0.04756298],0.005,0.1,0.0,0.0045839810862012675,0
0.7952713966369629,0.0,[0.04910762],0.005,0.1,0.0,0.005153678291363303,0
0.8060202598571777,0.0,[0.05066168],0.005,0.1,0.0,0.005700881726047154,0
0.8148152828216553,0.0,[0.05222644],0.005,0.1,0.0,0.00623579517677691,0
0.8236143589019775,0.0,[0.05380024],0.005,0.1,0.0,0.004814293882735022,0
0.8342716693878174,0.0,[0.05538192],0.005,0.1,0.0,0.007912230277281171,0
0.842350959777832,0.0,[0.05697362],0.005,0.1,0.0,0.005979074756532546,0
0.851970911026001,0.0,[0.05857424],0.005,0.1,0.0,0.006862333486846874,0
0.8612518310546875,0.0,[0.06018296],0.005,0.1,0.0,0.007616112969525212,0
0.8723254203796387,0.0,[0.0618052],0.005,0.1,0.0,0.01109932055345369,0
0.8816108703613281,0.0,[0.0634455],0.005,0.1,0.0,0.008124324326885727,0
0.8909018039703369,0.0,[0.06510146],0.005,0.1,0.0,0.008827553487145434,0
0.9012746810913086,0.0,[0.06677091],0.005,0.1,0.0,0.00943970226966161,0
0.9118366241455078,0.0,[0.06845492],0.005,0.1,0.0,0.009951706229342893,0
0.9205245971679688,0.0,[0.07015412],0.005,0.1,0.0,0.010383500095697615,0
0.9292793273925781,0.0,[0.07186883],0.005,0.1,0.0,0.010763070395786634,0
0.9402642250061035,0.0,[0.07360209],0.005,0.1,0.0,0.014579338118065197,0
0.9511606693267822,0.0,[0.07535617],0.005,0.1,0.0,0.01045481947880942,0
0.9602146148681641,0.0,[0.07712652],0.005,0.1,0.0,0.010986958797192093,0
0.9692301750183105,0.0,[0.07890913],0.005,0.1,0.0,0.011511396840208842,0
0.9789471626281738,0.0,[0.08070356],0.005,0.1,0.0,0.011995987507546008,0
0.9865238666534424,0.0,[0.08250627],0.005,0.1,0.0,0.009106556008415761,0
0.9952597618103027,-0.00019539871673667023,[0.08431118],0.005,0.1,0.0,0.010444892368803796,0
1.0046157836914062,0.0,[0.08611638],0.005,0.1,0.0,0.011594306864691902,0
1.0132324695587158,0.0,[0.08792041],0.005,0.1,0.0,0.009088589818218234,0
1.0242464542388916,0.0,[0.08972233],0.005,0.1,0.0,0.014808656751027667,0
1.0342376232147217,0.0,[0.09152809],0.005,0.1,0.0,0.015448143108757228,0
1.0445408821105957,0.0,[0.09334307],0.005,0.1,0.0,0.0161167580256274,0
1.0523467063903809,0.0,[0.09516555],0.005,0.1,0.0,0.012297121284872035,0
1.061431884765625,0.0,[0.0969944],0.005,0.1,0.0,0.01922668729474957,0
1.0703115463256836,0.0,[0.09883237],0.005,0.1,0.0,0.014512120973426761,0
1.078237533569336,0.0,[0.10067857],0.005,0.1,0.0,0.016435391720388225,0
1.0882384777069092,0.0,[0.10253261],0.005,0.1,0.0,0.018105947090030185,0
1.0993773937225342,0.0,[0.104398],0.005,0.1,0.0,0.019852181860942213,0
1.1075732707977295,0.0,[0.10627446],0.005,0.1,0.0,0.015511337183530613,0
1.1172466278076172,0.0,[0.10816232],0.005,0.1,0.0,0.025279051683362377,0
1.1263072490692139,0.0,[0.11006598],0.005,0.1,0.0,0.019276444688048178,0
1.1353387832641602,0.0,[0.11198157],0.005,0.1,0.0,0.015586433789990153,0
1.1452441215515137,0.0,[0.11390624],0.005,0.1,0.0,0.0270876115730405,0
1.1546814441680908,0.0,[0.11584993],0.005,0.1,0.0,0.028996798218582486,0
1.1651721000671387,0.0,[0.11782143],0.005,0.1,0.0,0.03088680931896113,0
1.1732330322265625,0.0,[0.11982025],0.005,0.1,0.0,0.023795246407445198,0
1.1832735538482666,0.00019539871673667023,[0.12184637],0.005,0.1,0.0,0.03807672056194076,0
1.1942954063415527,0.00019539871673667023,[0.12390897],0.005,0.1,0.0,0.03969539515509411,0
1.2024931907653809,0.00019539871673667023,[0.12601158],0.005,0.1,0.0,0.030238980129879734,0
1.2122511863708496,0.00039079743347334047,[0.12815342],0.005,0.1,0.276038359678681,0.047948497494114735,0
1.2243175506591797,0.00039079743347334047,[0.13034387],0.005,0.1,0.3091629628401227,0.049884736676623645,0
1.233191967010498,0.0005861961502100108,[0.13258628],0.005,0.1,0.530104065926939,0.03790647561532585,0
1.2424793243408203,0.0007815948669466809,[0.13487413],0.005,0.1,0.48714366393342645,0.04415051412888754,0
1.2522377967834473,0.0009769935836833512,[0.13721309],0.005,0.1,0.6375620893942953,0.06871135500917808,0
1.2616534233093262,0.0011723923004200215,[0.13961951],0.005,0.1,0.5379798917064974,0.07089719355063549,0
1.2692756652832031,0.0013677910171566918,[0.14209095],0.005,0.1,0.6464007119037136,0.07206406552947174,0
1.279250144958496,0.0017585884506300322,[0.14461458],0.005,0.1,0.7934417394795883,0.10020172971987766,0
1.2892212867736816,0.0019539871673667024,[0.14719769],0.005,0.1,0.9154593777182196,0.09845263615071949,0
1.2994649410247803,0.002540183317576713,[0.14985312],0.005,0.1,0.9952506207923015,0.09912388060164148,0
1.3082423210144043,0.0029309807510500534,[0.15257994],0.005,0.1,1.0343416209898129,0.0739265282477213,0
1.3192386627197266,0.0037125756179967346,[0.15537818],0.005,0.1,1.0404877534916643,0.11597646736247658,0
1.329277753829956,0.0042987717682067455,[0.15826204],0.005,0.1,1.298410380056946,0.11950301989423925,0
1.3372366428375244,0.004884967918416756,[0.16123681],0.005,0.1,1.2967804544238795,0.08954739854597941,0
1.3472671508789062,0.005471164068626767,[0.16430084],0.005,0.1,1.4723612870788219,0.14286810149056023,0
1.3592400550842285,0.006448157652310118,[0.16746807],0.005,0.1,1.6539752902531222,0.14756054836427743,0
1.3672382831573486,0.007034353802520129,[0.17074273],0.005,0.1,1.7831776102484993,0.11067986416032578,0
