t_s,q_rad,q_des_rad,K,B,Kff,jerk,tau_Nm,reward
0.005141735076904297,0.0,[0.00050634],9.825212432529046,0.9781515540661307,1.9737818648793566,0.0,9.9,1.4999487247994125
0.016530275344848633,0.0,[0.00263437],9.650424865058092,0.9563031081322615,1.9475637297587132,0.0,9.999,1.498612980302121
0.026167631149291992,0.0,[0.00703701],9.475637297587138,0.9344546621983922,1.92134559463807,0.0,9.99999,1.4901449784026717
0.035475969314575195,0.0,[0.01369426],9.300849730116184,0.9126062162645229,1.8951274595174268,0.0,9.9999999,1.4631880873523384
0.043212890625,0.0,[0.02247595],9.12606216264523,0.8907577703306536,1.8689093243967834,0.0,9.999999999,1.4039026237050745
0.05339622497558594,0.0,[0.03329968],8.951274595174274,0.8689093243967844,1.84269118927614,0.0,9.99999999999,1.3010965995614445
0.06427431106567383,0.0,[0.04616824],8.77648702770332,0.847060878462915,1.8164730541554968,0.0,9.9999999999999,1.1529196530446186
0.07316994667053223,0.0,[0.06099434],8.601699460232366,0.8252124325290457,1.7902549190348536,0.0,10.0,0.9751798163321884
0.08365440368652344,0.0,[0.07754147],8.426911892761412,0.8033639865951765,1.7640367839142101,0.0,-9.8,0.8004313522644189
0.09315133094787598,0.0,[0.09558383],8.252124325290458,0.7815155406613071,1.7378186487935667,0.0,-9.998000000000001,0.6608546997269447
0.10245871543884277,0.0,[0.11493467],8.077336757819502,0.7596670947274378,1.7116005136729235,0.0,-5.049980000000001,0.5712190087891085
0.11013412475585938,0.0,[0.13534657],7.902549190348549,0.7378186487935685,1.6853823785522803,0.0,-5.0004998,0.525636489018692
0.11919116973876953,0.00019539871673667023,[0.15653055],7.727761622877595,0.7159702028596993,1.659164243431637,0.0,-5.0000049980000005,0.5075354569499025
0.13077998161315918,0.0,[0.17827315],7.55297405540664,0.6941217569258299,1.6329461083109935,0.0,-5.000000049980001,0.5017358414074119
0.13962078094482422,0.0,[0.2003767],7.378186487935686,0.6722733109919605,1.6067279731903503,0.0,-5.0000000004998,0.5003254946625347
0.14958477020263672,0.0,[0.22260465],7.203398920464732,0.6504248650580913,1.5805098380697071,0.0,-5.000000000004998,0.5000496473189572
0.15909838676452637,0.0,[0.24471994],7.028611352993777,0.6285764191242219,1.5542917029490637,0.0,-5.00000000000005,0.5000062835841166
0.16710996627807617,0.0,[0.26648988],6.853823785522822,0.6067279731903527,1.5280735678284203,0.0,-5.000000000000001,0.5000006785069653
0.17888188362121582,0.0,[0.28770155],6.679036218051868,0.5848795272564833,1.501855432707777,0.0,-5.0,0.500000064639738
0.19061541557312012,0.0,[0.30818393],6.504248650580913,0.563031081322614,1.475637297587134,0.0,-5.0,0.5000000056282532
0.20020771026611328,0.0,[0.3278079],6.329461083109958,0.5411826353887447,1.4494191624664907,0.0,-5.0,0.5000000004637832
0.2092595100402832,0.0,[0.34648306],6.154673515639004,0.5193341894548753,1.4232010273458477,0.0,-5.0,0.5000000000373719
0.21715760231018066,0.0,[0.36415368],5.97988594816805,0.5,1.3969828922252046,0.0,-5.0,0.5000000000030327
0.22761797904968262,0.0,[0.38079867],5.805098380697095,0.5,1.3707647571045614,0.0,-5.0,0.500000000000254
