t_s,q_rad,q_des_rad,jerk
0.006241798400878906,-0.07972267642856146,0.00048315500711643285,0.0
0.016615867614746094,-0.07952727771182479,0.002333256315204161,0.0
0.03882265090942383,-0.07874568284487811,0.00579027895599605,0.276038359678681
0.05170440673828125,-0.07757329054445808,0.010547867226017848,1.1372780418761654
0.06542634963989258,-0.07581470209382805,0.016332601584016327,3.113823112519394
0.08020639419555664,-0.07307912005951467,0.022903427347072652,5.0
0.09319758415222168,-0.07034353802520128,0.030047320416014513,5.0
0.10723042488098145,-0.06663096240720455,0.037577704352526824,5.0
0.12121081352233887,-0.06252758935573448,0.045332763735629104,5.0
0.13620209693908691,-0.056470229136897705,0.05317369207322033,5.0
0.15031003952026367,-0.05099906506827094,0.06098290754078407,5.0
0.1728966236114502,-0.04142452794817409,0.06866220670922474,5.0
0.18683767318725586,-0.035953363879547326,0.07613118973821587,5.0
0.19946765899658203,-0.030677598527657227,0.08332575996233987,5.0
0.21526217460632324,-0.02442483959208378,0.09019625512733653,5.0
0.23126959800720215,-0.017976681939773663,0.09670565770092586,2.9490192231282775
0.24621367454528809,-0.011919321720936885,0.10282795681485331,0.30712519295452045
0.26765871047973633,-0.0029309807510500534,0.10854771778572282,-2.302806901043634
0.28110790252685547,0.002344784600840043,0.1138587610436648,-4.378926470921109
0.29619717597961426,0.008597543536413491,0.11876079615011782,-5.0
0.3122081756591797,0.015436498622196948,0.12325832798974122,-5.0
0.33474278450012207,0.024229440875347112,0.12736211760271063,-5.0
0.350266695022583,0.030677598527657227,0.1310880553357125,-5.0
0.3662681579589844,0.03712575617996735,0.1344533163648144,-5.0
0.38160109519958496,0.0433785151155408,0.13747605149724446,-5.0
0.39774656295776367,0.05002207148458758,0.14017675967195448,-5.0
0.41658830642700195,0.05744722272058106,0.14257800011555452,-5.0
0.42972230911254883,0.06291838678920783,0.14470286425885867,-5.0
0.44356632232666016,0.06858494957457126,0.14657315092130005,-5.0
0.4568483829498291,0.07386071492646136,0.14820971633285712,-4.986797537658308
0.47220444679260254,0.08030887257877146,0.1496331677760894,-4.800033914290587
0.4851837158203125,0.08558463793066157,0.15086363565183777,-4.535268278540956
0.4981720447540283,0.09086040328255167,0.15192059021885998,-4.241268246254213
0.512192964553833,0.0965269660679151,0.15282269751568525,-3.94281952546194
0.5261759757995605,0.1023889275700152,0.1535877093896735,-3.6523297496159524
0.5402116775512695,0.1076646929219053,0.15423238305260434,-3.375767854457848
0.5611019134521484,0.11606683774158212,0.15477328607685356,-3.115728282707912
0.572777271270752,0.12095180565999888,0.15522631590155495,-2.873027678335398
0.5912339687347412,0.128572355612729,0.15560569716114128,-2.647547004149172
0.6051278114318848,0.13423891839809246,0.155924673468456,-2.1626435518498366
0.6188333034515381,0.13971008246671923,0.15619473482332558,-1.9364242579913986
0.6332354545593262,0.14576744268555603,0.15642544036116618,-2.0892841975668723
0.6472370624542236,0.1516294041876561,0.1566254064025185,-2.034054491739227
0.6611495018005371,0.15710056825628288,0.15680234374465285,-1.6218665506193655
0.6761825084686279,0.16218093489143628,0.1569631003806725,-1.9817064469770171
0.6901538372039795,0.16726130152658972,0.15711370839112923,-3.0500659686878806
0.7072658538818359,0.1727324655952165,0.15725990970071343,-4.383018068691983
0.7242424488067627,0.17742203479689655,0.1574077183939136,-5.0
0.7350983619689941,0.18054841426468332,0.15756192796405963,-5.0
0.7532753944396973,0.1844563885994167,0.15772587535001636,-5.0
0.7682318687438965,0.1873873693504668,0.1579029544579905,-5.0
0.7821674346923828,0.1897321539513068,0.15809553035931634,-5.0
0.7961809635162354,0.19149074240193684,0.15830463467885508,-5.0
0.811164379119873,0.19285853341909354,0.15853096418300544,-5.0
0.8251550197601318,0.1938355270027769,0.15877492242177219,-5.0
0.8412587642669678,0.19442172315298686,0.15903699643273578,-5.0
0.8612563610076904,0.19461712186972355,0.15931892931928046,-5.0
0.8751606941223145,0.19442172315298686,0.15962283185278595,-5.0
0.890153169631958,0.1938355270027769,0.15994871390837595,-5.0
0.906125545501709,0.19266313470235683,0.16029513480078125,-5.0
0.9191231727600098,0.1916861411186735,0.16066062781970453,-5.0
0.942023754119873,0.18934135651783346,0.1610452155224624,-4.916178585146234
0.9571948051452637,0.18758276806720342,0.16145023244366585,-4.224743408421881
0.971207857131958,0.18582417961657338,0.16187510628516022,-2.866255643694398
0.9861624240875244,0.18347939501573338,0.16231753923507025,-2.620847991918515
1.0035324096679688,0.18074381298141998,0.16277564205129885,-1.644875975732722
1.022383213043213,0.17742203479689655,0.16324892565534144,-0.047281686216090524
1.0351548194885254,0.1752726489127932,0.1637371727189417,1.171461080860799
1.050687313079834,0.1725370668784798,0.16423890978644481,2.574671718354541
1.0661571025848389,0.16960608612742978,0.16475242716718605,3.4637365686997788
1.0791490077972412,0.1674567002433264,0.16527590063232706,4.528836034550553
1.0931310653686523,0.165307314359223,0.1658072086907674,5.0
1.1081316471099854,0.163548725908593,0.16634446974204362,5.0
