Desired_Position_deg,Applied_Torque_Nm,Position_Error_rad,K_value_Nm_per_rad,B_value_Nm_per_rad_per_s,Feedforward_Torque_Nm,Feedback_Torque_Nm
0.0,4.1,-0.24326968076255764,-100.0,100.0,-0.07519622035735418,514515.5828887995
0.0,-0.09700916002758223,-0.24326968076255764,0.059500679796718275,-0.005865405507976244,-0.08239379139155914,-0.014615368636023083
0.0,-0.10911912191312557,-0.24326968076255764,0.059500679796718275,-0.005865405507976244,-0.09450375327710249,-0.014615368636023083
0.0,-0.12495317333868802,-0.24542250979585462,0.06056504155708607,-0.005917955930943619,-0.10994723137469722,-0.015005941963990794
0.0,-0.13476631117698704,-0.24542250979585462,0.06056504155708607,-0.005917955930943619,-0.11976036921299624,-0.015005941963990794
0.0,-0.13895654691753245,-0.24542250979585462,0.06056504155708607,-0.005917955930943619,-0.12395060495354165,-0.015005941963990794
0.0,-0.14502513594006458,-0.24326968076255764,0.059500679796718275,-0.005865405507976244,-0.1304097673040415,-0.014615368636023083
0.0,-0.15184606115150193,-0.24326968076255764,0.059500679796718275,-0.005865405507976244,-0.13723069251547884,-0.014615368636023083
0.0,-0.15880360922089148,-0.24326968076255764,0.05953036644669555,-0.0,-0.14432167597972578,-0.0144819332411657
0.0,-0.16721109670839454,-0.24326968076255764,0.05953036644669555,-0.0,-0.15272916346722884,-0.0144819332411657
0.0,-0.1765234036930758,-0.24326968076255764,0.05953036644669555,-0.0,-0.16204147045191009,-0.0144819332411657
0.0,-0.187456066886897,-0.24326968076255764,0.05953036644669555,-0.0,-0.1729741336457313,-0.0144819332411657
0.0,-0.19713015754157798,-0.24326968076255764,0.05953036644669555,-0.0,-0.18264822430041228,-0.0144819332411657
0.0,-0.20896891624147304,-0.24326968076255764,0.05953036644669555,-0.0,-0.19448698300030734,-0.0144819332411657
0.0,-0.2148625281255573,-0.24111685172926067,0.05847533117373196,-0.0,-0.20076314036912116,-0.014099387756436143
0.0,-0.22597383523198775,-0.24111685172926067,0.05847533117373196,-0.0,-0.2118744474755516,-0.014099387756436143
0.0,-0.23299015205879775,-0.24111685172926067,0.05847533117373196,-0.0,-0.2188907643023616,-0.014099387756436143
0.0,-0.23848725966342935,-0.2389640226959637,0.057429888587797684,-0.0,-0.2247635824635082,-0.013723677199921153
0.0,-0.2468296848391711,-0.2389640226959637,0.057429888587797684,-0.0,-0.23310600763924993,-0.013723677199921153
0.0,-0.250347342649566,-0.23681119366266673,0.05639403294079327,-0.0,-0.236992604393405,-0.013354738256161004
0.0,-0.2575180013139589,-0.23681119366266673,0.05639403294079327,-0.0,-0.2441632630577979,-0.013354738256161004
0.0,-0.2589560847133082,-0.23465836462936976,0.05539636007550502,0.005661210325959982,-0.24582110496355597,-0.013134979749752248
0.0,-0.26360272961172915,-0.2325055355960728,0.05440772164819448,0.011223319819198784,-0.25041434423653564,-0.013188385375193526
0.0,-0.26454650663361073,-0.2325055355960728,0.05440772164819448,0.011223319819198784,-0.2513581212584172,-0.013188385375193526
0.0,-0.2668077971238926,-0.23035270656277582,0.053428112737702746,0.01668636999999734,-0.25330002804559965,-0.013507769078292913
0.0,-0.2663272593379425,-0.22819987752947885,0.05242973732117301,0.016529039970686544,-0.25317365971091793,-0.013153599627024566
0.0,-0.2675710914060451,-0.22819987752947885,0.05242973732117301,0.016529039970686544,-0.25441749177902057,-0.013153599627024566
0.004773543610889379,-0.26985187944943784,-0.22613036254917943,0.05149158031408416,0.01887490473980355,-0.2566435098244166,-0.013208369625021234
0.027298484190504256,-0.2704254578558248,-0.2265234969261098,0.051706326001688445,0.025826983478472277,-0.2557905129063313,-0.01463494494949346
0.07767753932022226,-0.2817842352744851,-0.2274027773121671,0.052221053952354546,0.048050305237634386,-0.2598549403282529,-0.021929294946232185
0.14802695469411087,-0.2832609640701933,-0.2286306062372946,0.05275858610388452,0.04240886819648774,-0.2634048409442604,-0.019856123125932858
0.21856576891022905,-0.28985393468472687,-0.22986174079581842,0.05334189113547826,0.04497755421774541,-0.2688752149141695,-0.02097871977055735
0.27786341760513367,-0.29961150055400193,-0.23089668000423544,0.05386988803996056,0.05417405965159566,-0.27459388296213083,-0.025017617591871114
0.3251113152118575,-0.293205569072584,-0.22956848234882093,0.053108323914221864,0.02557143177534066,-0.27818700166506016,-0.015018567407523848
0.3615313067846749,-0.2990524173410666,-0.23235696014861215,0.05441757673429443,0.02704303944713888,-0.2832854345651022,-0.015766982775964413
0.39991647116685336,-0.3006293394367374,-0.23302690765100043,0.05466903524216555,0.014389552333001874,-0.28700739275139703,-0.013621946685340384
0.4918489418445209,-0.31045036877157944,-0.2346314319538189,0.055555415851738024,0.0397942027788249,-0.29072727362416,-0.019723095147419448
0.6991420987078865,-0.4162677491758719,-0.2382493800579377,0.05789037492993008,0.16149268860876154,-0.2951429275288465,-0.12112482164702539
1.0445138258764346,-0.4014892239785416,-0.2442772538403284,0.06077723852180326,0.1500191737876329,-0.2961870967747744,-0.10530212720376719
1.526363366452559,-0.8266620568320951,-0.2526871148226038,0.06606213549846031,0.3660192025521993,-0.2975346621593823,-0.5291273946727129
2.1049536819885364,-0.6529285923934629,-0.25847976278226553,0.06874202570899197,0.29921638652554045,-0.298512999605134,-0.3544155927883289
2.68423669346361,-0.8218304032149545,-0.26428450056677977,0.07216357266720307,0.3700689539654413,-0.30120321748864687,-0.5206271857263076
3.1788441233645957,-0.9918381188630094,-0.26215288355689415,0.07130001928103163,0.42740724584292183,-0.3014877457840388,-0.6903503730789706
3.5650191253485843,-0.6205543803067768,-0.24736461849744065,0.06294065269568218,0.27806183969098813,-0.3011141826824528,-0.31944019762432396
3.851956065088865,-0.9352244251414809,-0.23299715154183243,0.05648244855103826,0.38882258044909856,-0.2984154306798149,-0.636808994461666
4.050926350583692,-0.6682991952459709,-0.20202457360459875,0.042333703541144706,0.27721066183788806,-0.29302404629835577,-0.37527514894761516
4.172576211673452,-0.7442089050632325,-0.17185532871575424,0.030992411449154267,0.2850792548645734,-0.2882332249031791,-0.45597568016005335
4.22689315994452,-0.7577437746771919,-0.1512750479697501,0.024241703899109464,0.27453132761030125,-0.2837625329381908,-0.4739812417390011
4.2231851968726595,-0.7259362241312705,-0.1275292124393371,0.017453167760112524,0.2483153630431864,-0.27316085026913084,-0.4527753738621396
4.170071132201904,-0.6479225609551316,-0.1136852229319334,0.0139473036738718,0.21627816865100974,-0.2650612579263944,-0.38286130302873717
4.075480485202183,-0.5849966728707078,-0.0948116724338208,0.009844871179969794,0.18509401817945925,-0.25412207393357716,-0.3308745989371306
3.946661553811121,-0.4428801320595127,-0.08395204180895821,0.007672180398720146,0.13451315398965366,-0.24424662344042847,-0.19863350861908427
3.790196349159982,-0.3885383986532933,-0.07906837978969213,0.006781719240663144,0.11388528485876144,-0.2367860006865271,-0.15175239796676623
3.612021204260454,-0.2998976200318709,-0.08026429493257131,0.006814132961493168,0.07760939562986494,-0.22840264972251506,-0.07149497030935584
3.417451974551538,-0.22582656518960612,-0.08332690835097248,0.0070492297263289455,0.020471808648179754,-0.22028517433422573,-0.0055413908553803935
3.2112128536338176,-0.2117782784139047,-0.08618584374443046,0.007499185317131192,0.013229750566074438,-0.2091204310532323,-0.0026578473606724
2.9974679290891943,-0.2143093465654349,-0.09106660718488782,0.008115004507136625,-0.03611743538142597,-0.19893158368825564,-0.015377762877179254
2.792489864174809,-0.20498151092797098,-0.09825321022424999,0.0094310478681346,-0.04519521497390454,-0.18277487583071633,-0.022206635097254644
2.6279054058715037,-0.24622642495024155,-0.11045047276232478,0.011735850480171384,-0.0917105989649815,-0.1657726944521965,-0.08045373049804504
2.56437405119593,-0.2273067350140749,-0.12225861564476553,0.014484298143131638,-0.09363098784598518,-0.15153769228552688,-0.075769042728548
2.7158231776696367,-0.19434116952026134,-0.14643019188397075,0.02102864456859926,-0.08949343694043557,-0.13549180225643478,-0.05884936726382655
3.1709119762022593,-0.13852068357678102,-0.165137134973795,0.027585926056877312,0.04841617856390347,-0.11993262122591596,-0.018588062350865072
3.9486328578274303,-0.14363924286978771,-0.1937807282527461,0.03809080199831037,0.08000072980904824,-0.10369843171396503,-0.03994081115582268
5.058115723073165,-0.37764893965099483,-0.2282146604788235,0.05361834617120382,0.2563942805741423,-0.08561303859108288,-0.29203590105991195
6.491758668204376,-2.12345480025908,-0.2618477663025394,0.07265277028992287,0.7505856415691897,-0.07395792673967792,-2.049496873519402
8.217738121153042,-1.271800981961998,-0.2984302776781551,0.0928462729839567,0.6071734853520262,-0.059131986775209595,-1.2126689951867884
10.198827831431585,-4.1,-0.3179370126668174,0.11049123181784126,1.7749125184333086,-0.047453307154157215,-9.100116112290474
12.418850605478854,-4.1,-0.311474309843964,0.10392712898324538,1.2406746933429862,-0.03576249097212234,-4.645643569310489
