Time_s,Actual_Position_deg,Desired_Position_deg,Position_Error_deg,Jerk_deg_per_s3
0.0,33.920704845814974,1.0182855507508828,32.90241929506409,0.0
0.003865481252415926,33.920704845814974,2.57435241576436,31.346352430050615,-5142585.051436101
0.007730962504831852,32.81057268722467,4.755930780480937,28.054641906743733,1714195.017145317
0.011596443757247778,30.960352422907487,7.431073906269047,23.52927851663844,1714195.0171454165
0.015461925009663703,28.74008810572687,10.482519821950262,18.257568283776607,-1714195.0171453662
0.01932740626207963,25.779735682819382,13.803509004695684,11.976226678123698,9713771.763823768
0.023192887514495556,24.176211453744493,17.302084442072523,6.8741270116719715,-5713983.390484584
0.02705836876691148,22.696035242290748,20.90698560532296,1.7890496369677895,2856991.6952422997
0.030923850019327407,21.955947136563875,24.559850814876555,-2.6039036783126774,-571398.3390484507
0.034789331271743336,21.83259911894273,28.21038390031104,-6.377784781368307,-571398.3390484822
0.03865481252415926,22.202643171806166,31.81574906965542,-9.613105897849255,-571398.3390484343
0.04252029377657519,22.94273127753304,35.339975095369,-12.39724381783596,-1.6070953279267997e-08
0.04638577502899111,24.052863436123346,38.75336635231446,-14.70050291619111,1714195.0171453827
0.05025125628140704,25.903083700440526,42.03192666168809,-16.128842961247567,-3999788.3733392
0.05411673753382296,27.629955947136562,45.156800863514924,-17.526844916378362,1714195.0171453673
0.05798221878623889,29.60352422907489,48.11373810314833,-18.510213874073436,-571398.3390484673
0.061847700038654814,31.70044052863436,50.89257997139872,-19.192139442764354,-571398.3390484658
0.06571318129107075,33.79735682819383,53.488911774628775,-19.691554946434948,2285593.356193882
0.06957866254348667,36.38766519823788,55.9106235915501,-19.52295839331222,-7999576.746678466
0.0734441437959026,37.74449339207048,58.172067737948325,-20.427574345877847,11427966.7809692
0.07730962504831852,40.33480176211454,60.28910684804962,-19.954305085935083,-7999576.746678466
0.08117510630073445,42.431718061674005,62.280642652377374,-19.848924590703373,6285381.729533099
0.08504058755315037,45.392070484581495,64.16839023965156,-18.776319755070062,-10285170.102872266
0.0889060688055663,46.99559471365639,65.97624473231508,-18.980650018658697,11427966.780969135
0.09277155005798222,49.709251101321584,67.73105606406368,-18.02180496274209,-2856991.6952422657
0.09663703131039815,52.91629955947136,69.46532958887884,-16.54903002940748,-9713771.76382377
0.10050251256281408,54.519823788546255,71.21106898376041,-16.69124519521416,10856568.44192067
0.10436799381523,56.863436123348016,73.02142499817298,-16.15798887482496,-5142585.051436102
0.10823347506764593,58.83700440528634,74.96564163303238,-16.12863722774603,-1142796.678096933
0.11209895632006185,60.19383259911894,77.08340800419774,-16.889575405078794,5713983.390484568
0.11596443757247778,62.16740088105726,79.38695517549743,-17.219554294440183,-5713983.390484503
0.1198299188248937,63.52422907488987,81.87063088570245,-18.34640181081258,5713983.390484468
0.12369540007730963,65.49779735682819,84.50605373324343,-19.00825637641525,-6285381.729532935
0.12756088132972557,66.73127753303964,87.25551509395198,-20.524237560912336,5713983.390484501
0.1314263625821415,68.45814977973568,90.07708840850617,-21.6189386287705,-3999788.3733391683
0.13529184383455742,69.81497797356828,92.9263964942653,-23.111418520697026,6285381.729533035
0.13915732508697334,72.15859030837004,95.76149440888535,-23.602904100515314,-8570975.085726837
