Time_s,Average_Actual_Position_rad,Standard_Deviation_Actual_Position_rad,Average_Desired_Position_rad,Standard_Deviation_Desired_Position_rad,Average_Position_Error_rad,Standard_Deviation_Position_Error_rad,Average_Total_Torque_Nm,Standard_Deviation_Total_Torque_Nm,Average_Desired_Jerk_rad_per_s3,Standard_Deviation_Desired_Jerk_rad_per_s3,Average_Jerk_rad_per_s3,Standard_Deviation_Jerk_rad_per_s3
0.0,-0.05467907423347818,0.004885510662479129,0.0028280208981,0.002567367772508252,0.057507095131578166,0.004859916615465072,8.334317160021206,3.7223439911699905,15453.446666666714,14046.829831335275,-65.13290557891033,145.6416044465029
0.015731515469323543,-0.05474420713905707,0.00490111590020136,0.013665325,0.012407112800159903,0.06840953213905705,0.012030093828597944,8.41673322444249,3.761640505756197,12160.547435233368,11066.526753215488,32.56645278944021,652.142708892889
0.03146303093864709,-0.05474420713905707,0.00490111590020136,0.033958698333333336,0.030835898088414426,0.0887029054723904,0.029870919838420013,8.417110455959326,3.7630328348119995,-1824.805129533379,1626.539647412875,1367.7910171567248,2570.0688552846523
0.04719454640797063,-0.05477677359184652,0.004910520032737936,0.06197879500000001,0.0562880570231613,0.1167555685918465,0.05514772187349531,7.530226571620015,3.715813838986743,-11873.300898100022,10746.119747217323,3028.680109418418,3983.3711011231157
0.06292606187729417,-0.05464650778068874,0.0049608019061892685,0.09616206166666667,0.08734874530692764,0.1508085694473554,0.0862952821544882,6.303753979897697,4.0314204315942925,-10608.158333333327,9604.815022920242,749.0284141572334,1763.707201916873
0.07865757734661771,-0.05334384966911094,0.005179601919160949,0.13510632166666667,0.1227493239701962,0.18845017133577757,0.12248936858357859,5.69294756274683,4.461173030701151,-9394.696666666692,8516.48231409474,-2084.252978524476,4493.698482580548
0.09438909281594127,-0.05135729604895478,0.006583338839023055,0.17756481000000002,0.16136090963204522,0.22892210604895477,0.16238331210889115,4.676480965563485,4.2650582549024785,-8248.263333333185,7486.378504638897,-195.39871673668458,4788.929825518244
0.1101206082852648,-0.049696406956693084,0.007854661154014732,0.2224397466666667,0.20218716305777432,0.27213615362335974,0.2042603179263067,4.031114335607707,4.389841067081049,-7182.298333333369,6517.489565117455,781.5948669466338,2049.3590303451597
0.12585212375458835,-0.046960824922379685,0.01032392509450596,0.26877224666666666,0.2443568353934422,0.31573307158904634,0.24789690578496676,3.679923504588837,4.557868577503945,-6194.913333333497,5613.35944205348,-683.8955085783268,4107.635492164762
0.1415836392239119,-0.04402984417132966,0.012222793233310367,0.3157308066666667,0.2871160673018186,0.3597606508379963,0.29203087510933595,2.829171965418603,3.9093962725737876,-5272.244999999798,4777.254419509492,162.8322639472383,7026.584825700025
0.15731515469323543,-0.04067549953401679,0.014667671479950071,0.36260207333333333,0.329820043774994,0.4032775728673501,0.3363002281019446,1.503288559258343,2.069353407241839,-4411.825000000024,4009.230077902557,1009.5600364727183,4761.500512806647
0.17304667016255898,-0.03702805682159895,0.01678183786949054,0.40878458833333337,0.37192401067466896,0.4458126451549323,0.37970878111398476,1.2447602991891846,1.883213963320186,-3631.5950000003263,3306.64907836625,-2181.9523368927853,6631.492635731447
0.18877818563188253,-0.0323384876199189,0.018818817169524018,0.4537820450000001,0.412974779007506,0.4861205326199189,0.4206662558117953,1.1288065247093082,1.8404550461545874,-2938.7116666665547,2667.900167193916,-3745.1420707860525,4069.7643387650046
0.20450970110120606,-0.02768148487102827,0.020029930535255785,0.49718926666666663,0.4526031515101381,0.5248707515376949,0.45965754054894276,1.3144243147966745,2.315656201141482,-2314.6249999996903,2092.7893081938228,814.1613197361244,4069.764338764922
0.2202412165705296,-0.024131741516978753,0.021316304443190333,0.5386805666666666,0.4905158290731112,0.5628123081836455,0.49723603358503493,1.2220619968695436,2.1383188649654183,-1749.541666666785,1579.4983525624395,2312.2181480505037,2412.7763774869863
0.23597273203985314,-0.01973527039040367,0.02256072601878448,0.57800613,0.5264872483467689,0.5977414003904036,0.5324618497467094,1.2912184325890788,2.2346141635463153,-1247.796666666768,1125.730373500938,-455.93033905227793,1398.4627897793898
0.2517042475091767,-0.01524109990546025,0.02375333754362479,0.6149830133333333,0.5603523113853304,0.6302241132387936,0.5654048348657835,1.4713931050387472,2.490698936064373,-802.8216666665061,728.5996341707473,-1074.6929420516572,1975.847244061173
0.26743576297850025,-0.010877195231674616,0.025187156498765025,0.6494856366666667,0.5919989050215277,0.6603628318983413,0.5963170523366733,1.6708703816027441,2.8794232904664043,-406.0816666668184,384.9147983826375,-455.93033905218454,3186.1909651231454
0.2831672784478238,-0.006122493124415666,0.026765028045899746,0.6814415883333332,0.6213608890141096,0.6875640814577489,0.6246671549735341,1.9229012109337213,3.327667753326808,-61.7150000001405,106.53721176984523,1595.7561866827639,2459.791413671662
0.2988987939171473,-0.0021819523368928006,0.027709305629428437,0.710824965,0.6484121436346756,0.7130069173368927,0.6505008799770632,2.0712073623167124,3.628434554204668,219.11000000021113,180.14318157161762,-32.56645278948756,4017.8345572656185
0.31463030938647085,0.002768148487102833,0.029069440375231445,0.73765021,0.6731607407401781,0.7348820615128973,0.6736307054600824,2.096541362524604,3.6303463573372703,436.9799999999841,380.8012861935959,-3484.6104484705634,4899.817362008336
0.3303618248557944,0.007946214480624566,0.030160614605955365,0.7619624000000002,0.695643564667253,0.7540161855193754,0.6937535273267352,2.167318311822341,3.6110133232835038,615.4216666665839,552.3957965509886,325.6645278944825,4505.012890290907
0.34609334032511796,0.011398258476305734,0.031241940377392256,0.7838279883333331,0.7159212617264946,0.7724297298570276,0.713255674538788,2.184113123772946,3.6100067692118016,770.2683333334976,692.8735428494826,2019.1200729455732,3034.8020182281143
0.3618248557944415,0.016022694772406934,0.03306936872258248,0.8033349216666665,0.7340738283276173,0.7873122268942597,0.7302992509307826,2.2255054772153486,3.6048970937148956,891.9166666666542,802.7943575756923,-293.0980751050159,2280.8144863060897
