Time_s,Average_Actual_Position_rad,Standard_Deviation_Actual_Position_rad,Average_Desired_Position_rad,Standard_Deviation_Desired_Position_rad,Average_Position_Error_rad,Standard_Deviation_Position_Error_rad,Average_Total_Torque_Nm,Standard_Deviation_Total_Torque_Nm,Average_Desired_Jerk_rad_per_s3,Standard_Deviation_Desired_Jerk_rad_per_s3,Average_Jerk_rad_per_s3,Standard_Deviation_Jerk_rad_per_s3
0.0,-0.05624226396737155,0.00702477334441644,0.001968365615816517,0.0013883201966494656,0.05821062958318807,0.007578366922251227,0.29105314791594084,0.03789183461125623,10757.33181779268,7585.988594632228,1042.1264892622767,368.4473537056597
0.015822784810126583,-0.05624226396737155,0.007051896704110688,0.009511701483347368,0.0067088220652557285,0.06575396545071892,0.011204248054543361,0.32876982725359494,0.0560212402727169,8464.173391461807,5967.744980952487,1335.2245643672638,285.76946345107416
0.03164556962025317,-0.05594916589226654,0.006973176446241812,0.023637315109734245,0.016671756965373232,0.07958648100200079,0.020048344732211325,0.3979324050100044,0.10024172366105648,-1275.4788384120438,907.3949861908977,846.7277725255298,719.4164562172476
0.04746835443037975,-0.0551350045725304,0.0069207351861875965,0.04314159464501747,0.030427659723372556,0.09827659921754785,0.033440733314946916,0.49137992899485444,0.16720325295773134,-8276.07521767263,5842.78705211537,488.4967918416555,1224.1694515943366
0.06329113924050633,-0.05373464710258427,0.00673677044830176,0.06693499351282585,0.04720760390656139,0.12066964061541008,0.04969043501192765,0.6033382733638349,0.24845040834632637,-7396.880495331618,5223.793674328681,1628.3226394723104,1824.8840731623798
0.07911392405063292,-0.05207375801032258,0.006274854905138069,0.09403923039488395,0.06632097255831776,0.14611298840520656,0.06841869612165005,0.7305430046441708,0.34209025454721653,-6551.15159867238,4628.7238561713375,944.4271308939038,2291.0215996851416
0.0949367088607595,-0.04911021080648307,0.006903473502643094,0.12358532560741868,0.08715400371385947,0.17269553641390176,0.08823463128869788,0.8634321449414407,0.441164712972399,-5751.731756360511,4067.285606330255,-1204.9587532095184,2837.022193614674
0.11075949367088608,-0.045430201641275786,0.006505877471285713,0.15480772823761518,0.10916589035184143,0.20023792987889097,0.10894276396913793,1.0011100886983009,0.5446960102102445,-5002.138561969935,3540.1133182686926,-423.3638862627693,5169.046037201124
0.12658227848101267,-0.04113142987306903,0.006711929328532613,0.18703715979484037,0.13188312250731946,0.22816858966790943,0.12951730582514112,1.1407194914713605,0.64755397665054,-4304.638325802397,3045.9643910035784,455.93033905227475,3028.505015901238
0.14240506329113925,-0.036409294218599515,0.007112322420996378,0.2196953564168506,0.1548960921624183,0.2561046506354501,0.15188236926740692,1.2803451266542936,0.7593625201501049,-3663.9098702237166,2591.1334492418487,-2930.9807510500377,3528.015684738566
0.15822784810126583,-0.030221668188604948,0.007413715604324824,0.2522883575131211,0.17785589276344366,0.282510025701726,0.17452770122657932,1.4123100553978505,0.8725718632237743,-3073.3842224875566,2173.327707867508,-4429.037579364583,2529.3045381756
0.17405063291139242,-0.0245551054032415,0.006862795597300567,0.2843974766067879,0.2004666633182032,0.30895258201002934,0.1963919642803301,1.54445679404485,0.9818813803350342,-2525.2077841799505,1784.5681485654202,-521.0632446312184,2790.0917617682876
0.189873417721519,-0.019311906504140847,0.0068857064882967755,0.3156750088920369,0.22248227534971698,0.33498691539617775,0.21892195118663652,1.674565275221491,1.094526835706559,-2029.1432794221046,1434.165581682643,3289.2117317339976,4664.2846535563485
0.20569620253164558,-0.014296672774566333,0.006887554545359852,0.34584070458493943,0.24370540910693098,0.3601373773595058,0.24058897998975148,1.8002595603959417,1.202861738476333,-1592.6156050420811,1129.4133737530758,3028.6801094184643,1080.597892771841
0.22151898734177217,-0.008923208064307934,0.006987762154588562,0.37467190614740803,0.2639788163197562,0.383595114211716,0.26022526933679474,1.9174958824507762,1.301047689639337,-1203.8626395066963,856.4477100879313,-2703.01558152403,5665.907675168585
