Time_s,Average_Actual_Position_rad,Standard_Deviation_Actual_Position_rad,Average_Desired_Position_rad,Standard_Deviation_Desired_Position_rad,Average_Position_Error_rad,Standard_Deviation_Position_Error_rad,Average_Total_Torque_Nm,Standard_Deviation_Total_Torque_Nm,Average_Desired_Jerk_rad_per_s3,Standard_Deviation_Desired_Jerk_rad_per_s3,Average_Jerk_rad_per_s3,Standard_Deviation_Jerk_rad_per_s3
0.0,-0.05653536204247655,0.014963709197075849,0.0023059499999999998,0.002273178531828652,0.05884131204247656,0.014493182490889314,9.41124310628487,1.3142643685911537,12539.873333333358,12430.779092594712,911.8606781044206,1574.007785006994
0.010298661174047374,-0.056567928495265984,0.015041788476218848,0.011140339999999999,0.010985291132883096,0.06770826849526598,0.015965832462236054,7.954140237509493,3.0634494526818834,9831.316666666671,9783.854538591742,1204.9587532094135,2354.038732067691
0.02059732234809475,-0.0560794317034243,0.015429076633488923,0.02767164833333333,0.02730165285963191,0.08375108003675759,0.02783186627808291,7.10539850909223,3.878108357539113,-1570.0733333333853,1495.906678268772,814.161319736134,3311.0650642061646
0.030895983522142123,-0.05513500457253039,0.015942434557906428,0.050472893333333345,0.04983303541310512,0.10560789790586371,0.04928235475463638,5.933331294383259,4.285865996688468,-9715.729999999998,9564.666304846522,-814.1613197360349,3239.175369011665
0.0411946446961895,-0.05337641612190039,0.016018093769389175,0.0782625,0.07732039895075683,0.1316389161219004,0.07719830898576274,5.451364196611363,4.668760700048022,-8670.813333333286,8557.599377351924,-1856.2878089983196,2180.9799873182797
0.05149330587023687,-0.05138986250174423,0.015447212976891398,0.10989914666666667,0.10863405838549263,0.1612890091684109,0.10934635281297364,5.195520863074765,4.905644411771059,-7706.991666666691,7597.851332320725,-879.2942253150404,3020.264170650741
0.061791967044284246,-0.04924047661764086,0.014971503571153306,0.144362775,0.142768863561524,0.19360325161764083,0.14464080568403315,3.942361506809831,4.023183877433341,-6782.484999999945,6681.044503271279,879.2942253149789,3086.94930600993
0.07209062821833162,-0.04718879009190582,0.014809860718056041,0.18074828666666667,0.17883485132197163,0.22793707675857247,0.18196344993037145,2.9566211654990195,3.608979884556686,-5877.426666666681,5799.275667752724,1139.8258476305502,2523.6374448322467
0.082389289392379,-0.044550907415960773,0.014916573026853562,0.21826548166666662,0.21605398744274537,0.26281638908262744,0.22052369578221978,2.4299105912561023,3.5685122537447787,-5018.558333333444,4980.031547103764,-488.49679184167536,962.2270878964081
0.09268795056642637,-0.04165249311770015,0.015151242479462099,0.25623782833333336,0.2537593759009938,0.29789032145103345,0.25945655836075765,2.133743021586884,3.6107063195414595,-4243.394999999933,4249.279047998383,-1791.1549034194425,3697.8343139022822
0.10298661174047374,-0.038167882669229554,0.015502178853454465,0.29409319333333334,0.29138101087197105,0.3322610760025629,0.29844298873051833,1.147682373573485,1.8094840362432005,-3557.9633333333345,3584.077090784736,-325.66452789446595,3423.0424865649147
0.11328527291452112,-0.035269468370968914,0.016299013471303175,0.33134921333333334,0.3284317240566709,0.36661868170430223,0.3366353638379749,1.092307810057785,1.9160780784951732,-2935.091666666764,2958.7884569218945,749.0284141571932,1612.9437830858622
0.12358393408856849,-0.03188255728086665,0.016433414144853446,0.367602515,0.3645048503083329,0.39948507228086666,0.3732054806823726,0.6884422732508906,1.155999161167359,-2354.546666666546,2389.5126843540274,-683.8955085783077,2189.7155896566137
