Time_s,Control_Mode,Actual_Position_deg,Desired_Position_deg,Position_Error_deg,Feedback_Torque_Nm,Feedforward_Torque_Nm,Total_Torque_Nm,Jerk_deg_per_s3
0.0,assist_as_needed,35.52422907488987,70.00060081481932,-34.476371739929455,-4.0343870029870175,-1.2285241230636719,-4.1,0.0
0.006002400960384154,assist_as_needed,35.52422907488987,70.75540983649475,-35.23118076160489,-4.137437425317821,-1.2535963310826832,-4.1,3428390.0342907337
0.012004801920768308,assist_as_needed,36.264317180616736,71.5977616222626,-35.33344444164587,-4.4660154685596645,-1.2649401647160434,-4.1,3.2141906558535994e-08
0.018007202881152463,assist_as_needed,37.74449339207048,72.43324365838633,-34.68875026631585,-5.2846461036861925,-1.251206478436535,-4.1,-1714195.0171453995
0.024009603841536616,assist_as_needed,39.59471365638766,73.27641422681177,-33.681700570424105,-6.46457306369868,-1.2197979301927693,-4.1,-1142796.6780968993
0.030012004801920768,assist_as_needed,41.56828193832599,74.11094501655244,-32.54266307822645,-7.7969391297462005,-1.185807193283357,-4.1,-1142796.6780969347
0.03601440576230493,assist_as_needed,43.41850220264317,74.9492848407812,-31.530782638138035,-9.12730017263295,-1.1503918823924273,-4.1,1.5919340512482449e-09
0.04201680672268908,assist_as_needed,45.1453744493392,75.7852485777603,-30.63987412842109,-10.436391859903365,-1.1187172503956548,-4.1,1142796.6780969647
0.04801920768307323,assist_as_needed,46.99559471365639,76.62603125149082,-29.63043653783443,-11.738602718350341,-1.0867005595992751,-4.1,-1714195.0171454651
0.05402160864345738,assist_as_needed,48.59911894273127,77.4626643490196,-28.86354540628833,-13.04256456814436,-1.0570738391773395,-4.1,1142796.6780969994
0.060024009603841535,assist_as_needed,50.202643171806166,78.29590048266216,-28.093257310855996,-14.506327795689936,-1.0281451393830348,-4.1,-6.63438515857706e-08
0.06602641056422569,assist_as_needed,51.80616740088105,79.13089140527714,-27.32472400439609,-15.858599237373973,-1.0021292775859891,-4.1,6.63438515857706e-08
0.07202881152460985,assist_as_needed,53.409691629955944,79.96218387487252,-26.55249224491658,-17.074607087845827,-0.9774456481152631,-4.1,-571398.3390484997
0.078031212484994,assist_as_needed,54.88986784140969,80.80401615633647,-25.914148314926788,-17.066115438029616,-0.9544436249975817,-4.1,571398.3390484665
0.08403361344537816,assist_as_needed,56.370044052863435,81.6219018007099,-25.251857747846472,-16.606690062451126,-0.9340407525694386,-4.1,-1142796.678096933
0.09003601440576231,assist_as_needed,57.603524229074885,82.46230117118002,-24.85877694210513,-15.642983771424083,-0.9141096370405024,-4.1,1714195.0171453997
0.09603841536614646,assist_as_needed,58.960352422907484,83.27486152285014,-24.314509099942665,-14.626779874512524,-0.8964511877798079,-4.1,-1142796.6780969
0.10204081632653061,assist_as_needed,60.19383259911894,84.09985835954008,-23.90602576042113,-13.854526913272279,-0.8774501718436482,-4.1,1142796.678096867
0.10804321728691477,assist_as_needed,61.55066079295154,84.920666484631,-23.370005691679456,-13.038723527508248,-0.8598240093940843,-4.1,-1142796.6780969
0.11404561824729892,assist_as_needed,62.78414096916299,85.75016124090355,-22.966020271740557,-12.438321402341252,-0.8430054751844033,-4.1,571398.3390484997
