file,optimizer,labels,mean,median,sigma,max,q25,q75,lower_median_q,upper_median_q,lower_mean_q,upper_mean_q
EMG_MoCap_jerk_stats_EMG_Optimizer_EMGTest6s_001.csv,EMG_Optimizer,Integrator 6,428.57721365078055,1.5970051947533648,20909.18067554197,1722151.9692580677,0.0224253948744035,43.76810319728364,1.5745797998789612,42.17109800253027,428.55478825590615,-384.80911045349694
EMG_MoCap_jerk_stats_None_EMGTest6s_001.csv,None,EMG to $q_d$,4650.870988160681,250.02213932534545,104529.04627845732,4998654.62978466,68.62436319199361,538.9891489793185,181.39777613335184,288.9670096539731,4582.246624968688,-4111.881839181362
EMG_MoCap_jerk_stats_optimizer_1_EMGTest6s_001.csv,optimizer_1,Integrator 1,14.99990258028767,6.874721680816265,37.37714154141232,2512.920168395993,0.4491387262106627,22.03744708939581,6.425582954605602,15.162725408579549,14.550763854077008,7.037544509108141
EMG_MoCap_jerk_stats_optimizer_2_EMGTest6s_001.csv,optimizer_2,Integrator 2,18.710634311558767,5.673839953423965,83.73178687124012,5259.361729348378,0.9759806296472108,21.109244963124496,4.697859323776754,15.435405009700531,17.734653681911556,2.398610651565729
EMG_MoCap_jerk_stats_optimizer_4_EMGTest6s_001.csv,optimizer_4,Integrator 3,15.417721533789916,7.057175510638558,34.56978852458369,1964.4981810174045,0.4389452135100669,22.61335046993551,6.618230297128491,15.556174959296952,14.97877632027985,7.195628936145594
EMG_MoCap_jerk_stats_optimizer_5_pd_EMGTest6s_001.csv,optimizer_5_pd,Integrator 4,15.141650631643666,6.930741980326616,37.762577070706975,2524.078656307438,0.4461329083937926,22.26304651742339,6.484609071932823,15.332304537096777,14.695517723249871,7.121395885779725
EMG_MoCap_jerk_stats_optimizer_6_EMGTest6s_001.csv,optimizer_6,Integrator 5,45.32977206437654,3.511721136106871,3158.457594278762,485511.055458604,0.1711969455087114,10.554924545491671,3.34052419059816,7.043203409384802,45.15857511886783,-34.77484751888487
EMG_MoCap_jerk_stats_pDMP coupled_EMGTest6s_001.csv,pDMP coupled,pDMP coupling term,2.931840861503479,0.0831932300826565,17.002636660978215,239.94019943129885,0.0067771344092193,0.7296269144418943,0.0764160956734372,0.6464336843592378,2.92506372709426,-2.2022139470615847
EMG_MoCap_jerk_stats_pDMP omega_EMGTest6s_001.csv,pDMP omega,pDMP omega,25.564735820047947,16.13019298685181,43.8552557933694,2947.003062025999,6.79696102179328,32.882157108282684,9.33323196505853,16.751964121430873,18.767774798254667,7.317421288234737
EMG_MoCap_jerk_stats_pDMP_EMGTest6s_001.csv,pDMP,pDMP Weight update,0.4100792172209448,1.021405182655144e-05,1.7320632771547078,16.560374405116818,8.881784197001252e-07,0.0017023049636577,9.325873406851317e-06,0.0016920909118312,0.4100783290425251,-0.4083769122572871
