Optimizer 6,EMG to q_d,Optimizer 1,Optimizer 2,Optimizer 3,Optimizer 4,Optimizer 5,pDMP coupled,pDMP omega,pDMP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17046275172311,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.155866153176135,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.566380742067397,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.958808048618607,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.859764164413377,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.76143148907772,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.663807802165596,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.566891105275545,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.47067873387232,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.37516757933145,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.28035564325148,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.18624026109717,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.092817436065616,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.00008428157696,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.90803879922976,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.81667699222112,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.725994419658942,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.63598886109719,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.54665654177757,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.45799257671877,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.36999385729632,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.28265660875195,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.19597639019355,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.10994853868442,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.024568835377067,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.939833949602416,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.85573855228995,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.772277092324543,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68944601699252,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.60724066335717,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.52565525825878,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.444684916716028,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.364324531703005,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2845689961938,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.205413425207094,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.126852045583178,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.048879306206917,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.971489655963182,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.894677321692257,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.818436974323618,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.742762840697537,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.667648481520477,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.593088123632697,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51907666000829,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.44560720726452,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37267310406321,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30026902133386,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22838874182753,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.157025826250678,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.086173613265142,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0158256635774,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.945975315849296,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.87661635283189,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.80774300136545,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.73934748988881,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.671422935019223,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.603963341552344,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.536961826105426,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.47041217142953,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.404307050052694,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.338638690413745,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27340109730835,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.208587609398364,0.0
