Format Version,1.0,
Take Name,ExoTestReal1_002,
Capture Frame Rate,2000.00,
Export Frame Rate,200.00,
Capture Start Time,22 Apr 2026 14:51:07 +0200,
Total Frames In Take,6819,
Total Exported Frames,68190,
Coordinate Space,Local,
Device Name,Trigno 2801,
Device Type,0,
Device Channel Count,2,
Mocap Rate,200.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Bicep,Tricep
47,0.235000,478,-0.025331,-0.002296
47,0.235000,479,-0.025459,-0.003938
48,0.240000,480,-0.027220,-0.005443
48,0.240000,481,-0.028699,-0.007207
48,0.240000,482,-0.029077,-0.008231
48,0.240000,483,-0.029686,-0.008342
48,0.240000,484,-0.030699,-0.009439
48,0.240000,485,-0.031068,-0.010487
48,0.240000,486,-0.030225,-0.009293
48,0.240000,487,-0.029000,-0.008069
48,0.240000,488,-0.028191,-0.007549
48,0.240000,489,-0.027364,-0.006418
49,0.245000,490,-0.026581,-0.004320
49,0.245000,491,-0.025110,-0.001659
49,0.245000,492,-0.023585,0.000079
49,0.245000,493,-0.022733,0.000789
49,0.245000,494,-0.022662,0.002282
49,0.245000,495,-0.024007,0.003147
49,0.245000,496,-0.024307,0.001621
49,0.245000,497,-0.024059,-0.000716
49,0.245000,498,-0.024863,-0.004274
49,0.245000,499,-0.026734,-0.008100
50,0.250000,500,-0.027330,-0.010187
50,0.250000,501,-0.027339,-0.010668
50,0.250000,502,-0.027330,-0.008853
50,0.250000,503,-0.025859,-0.006134
50,0.250000,504,-0.024594,-0.003797
50,0.250000,505,-0.023291,-0.003440
50,0.250000,506,-0.021006,-0.004389
50,0.250000,507,-0.020325,-0.004835
50,0.250000,508,-0.020319,-0.003204
50,0.250000,509,-0.020201,-0.002221
51,0.255000,510,-0.018783,-0.002911
51,0.255000,511,-0.017614,-0.003106
51,0.255000,512,-0.017635,-0.003358
51,0.255000,513,-0.017614,-0.005386
51,0.255000,514,-0.017560,-0.007486
51,0.255000,515,-0.017359,-0.008388
51,0.255000,516,-0.017101,-0.006986
51,0.255000,517,-0.017722,-0.004414
51,0.255000,518,-0.019007,-0.004073
51,0.255000,519,-0.020110,-0.006095
52,0.260000,520,-0.021214,-0.008938
52,0.260000,521,-0.021629,-0.010192
52,0.260000,522,-0.020326,-0.008415
52,0.260000,523,-0.020646,-0.003751
52,0.260000,524,-0.023846,-0.000087
52,0.260000,525,-0.024901,-0.000174
52,0.260000,526,-0.023347,-0.002131
52,0.260000,527,-0.023327,-0.003217
52,0.260000,528,-0.025477,-0.003533
52,0.260000,529,-0.026304,-0.002774
53,0.265000,530,-0.024345,-0.001242
53,0.265000,531,-0.022375,0.000867
53,0.265000,532,-0.022521,0.002806
53,0.265000,533,-0.023075,0.002344
53,0.265000,534,-0.025498,0.000623
53,0.265000,535,-0.027683,-0.002165
53,0.265000,536,-0.028649,-0.005591
53,0.265000,537,-0.027387,-0.006032
53,0.265000,538,-0.024243,-0.005155
53,0.265000,539,-0.022897,-0.005530
54,0.270000,540,-0.023632,-0.005177
54,0.270000,541,-0.023454,-0.003632
54,0.270000,542,-0.022312,-0.002180
54,0.270000,543,-0.021048,-0.002134
54,0.270000,544,-0.020320,-0.002471
54,0.270000,545,-0.020256,-0.001394
54,0.270000,546,-0.020456,0.000349
54,0.270000,547,-0.020170,0.001722
54,0.270000,548,-0.019990,0.001196
54,0.270000,549,-0.019314,-0.001069
55,0.275000,550,-0.019774,-0.003026
55,0.275000,551,-0.019497,-0.002676
55,0.275000,552,-0.019859,-0.001315
55,0.275000,553,-0.020974,-0.002169
55,0.275000,554,-0.022264,-0.003198
55,0.275000,555,-0.022334,-0.002537
55,0.275000,556,-0.021528,-0.001948
55,0.275000,557,-0.020302,-0.002743
55,0.275000,558,-0.019692,-0.003434
55,0.275000,559,-0.021195,-0.004296
56,0.280000,560,-0.022230,-0.007106
56,0.280000,561,-0.022472,-0.009099
56,0.280000,562,-0.024672,-0.008404
56,0.280000,563,-0.024861,-0.006778
56,0.280000,564,-0.023151,-0.005747
56,0.280000,565,-0.024513,-0.007574
56,0.280000,566,-0.026852,-0.010622
56,0.280000,567,-0.028024,-0.012032
56,0.280000,568,-0.027889,-0.011667
56,0.280000,569,-0.027168,-0.008995
57,0.285000,570,-0.025308,-0.004451
57,0.285000,571,-0.023326,-0.000278
57,0.285000,572,-0.022711,0.001576
57,0.285000,573,-0.023197,0.001855
57,0.285000,574,-0.023191,0.000947
57,0.285000,575,-0.024441,-0.000927
57,0.285000,576,-0.025833,-0.002263
57,0.285000,577,-0.024929,0.000350
57,0.285000,578,-0.022761,0.001659
57,0.285000,579,-0.021902,0.000584
58,0.290000,580,-0.023225,-0.000393
58,0.290000,581,-0.024600,-0.001108
58,0.290000,582,-0.025261,-0.001835
58,0.290000,583,-0.025410,-0.002644
58,0.290000,584,-0.024514,-0.003761
58,0.290000,585,-0.023520,-0.004430
58,0.290000,586,-0.023602,-0.004794
58,0.290000,587,-0.023657,-0.005720
58,0.290000,588,-0.024296,-0.005879
58,0.290000,589,-0.024832,-0.005202
59,0.295000,590,-0.022864,-0.005911
59,0.295000,591,-0.021020,-0.006204
59,0.295000,592,-0.021475,-0.004984
59,0.295000,593,-0.021878,-0.004393
59,0.295000,594,-0.021664,-0.005116
59,0.295000,595,-0.021790,-0.006207
59,0.295000,596,-0.022606,-0.007223
59,0.295000,597,-0.023152,-0.007583
59,0.295000,598,-0.023063,-0.008947
59,0.295000,599,-0.022984,-0.010065
60,0.300000,600,-0.022190,-0.009148
60,0.300000,601,-0.019597,-0.006665
60,0.300000,602,-0.017055,-0.004924
60,0.300000,603,-0.019080,-0.003790
60,0.300000,604,-0.022817,-0.001739
60,0.300000,605,-0.024082,-0.000901
60,0.300000,606,-0.024301,-0.001608
60,0.300000,607,-0.023768,-0.003241
60,0.300000,608,-0.024966,-0.003417
60,0.300000,609,-0.027065,-0.002115
61,0.305000,610,-0.027410,-0.002329
61,0.305000,611,-0.026275,-0.003486
61,0.305000,612,-0.026683,-0.003861
61,0.305000,613,-0.027405,-0.002040
61,0.305000,614,-0.026683,-0.000082
61,0.305000,615,-0.026817,-0.000451
61,0.305000,616,-0.028709,-0.002177
61,0.305000,617,-0.030212,-0.002472
61,0.305000,618,-0.030170,-0.001647
