Time_s,Control_Mode,Actual_Position_deg,Desired_Position_deg,Position_Error_deg,Feedback_Torque_Nm,Feedforward_Torque_Nm,Total_Torque_Nm,Jerk_deg_per_s3
0.0,AAN,-17.762114537444933,0.0,-17.762114537444933,322923.8188899243,0.0,4.1,0.0
0.007911392405063292,AAN,-17.762114537444933,0.0,-17.762114537444933,-0.03007945352701132,0.0,-0.03007945352701132,0.0
0.015822784810126583,AAN,-17.762114537444933,0.0,-17.762114537444933,-0.03007945352701132,0.0,-0.03007945352701132,0.0
0.023734177215189875,AAN,-17.762114537444933,0.0,-17.762114537444933,-0.03007945352701132,0.0,-0.03007945352701132,0.0
0.03164556962025317,AAN,-17.762114537444933,0.0029779090569684256,-17.765092446501903,-0.030120974768436126,0.0,-0.030120974768436126,0.0
0.03955696202531646,AAN,-17.762114537444933,0.015399547748626494,-17.77751408519356,-0.030556358075574722,0.0,-0.030556358075574722,571398.3390484665
0.04746835443037975,AAN,-17.638766519823786,0.048009775890098645,-17.686776295713884,-0.03195971805347892,0.0,-0.03195971805347892,-1142796.678096933
0.05537974683544304,AAN,-17.638766519823786,0.11661909729812388,-17.75538561712191,-0.037054299408615834,0.0,-0.037054299408615834,0.0
0.06329113924050633,AAN,-17.762114537444933,0.2313213744381351,-17.99343591188307,-0.06737904063502553,0.0,-0.06737904063502553,1142796.678096933
0.07120253164556962,AAN,-17.762114537444933,0.39184744263749033,-18.153961980082425,-0.06991248445967135,0.0,-0.06991248445967135,0.0
0.07911392405063292,AAN,-17.638766519823786,0.5925260715189421,-18.231292591342726,-0.09836161914580363,0.0,-0.09836161914580363,-1.637417881283909e-08
0.08702531645569621,AAN,-17.392070484581495,0.8230668705807676,-18.215137355162263,-0.09118809579697275,0.0,-0.09118809579697275,571398.3390484665
0.0949367088607595,AAN,-16.898678414096914,1.0682286088653965,-17.966907022962307,-0.10923155872954747,0.0,-0.10923155872954747,-2856991.6952423
0.10284810126582279,AAN,-16.77533039647577,1.3137279400637158,-18.089058336539484,-0.3315794040911832,0.0,-0.3315794040911832,3428390.034290767
0.11075949367088608,AAN,-16.281938325991188,1.5468055452959977,-17.828743871287184,-0.13837959282711076,0.0,-0.13837959282711076,-3428390.034290767
0.11867088607594937,AAN,-16.158590308370044,1.753963988681646,-17.912554297051688,-0.2899381347316346,0.0,-0.2899381347316346,3999788.373339233
0.12658227848101267,AAN,-15.541850220264315,1.9249756385883108,-17.466825858852626,-0.16293069420132478,0.0,-0.16293069420132478,-2285593.3561938666
0.13449367088607594,AAN,-14.92511013215859,2.0529212054813346,-16.978031337639926,-0.17632567396724239,0.0,-0.17632567396724239,-571398.3390484335
